Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,0,1,0.0848,0.07998,100000,7998,94321,6369524,63.7,63.69
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,1,1,0.02007,0.01987,92002,1828,91088,6275203,68.21,68.2
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,2,1,0.00963,0.00958,90174,864,89742,6184115,68.58,68.58
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,3,1,0.00473,0.00471,89310,421,89100,6094373,68.24,68.24
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,4,1,0.00262,0.00262,88889,233,88772,6005273,67.56,67.56
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,5,1,0.00234,0.00233,88656,207,88552,5916501,66.74,66.74
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,6,1,0.00178,0.00178,88449,157,88370,5827948,65.89,65.89
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,7,1,0.00177,0.00177,88292,156,88214,5739578,65.01,65.01
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,8,1,0.00129,0.00129,88136,114,88079,5651364,64.12,64.12
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,9,1,0.00107,0.00107,88022,94,87975,5563285,63.2,63.2
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,10,1,0.00104,0.00103,87928,91,87882,5475310,62.27,62.27
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,11,1,0.00098,0.00098,87837,86,87794,5387427,61.33,61.33
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,12,1,9e-04,9e-04,87751,79,87712,5299633,60.39,60.39
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,13,1,0.00081,0.00081,87672,71,87636,5211922,59.45,59.45
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,14,1,0.00077,0.00076,87601,67,87568,5124285,58.5,58.5
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,15,1,0.00091,0.00091,87534,80,87494,5036718,57.54,57.54
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,16,1,0.00093,0.00093,87454,81,87414,4949224,56.59,56.59
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,17,1,0.00101,0.00101,87373,88,87329,4861810,55.64,55.64
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,18,1,0.00102,0.00102,87285,89,87240,4774481,54.7,54.7
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,19,1,0.00116,0.00116,87196,101,87146,4687241,53.76,53.76
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,20,1,0.00125,0.00125,87095,109,87040,4600095,52.82,52.82
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,21,1,0.00128,0.00128,86986,111,86930,4513055,51.88,51.88
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,22,1,0.00131,0.00131,86875,114,86818,4426124,50.95,50.95
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,23,1,0.00134,0.00134,86761,116,86703,4339306,50.01,50.01
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,24,1,0.00137,0.00137,86645,119,86586,4252603,49.08,49.08
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,25,1,0.00149,0.00149,86526,129,86462,4166018,48.15,48.15
ALB,0,0,0,0,1,1715.01,1960,1961,1,1,26,1,0.00153,0.00153,86397,132,86331,4079556,47.22,47.22
