Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,0,1,0.01332,0.01316,100000,1316,98802,7124991,71.25,73.3
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,1,4,0.00149,0.00594,98684,586,393337,7026189,71.2,73.28
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,5,5,0.00058,0.00291,98098,285,489778,6632852,67.61,69.71
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,10,5,0.00071,0.00356,97813,348,488195,6143075,62.8,64.9
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,15,5,0.00132,0.00658,97465,641,485722,5654880,58.02,60.12
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,20,5,0.00185,0.00922,96824,893,481888,5169157,53.39,55.5
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,25,5,0.00191,0.00952,95931,913,477372,4687270,48.86,51
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,30,5,0.00193,0.0096,95018,912,472810,4209897,44.31,46.46
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,35,5,0.00232,0.01155,94106,1087,467812,3737087,39.71,41.89
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,40,5,0.00319,0.01582,93019,1472,461415,3269275,35.15,37.35
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,45,5,0.0053,0.02616,91547,2395,451748,2807860,30.67,32.91
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,50,5,0.00783,0.03841,89152,3424,437200,2356112,26.43,28.72
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,55,5,0.01262,0.06118,85728,5245,415528,1918912,22.38,24.76
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,60,5,0.01702,0.08163,80483,6570,385990,1503385,18.68,21.2
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,65,5,0.02597,0.12195,73913,9014,347030,1117395,15.12,17.85
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,70,5,0.03582,0.16438,64899,10668,297825,770365,11.87,14.97
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,75,5,0.04991,0.22187,54231,12032,241075,472540,8.71,12.41
ARE,0,0,0,0,1,3700.11,1998,1998,4,1,80,99,0.18231,1,42199,42199,231465,231465,5.49,10.23
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,0,1,0.01426,0.01408,100000,1408,98722,7359855,73.6,77.62
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,1,4,0.00124,0.00494,98592,487,393151,7261133,73.65,77.72
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,5,5,0.00067,0.00332,98105,326,489710,6867982,70.01,74.1
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,10,5,0.00049,0.00243,97779,238,488300,6378272,65.23,69.34
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,15,5,5e-04,0.00251,97541,245,487092,5889972,60.38,64.5
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,20,5,6e-04,0.003,97296,292,485750,5402880,55.53,59.66
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,25,5,0.00079,0.00393,97004,381,484068,4917130,50.69,54.83
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,30,5,0.00121,0.00605,96623,585,481652,4433062,45.88,50.04
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,35,5,0.00166,0.00827,96038,794,478205,3951410,41.14,45.33
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,40,5,0.00233,0.01157,95244,1102,473465,3473205,36.47,40.68
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,45,5,0.00381,0.01885,94142,1775,466272,2999740,31.86,36.13
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,50,5,0.00647,0.03183,92367,2940,454485,2533467,27.43,31.77
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,55,5,0.01114,0.05421,89427,4848,435015,2078982,23.25,27.72
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,60,5,0.01642,0.07886,84579,6670,406220,1643967,19.44,24.16
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,65,5,0.02575,0.12096,77909,9424,365985,1237747,15.89,21
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,70,5,0.03321,0.15333,68485,10501,316172,871762,12.73,18.54
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,75,5,0.04002,0.18191,57984,10548,263550,555590,9.58,16.44
ARE,0,0,0,0,1,3700.11,1998,1998,4,2,80,99,0.16243,1,47436,47436,292040,292040,6.16,14.53
