Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,0,1,0.0164,0.01616,100000,1616,98543,7172905,71.73,71.74
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,1,4,0.00064,0.00257,98384,253,392930,7074362,71.91,71.91
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,5,5,3e-04,0.0015,98131,147,490288,6681432,68.09,68.09
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,10,5,0.00032,0.00162,97984,159,489522,6191144,63.19,63.19
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,15,5,7e-04,0.0035,97825,342,488270,5701622,58.28,58.29
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,20,5,0.00128,0.0064,97483,624,485855,5213352,53.48,53.49
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,25,5,0.00159,0.00791,96859,766,482380,4727497,48.81,48.81
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,30,5,0.00177,0.00884,96093,849,478342,4245117,44.18,44.18
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,35,5,0.00224,0.01116,95244,1063,473562,3766774,39.55,39.55
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,40,5,0.00323,0.01601,94181,1508,467135,3293212,34.97,34.97
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,45,5,0.00494,0.02438,92673,2259,457718,2826077,30.5,30.5
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,50,5,0.00768,0.03769,90414,3408,443550,2368359,26.19,26.2
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,55,5,0.012,0.05827,87006,5070,422355,1924809,22.12,22.13
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,60,5,0.01876,0.08958,81936,7340,391330,1502454,18.34,18.34
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,65,5,0.02926,0.13631,74596,10168,347560,1111124,14.9,14.9
ARG,0,0,0,0,1,4000.07,2010,2010,4,1,70,5,0.04541,0.20392,64428,13138,289295,763564,11.85,11.86
