Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ASM,,0,0,0,1,859.01,2010,2012,4,1,0,1,0.00872,0.00865,100000,865,99201,6978979,69.79,70.77
ASM,,0,0,0,1,859.01,2010,2012,4,1,1,4,0.00062,0.00247,99135,245,395959,6879779,69.4,70.38
ASM,,0,0,0,1,859.01,2010,2012,4,1,5,5,0.00019,0.00097,98890,96,494210,6483820,65.57,66.55
ASM,,0,0,0,1,859.01,2010,2012,4,1,10,5,0.00021,0.00103,98794,102,493715,5989610,60.63,61.62
ASM,,0,0,0,1,859.01,2010,2012,4,1,15,5,0.00132,0.00659,98692,650,491835,5495895,55.69,56.68
ASM,,0,0,0,1,859.01,2010,2012,4,1,20,5,0.00048,0.00241,98042,236,489620,5004060,51.04,52.04
ASM,,0,0,0,1,859.01,2010,2012,4,1,25,5,0.00127,0.00631,97806,617,487488,4514440,46.16,47.16
ASM,,0,0,0,1,859.01,2010,2012,4,1,30,5,0.00164,0.00816,97189,793,483962,4026953,41.43,42.44
ASM,,0,0,0,1,859.01,2010,2012,4,1,35,5,0.00281,0.01394,96396,1344,478620,3542990,36.75,37.77
ASM,,0,0,0,1,859.01,2010,2012,4,1,40,5,0.00413,0.02042,95052,1941,470408,3064370,32.24,33.27
ASM,,0,0,0,1,859.01,2010,2012,4,1,45,5,0.00865,0.04236,93111,3944,455695,2593963,27.86,28.91
ASM,,0,0,0,1,859.01,2010,2012,4,1,50,5,0.00958,0.04678,89167,4171,435408,2138268,23.98,25.08
ASM,,0,0,0,1,859.01,2010,2012,4,1,55,5,0.01581,0.07605,84996,6464,408820,1702860,20.03,21.19
ASM,,0,0,0,1,859.01,2010,2012,4,1,60,5,0.02245,0.10629,78532,8347,371792,1294040,16.48,17.73
ASM,,0,0,0,1,859.01,2010,2012,4,1,65,5,0.0341,0.15713,70185,11028,323355,922248,13.14,14.54
ASM,,0,0,0,1,859.01,2010,2012,4,1,70,5,0.05591,0.24528,59157,14510,259510,598893,10.12,11.78
ASM,,0,0,0,1,859.01,2010,2012,4,1,75,99,0.13155,1,44647,44647,339383,339383,7.6,9.8
ASM,,0,0,0,1,859.01,2010,2012,4,2,0,1,0.00613,0.0061,100000,610,99432,7412162,74.12,77.44
ASM,,0,0,0,1,859.01,2010,2012,4,2,1,4,0.00052,0.00208,99390,207,397045,7312730,73.58,76.91
ASM,,0,0,0,1,859.01,2010,2012,4,2,5,5,0,0,99183,0,495915,6915685,69.73,73.07
ASM,,0,0,0,1,859.01,2010,2012,4,2,10,5,0.00033,0.00165,99183,164,495505,6419770,64.73,68.07
ASM,,0,0,0,1,859.01,2010,2012,4,2,15,5,0.00011,0.00054,99019,53,494962,5924265,59.83,63.18
ASM,,0,0,0,1,859.01,2010,2012,4,2,20,5,0.00032,0.00161,98966,159,494432,5429302,54.86,58.21
ASM,,0,0,0,1,859.01,2010,2012,4,2,25,5,0.00128,0.00639,98807,631,492458,4934870,49.94,53.3
ASM,,0,0,0,1,859.01,2010,2012,4,2,30,5,0.00217,0.01081,98176,1061,488228,4442412,45.25,48.63
ASM,,0,0,0,1,859.01,2010,2012,4,2,35,5,0.00136,0.00678,97115,658,483930,3954185,40.72,44.13
ASM,,0,0,0,1,859.01,2010,2012,4,2,40,5,0.00244,0.01214,96457,1171,479358,3470255,35.98,39.42
ASM,,0,0,0,1,859.01,2010,2012,4,2,45,5,0.00382,0.01892,95286,1803,471922,2990897,31.39,34.87
ASM,,0,0,0,1,859.01,2010,2012,4,2,50,5,0.00543,0.02676,93483,2502,461160,2518975,26.95,30.49
ASM,,0,0,0,1,859.01,2010,2012,4,2,55,5,0.01066,0.0519,90981,4722,443100,2057815,22.62,26.26
ASM,,0,0,0,1,859.01,2010,2012,4,2,60,5,0.01242,0.06021,86259,5194,418310,1614715,18.72,22.56
ASM,,0,0,0,1,859.01,2010,2012,4,2,65,5,0.02221,0.10522,81065,8530,384000,1196405,14.76,18.85
ASM,,0,0,0,1,859.01,2010,2012,4,2,70,5,0.03708,0.16968,72535,12308,331905,812405,11.2,15.79
ASM,,0,0,0,1,859.01,2010,2012,4,2,75,99,0.12534,1,60227,60227,480500,480500,7.98,13.5
