Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,0,1,0.00344,0.00343,100000,343,99678,8046898,80.47,80.48
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,1,1,0.00027,0.00027,99657,27,99644,7947220,79.75,79.75
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,2,1,0.00016,0.00016,99630,16,99622,7847577,78.77,78.78
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,3,1,0.00013,0.00013,99614,13,99608,7747955,77.78,77.79
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,4,1,0.00012,0.00012,99601,12,99595,7648347,76.79,76.8
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,5,1,9e-05,9e-05,99589,9,99584,7548752,75.8,75.81
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,6,1,9e-05,9e-05,99580,9,99576,7449168,74.81,74.82
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,7,1,8e-05,8e-05,99571,8,99567,7349592,73.81,73.82
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,8,1,8e-05,8e-05,99563,8,99559,7250025,72.82,72.83
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,9,1,8e-05,8e-05,99555,8,99551,7150466,71.82,71.83
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,10,1,8e-05,8e-05,99547,8,99543,7050915,70.83,70.84
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,11,1,9e-05,9e-05,99539,9,99534,6951372,69.84,69.85
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,12,1,0.00011,0.00011,99530,11,99524,6851838,68.84,68.85
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,13,1,0.00013,0.00013,99519,13,99512,6752313,67.85,67.86
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,14,1,0.00017,0.00017,99506,17,99498,6652801,66.86,66.87
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,15,1,0.00024,0.00024,99489,24,99477,6553303,65.87,65.88
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,16,1,0.00031,0.00031,99465,31,99450,6453826,64.89,64.89
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,17,1,4e-04,4e-04,99434,40,99414,6354377,63.91,63.91
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,18,1,0.00047,0.00047,99394,47,99370,6254963,62.93,62.94
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,19,1,0.00053,0.00053,99347,53,99320,6155592,61.96,61.97
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,20,1,0.00056,0.00056,99294,56,99266,6056272,60.99,61
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,21,1,0.00058,0.00058,99238,58,99209,5957006,60.03,60.04
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,22,1,0.00062,0.00062,99180,61,99150,5857797,59.06,59.07
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,23,1,0.00063,0.00063,99119,62,99088,5758647,58.1,58.11
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,24,1,0.00064,0.00064,99057,63,99026,5659559,57.13,57.14
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,25,1,0.00066,0.00066,98994,65,98962,5560534,56.17,56.18
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,26,1,0.00067,0.00067,98929,66,98896,5461572,55.21,55.22
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,27,1,0.00069,0.00069,98863,68,98829,5362676,54.24,54.25
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,28,1,0.00072,0.00072,98795,71,98760,5263847,53.28,53.29
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,29,1,0.00076,0.00076,98724,75,98686,5165088,52.32,52.33
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,30,1,0.00079,0.00079,98649,78,98610,5066401,51.36,51.37
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,31,1,0.00083,0.00083,98571,82,98530,4967791,50.4,50.41
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,32,1,0.00087,0.00087,98489,86,98446,4869261,49.44,49.45
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,33,1,0.00092,0.00091,98403,90,98358,4770815,48.48,48.49
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,34,1,0.00097,0.00097,98313,95,98266,4672457,47.53,47.54
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,35,1,0.00104,0.00104,98218,102,98167,4574192,46.57,46.58
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,36,1,0.00109,0.00109,98116,107,98062,4476025,45.62,45.63
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,37,1,0.00116,0.00116,98009,114,97952,4377962,44.67,44.68
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,38,1,0.00124,0.00124,97895,121,97834,4280010,43.72,43.73
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,39,1,0.00132,0.00132,97774,129,97710,4182176,42.77,42.78
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,40,1,0.00142,0.00142,97645,139,97576,4084466,41.83,41.84
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,41,1,0.00153,0.00153,97506,149,97432,3986891,40.89,40.9
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,42,1,0.00167,0.00166,97357,162,97276,3889459,39.95,39.96
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,43,1,0.00179,0.00179,97195,174,97108,3792183,39.02,39.03
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,44,1,0.00192,0.00192,97021,186,96928,3695075,38.09,38.09
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,45,1,0.00207,0.00207,96835,200,96735,3598147,37.16,37.17
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,46,1,0.00223,0.00222,96635,215,96528,3501412,36.23,36.24
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,47,1,0.0024,0.0024,96420,231,96304,3404885,35.31,35.32
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,48,1,0.00259,0.00259,96189,249,96064,3308580,34.4,34.41
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,49,1,0.00278,0.00277,95940,266,95807,3212516,33.48,33.49
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,50,1,0.00298,0.00298,95674,285,95532,3116709,32.58,32.59
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,51,1,0.00321,0.00321,95389,306,95236,3021177,31.67,31.68
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,52,1,0.00348,0.00347,95083,330,94918,2925941,30.77,30.78
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,53,1,0.00379,0.00378,94753,358,94574,2831023,29.88,29.89
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,54,1,0.00413,0.00412,94395,389,94200,2736449,28.99,29
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,55,1,0.00449,0.00448,94006,421,93796,2642249,28.11,28.12
AUS,0,0,0,0,1,3030.03,2015,2017,1,1,56,1,0.00486,0.00485,93585,454,93358,2548453,27.23,27.24
