Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,0,1,0.00302,0.00301,100000,301,99717,7928694,79.29,79.29
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,1,1,0.00016,0.00016,99699,16,99691,7828977,78.53,78.53
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,2,1,0.00019,0.00019,99683,19,99674,7729286,77.54,77.54
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,3,1,0.00012,0.00012,99664,12,99658,7629613,76.55,76.55
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,4,1,6e-05,6e-05,99652,6,99649,7529955,75.56,75.56
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,5,1,7e-05,7e-05,99646,7,99642,7430306,74.57,74.57
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,6,1,5e-05,5e-05,99639,5,99636,7330663,73.57,73.57
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,7,1,5e-05,5e-05,99634,5,99632,7231027,72.58,72.58
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,8,1,9e-05,9e-05,99629,9,99624,7131395,71.58,71.58
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,9,1,0.00016,0.00016,99620,16,99612,7031771,70.59,70.59
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,10,1,2e-05,2e-05,99604,2,99603,6932159,69.6,69.6
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,11,1,1e-04,1e-04,99602,10,99597,6832556,68.6,68.6
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,12,1,4e-05,4e-05,99592,4,99590,6732959,67.61,67.61
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,13,1,0.00021,0.00021,99588,21,99578,6633369,66.61,66.61
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,14,1,0.00011,0.00011,99567,11,99562,6533791,65.62,65.62
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,15,1,0.00016,0.00016,99556,16,99548,6434230,64.63,64.63
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,16,1,0.00023,0.00023,99540,23,99528,6334682,63.64,63.64
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,17,1,0.00044,0.00044,99517,44,99495,6235153,62.65,62.65
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,18,1,0.00059,0.00059,99473,59,99444,6135658,61.68,61.68
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,19,1,0.00041,0.00041,99414,41,99394,6036215,60.72,60.72
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,20,1,0.00038,0.00038,99373,38,99354,5936821,59.74,59.74
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,21,1,8e-04,8e-04,99335,79,99296,5837467,58.77,58.77
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,22,1,6e-04,6e-04,99256,60,99226,5738172,57.81,57.81
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,23,1,0.00058,0.00058,99196,58,99167,5638946,56.85,56.85
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,24,1,0.00042,0.00042,99138,42,99117,5539779,55.88,55.88
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,25,1,0.00039,0.00039,99096,39,99076,5440662,54.9,54.9
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,26,1,0.00058,0.00058,99057,57,99028,5341585,53.92,53.92
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,27,1,6e-04,6e-04,99000,59,98970,5242557,52.96,52.96
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,28,1,0.00043,0.00043,98941,43,98920,5143586,51.99,51.99
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,29,1,7e-04,7e-04,98898,69,98864,5044667,51.01,51.01
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,30,1,0.00054,0.00054,98829,53,98802,4945803,50.04,50.04
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,31,1,0.00056,0.00056,98776,55,98748,4847001,49.07,49.07
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,32,1,0.00058,0.00058,98721,57,98692,4748252,48.1,48.1
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,33,1,7e-04,7e-04,98664,69,98630,4649560,47.13,47.13
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,34,1,0.00089,0.00089,98595,88,98551,4550930,46.16,46.16
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,35,1,9e-04,9e-04,98507,89,98462,4452379,45.2,45.2
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,36,1,0.00068,0.00068,98418,67,98384,4353917,44.24,44.24
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,37,1,8e-04,8e-04,98351,79,98312,4255532,43.27,43.27
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,38,1,0.00068,0.00068,98272,67,98238,4157221,42.3,42.3
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,39,1,0.00106,0.00106,98205,104,98153,4058982,41.33,41.33
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,40,1,0.00117,0.00117,98101,115,98044,3960829,40.38,40.38
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,41,1,0.00134,0.00134,97986,131,97920,3862786,39.42,39.42
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,42,1,0.00134,0.00134,97855,131,97790,3764865,38.47,38.47
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,43,1,0.00134,0.00134,97724,131,97658,3667076,37.52,37.53
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,44,1,0.00157,0.00157,97593,153,97516,3569417,36.57,36.58
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,45,1,0.00194,0.00194,97440,189,97346,3471901,35.63,35.63
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,46,1,0.00185,0.00185,97251,180,97161,3374555,34.7,34.7
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,47,1,0.00215,0.00214,97071,208,96967,3277394,33.76,33.76
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,48,1,0.00232,0.00231,96863,224,96751,3180427,32.83,32.84
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,49,1,0.00261,0.00261,96639,252,96513,3083676,31.91,31.91
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,50,1,0.00276,0.00276,96387,266,96254,2987163,30.99,30.99
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,51,1,0.003,0.003,96121,288,95977,2890909,30.08,30.08
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,52,1,0.00316,0.00315,95833,302,95682,2794932,29.16,29.17
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,53,1,0.00404,0.00403,95531,385,95338,2699250,28.26,28.26
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,54,1,0.00459,0.00458,95146,436,94928,2603912,27.37,27.37
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,55,1,0.00513,0.00512,94710,485,94468,2508984,26.49,26.49
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,56,1,0.00609,0.00607,94225,572,93939,2414516,25.63,25.63
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,57,1,0.00682,0.0068,93653,637,93334,2320577,24.78,24.78
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,58,1,0.0069,0.00688,93016,640,92696,2227243,23.94,23.95
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,59,1,0.00789,0.00786,92376,726,92013,2134547,23.11,23.11
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,60,1,0.00881,0.00877,91650,804,91248,2042534,22.29,22.29
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,61,1,0.00899,0.00895,90846,813,90440,1951286,21.48,21.48
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,62,1,0.01014,0.01009,90033,908,89579,1860846,20.67,20.67
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,63,1,0.01177,0.0117,89125,1043,88604,1771267,19.87,19.87
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,64,1,0.01207,0.012,88082,1057,87554,1682664,19.1,19.1
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,65,1,0.01401,0.01392,87025,1211,86420,1595110,18.33,18.33
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,66,1,0.0148,0.01469,85814,1261,85184,1508691,17.58,17.58
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,67,1,0.01704,0.0169,84553,1429,83838,1423507,16.84,16.84
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,68,1,0.01803,0.01786,83124,1485,82382,1339669,16.12,16.12
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,69,1,0.02024,0.02004,81639,1636,80821,1257287,15.4,15.4
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,70,1,0.02278,0.02252,80003,1802,79102,1176466,14.71,14.71
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,71,1,0.02327,0.023,78201,1799,77302,1097364,14.03,14.03
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,72,1,0.02631,0.02597,76402,1984,75410,1020063,13.35,13.35
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,73,1,0.02844,0.02804,74418,2087,73374,944653,12.69,12.69
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,74,1,0.03163,0.03113,72331,2252,71205,871278,12.05,12.05
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,75,1,0.03273,0.03221,70079,2257,68950,800073,11.42,11.42
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,76,1,0.03428,0.03371,67822,2286,66679,731123,10.78,10.78
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,77,1,0.03837,0.03764,65536,2467,64302,664444,10.14,10.14
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,78,1,0.044,0.04305,63069,2715,61712,600141,9.52,9.52
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,79,1,0.04574,0.04472,60354,2699,59004,538430,8.92,8.92
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,80,1,0.05375,0.05235,57655,3018,56146,479425,8.32,8.32
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,81,1,0.05855,0.05688,54637,3108,53083,423279,7.75,7.75
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,82,1,0.06873,0.06645,51529,3424,49817,370196,7.18,7.19
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,83,1,0.08069,0.07756,48105,3731,46240,320379,6.66,6.66
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,84,1,0.08826,0.08453,44374,3751,42498,274140,6.18,6.18
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,85,1,0.10117,0.0963,40623,3912,38667,231641,5.7,5.7
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,86,1,0.11939,0.11266,36711,4136,34643,192974,5.26,5.26
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,87,1,0.12808,0.12037,32575,3921,30614,158331,4.86,4.86
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,88,1,0.15237,0.14159,28654,4057,26626,127717,4.46,4.46
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,89,1,0.168,0.15498,24597,3812,22691,101091,4.11,4.11
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,90,1,0.19546,0.17806,20785,3701,18934,78400,3.77,3.78
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,91,1,0.2126,0.19217,17084,3283,15442,59466,3.48,3.48
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,92,1,0.23119,0.20723,13801,2860,12371,44023,3.19,3.19
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,93,1,0.27831,0.24431,10941,2673,9604,31652,2.89,2.9
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,94,1,0.31435,0.27165,8268,2246,7145,22048,2.67,2.67
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,95,1,0.34661,0.29542,6022,1779,5132,14903,2.47,2.49
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,96,1,0.3582,0.30379,4243,1289,3598,9770,2.3,2.32
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,97,1,0.42082,0.34766,2954,1027,2440,6172,2.09,2.11
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,98,1,0.45791,0.3726,1927,718,1568,3731,1.94,1.97
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,99,1,0.5057,0.40364,1209,488,965,2163,1.79,1.84
AUT,0,0,0,0,1,3040.31,2018,2018,1,1,100,99,0.6018,1,721,721,1198,1198,1.66,1.75
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,0,1,0.00238,0.00237,100000,237,99777,8400376,84,84.01
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,1,1,0.00021,0.00021,99763,21,99752,8300600,83.2,83.21
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,2,1,7e-05,7e-05,99742,7,99738,8200847,82.22,82.22
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,3,1,7e-05,7e-05,99735,7,99732,8101109,81.23,81.23
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,4,1,1e-04,1e-04,99728,10,99723,8001377,80.23,80.24
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,5,1,7e-05,7e-05,99718,7,99714,7901654,79.24,79.24
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,6,1,3e-05,3e-05,99711,3,99710,7801940,78.25,78.25
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,7,1,7e-05,7e-05,99708,7,99704,7702230,77.25,77.25
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,8,1,1e-04,1e-04,99701,10,99696,7602526,76.25,76.26
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,9,1,5e-05,5e-05,99691,5,99688,7502830,75.26,75.26
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,10,1,5e-05,5e-05,99686,5,99684,7403141,74.26,74.27
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,11,1,2e-05,2e-05,99681,2,99680,7303458,73.27,73.27
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,12,1,1e-04,1e-04,99679,10,99674,7203778,72.27,72.27
AUT,0,0,0,0,1,3040.31,2018,2018,1,2,13,1,2e-05,2e-05,99669,2,99668,7104104,71.28,71.28
