Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BDI,0,0,0,0,1,915.01,2008,2008,4,1,0,1,0.115,0.107,100000,10700,93045,4607080,46.07,46.07
BDI,0,0,0,0,1,915.01,2008,2008,4,1,1,4,0.01575,0.06047,89300,5400,342901,4514035,50.55,50.53
BDI,0,0,0,0,1,915.01,2008,2008,4,1,5,5,0.0077,0.03778,83900,3170,411575,4171134,49.72,49.66
BDI,0,0,0,0,1,915.01,2008,2008,4,1,10,5,0.00423,0.02093,80730,1690,399425,3759559,46.57,46.51
BDI,0,0,0,0,1,915.01,2008,2008,4,1,15,5,0.00762,0.0374,79040,2956,387810,3360134,42.51,42.45
BDI,0,0,0,0,1,915.01,2008,2008,4,1,20,5,0.00957,0.04672,76084,3555,371532,2972324,39.07,38.99
BDI,0,0,0,0,1,915.01,2008,2008,4,1,25,5,0.00955,0.04662,72529,3381,354192,2600791,35.86,35.78
BDI,0,0,0,0,1,915.01,2008,2008,4,1,30,5,0.0098,0.04781,69148,3306,337475,2246599,32.49,32.4
BDI,0,0,0,0,1,915.01,2008,2008,4,1,35,5,0.01085,0.05284,65842,3479,320512,1909124,29,28.91
BDI,0,0,0,0,1,915.01,2008,2008,4,1,40,5,0.01319,0.06384,62363,3981,301862,1588611,25.47,25.38
BDI,0,0,0,0,1,915.01,2008,2008,4,1,45,5,0.01591,0.07651,58382,4467,280742,1286749,22.04,21.94
BDI,0,0,0,0,1,915.01,2008,2008,4,1,50,5,0.02087,0.09917,53915,5347,256208,1006006,18.66,18.55
BDI,0,0,0,0,1,915.01,2008,2008,4,1,55,5,0.02838,0.13249,48568,6435,226752,749799,15.44,15.3
BDI,0,0,0,0,1,915.01,2008,2008,4,1,60,5,0.04234,0.19142,42133,8065,190502,523046,12.41,12.25
BDI,0,0,0,0,1,915.01,2008,2008,4,1,65,5,0.06299,0.2721,34068,9270,147165,332544,9.76,9.54
BDI,0,0,0,0,1,915.01,2008,2008,4,1,70,5,0.09908,0.39705,24798,9846,99375,185379,7.48,7.17
BDI,0,0,0,0,1,915.01,2008,2008,4,1,75,5,0.15406,0.55611,14952,8315,53972,86004,5.75,5.25
BDI,0,0,0,0,1,915.01,2008,2008,4,1,80,99,0.2072,1,6637,6637,32031,32031,4.83,3.8
BDI,0,0,0,0,1,915.01,2008,2008,4,2,0,1,0.10584,0.099,100000,9900,93535,5187529,51.88,51.84
BDI,0,0,0,0,1,915.01,2008,2008,4,2,1,4,0.01291,0.04994,90100,4500,348533,5093994,56.54,56.49
BDI,0,0,0,0,1,915.01,2008,2008,4,2,5,5,0.00636,0.03131,85600,2680,421300,4745461,55.44,55.35
BDI,0,0,0,0,1,915.01,2008,2008,4,2,10,5,0.00338,0.01674,82920,1388,411130,4324161,52.15,52.05
BDI,0,0,0,0,1,915.01,2008,2008,4,2,15,5,0.00476,0.02352,81532,1918,402865,3913031,47.99,47.89
BDI,0,0,0,0,1,915.01,2008,2008,4,2,20,5,0.0064,0.03151,79614,2509,391798,3510166,44.09,43.98
BDI,0,0,0,0,1,915.01,2008,2008,4,2,25,5,0.00703,0.03452,77105,2662,378870,3118368,40.44,40.33
BDI,0,0,0,0,1,915.01,2008,2008,4,2,30,5,0.00735,0.03608,74443,2686,365500,2739498,36.8,36.68
BDI,0,0,0,0,1,915.01,2008,2008,4,2,35,5,0.00795,0.03898,71757,2797,351792,2373998,33.08,32.96
BDI,0,0,0,0,1,915.01,2008,2008,4,2,40,5,0.00856,0.04192,68960,2891,337572,2022206,29.32,29.2
BDI,0,0,0,0,1,915.01,2008,2008,4,2,45,5,0.00958,0.04677,66069,3090,322620,1684633,25.5,25.37
BDI,0,0,0,0,1,915.01,2008,2008,4,2,50,5,0.01286,0.06227,62979,3922,305090,1362013,21.63,21.49
BDI,0,0,0,0,1,915.01,2008,2008,4,2,55,5,0.01796,0.08595,59057,5076,282595,1056923,17.9,17.75
BDI,0,0,0,0,1,915.01,2008,2008,4,2,60,5,0.02943,0.13709,53981,7400,251405,774328,14.34,14.15
BDI,0,0,0,0,1,915.01,2008,2008,4,2,65,5,0.04699,0.21026,46581,9794,208420,522923,11.23,10.99
BDI,0,0,0,0,1,915.01,2008,2008,4,2,70,5,0.0785,0.32811,36787,12070,153760,314503,8.55,8.25
BDI,0,0,0,0,1,915.01,2008,2008,4,2,75,5,0.12707,0.48218,24717,11918,93790,160743,6.5,6.05
BDI,0,0,0,0,1,915.01,2008,2008,4,2,80,99,0.19116,1,12799,12799,66953,66953,5.23,4.4
