Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,0,1,0.00415,0.00413,100000,413,99613,7919401,79.19,79.19
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,1,1,0.00024,0.00024,99587,24,99575,7819788,78.52,78.52
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,2,1,0.00025,0.00025,99563,25,99550,7720213,77.54,77.54
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,3,1,1e-04,1e-04,99538,10,99533,7620662,76.56,76.56
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,4,1,7e-05,7e-05,99528,7,99524,7521129,75.57,75.57
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,5,1,5e-05,5e-05,99521,5,99518,7421605,74.57,74.57
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,6,1,0.00016,0.00016,99516,16,99508,7322086,73.58,73.58
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,7,1,0.00011,0.00011,99500,11,99494,7222578,72.59,72.59
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,8,1,5e-05,5e-05,99489,5,99486,7123084,71.6,71.6
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,9,1,9e-05,9e-05,99484,9,99480,7023597,70.6,70.6
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,10,1,1e-04,1e-04,99475,10,99470,6924118,69.61,69.61
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,11,1,0.00013,0.00013,99465,13,99458,6824648,68.61,68.61
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,12,1,8e-05,8e-05,99452,8,99448,6725189,67.62,67.62
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,13,1,9e-05,9e-05,99444,9,99440,6625741,66.63,66.63
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,14,1,0.00012,0.00012,99435,12,99429,6526302,65.63,65.63
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,15,1,0.00016,0.00016,99423,16,99415,6426873,64.64,64.64
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,16,1,0.00019,0.00019,99407,19,99398,6327458,63.65,63.65
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,17,1,0.00021,0.00021,99388,21,99378,6228060,62.66,62.66
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,18,1,2e-04,2e-04,99367,20,99357,6128683,61.68,61.68
BEL,0,0,0,0,1,3070.3,2018,2018,1,1,19,1,0.00052,0.00052,99347,52,99321,6029326,60.69,60.69
