Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,0,1,0.03534,0.03431,100000,3431,97094,5358285,53.58,54.2
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,1,4,0.02878,0.10753,96569,10384,360831,5261191,54.48,55.11
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,5,5,0.00903,0.04417,86185,3807,421408,4900360,56.86,57.59
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,10,5,0.00401,0.01985,82378,1635,407802,4478952,54.37,55.13
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,15,5,0.00363,0.01797,80743,1451,400088,4071150,50.42,51.2
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,20,5,0.00627,0.03089,79292,2449,390338,3671062,46.3,47.09
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,25,5,0.00551,0.02716,76843,2087,378998,3280725,42.69,43.51
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,30,5,0.0067,0.03293,74756,2462,367625,2901727,38.82,39.66
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,35,5,0.0067,0.03293,72294,2381,355518,2534102,35.05,35.92
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,40,5,0.00882,0.04314,69913,3016,342025,2178585,31.16,32.06
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,45,5,0.01061,0.05169,66897,3458,325840,1836560,27.45,28.39
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,50,5,0.00844,0.04133,63439,2622,310640,1510720,23.81,24.8
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,55,5,0.01766,0.08458,60817,5144,291225,1200080,19.73,20.77
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,60,5,0.0299,0.13912,55673,7745,259002,908855,16.32,17.45
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,65,5,0.02969,0.13819,47928,6623,223082,649852,13.56,14.87
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,70,5,0.05833,0.25455,41305,10514,180240,426770,10.33,11.85
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,75,5,0.07539,0.31717,30791,9766,129540,246530,8.01,10.05
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,80,5,0.13122,0.49403,21025,10387,79158,116990,5.56,8.55
BFA,10,0,0,0,1,3591.18,1995,1998,4,1,85,99,0.28119,1,10638,10638,37832,37832,3.56,9.47
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,0,1,0.04426,0.04271,100000,4271,96490,5290763,52.91,53.06
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,1,4,0.02865,0.10682,95729,10226,356886,5194273,54.26,54.41
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,5,5,0.00698,0.03431,85503,2934,420180,4837387,56.58,56.76
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,10,5,0.00396,0.01961,82569,1619,408798,4417207,53.5,53.69
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,15,5,0.00508,0.02509,80950,2031,399672,4008409,49.52,49.71
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,20,5,0.0044,0.02177,78919,1718,390300,3608737,45.73,45.93
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,25,5,0.00669,0.0329,77201,2540,379655,3218437,41.69,41.89
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,30,5,0.00495,0.02447,74661,1827,368738,2838782,38.02,38.23
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,35,5,0.00529,0.02613,72834,1903,359412,2470044,33.91,34.13
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,40,5,0.00991,0.04837,70931,3431,346078,2110632,29.76,29.98
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,45,5,0.00953,0.04655,67500,3142,329645,1764554,26.14,26.37
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,50,5,0.0139,0.06716,64358,4322,310985,1434909,22.3,22.54
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,55,5,0.02109,0.10017,60036,6014,285145,1123924,18.72,18.98
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,60,5,0.0306,0.14211,54022,7677,250918,838779,15.53,15.82
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,65,5,0.04626,0.20731,46345,9608,207705,587862,12.68,13.02
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,70,5,0.0549,0.24136,36737,8867,161518,380157,10.35,10.77
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,75,5,0.10029,0.40093,27870,11174,111415,218639,7.84,8.41
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,80,5,0.09245,0.37548,16696,6269,67808,107224,6.42,7.36
BFA,10,0,0,0,1,3591.18,1995,1998,4,2,85,99,0.26453,1,10427,10427,39417,39417,3.78,5.28
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,0,1,0.10953,0.10225,100000,10225,93354,5148600,51.49,51.63
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,1,4,0.02562,0.09597,89775,8616,336285,5055246,56.31,56.48
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,5,5,0.00485,0.02397,81159,1945,400932,4718961,58.14,58.33
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,10,5,0.00229,0.01136,79214,900,393820,4318028,54.51,54.7
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,15,5,0.00244,0.01213,78314,950,389195,3924208,50.11,50.3
BFA,20,0,0,0,1,3591.19,1995,1998,4,1,20,5,0.00276,0.01373,77364,1062,384165,3535013,45.69,45.89
