Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,0,1,0.02826,0.02758,100000,2758,97608,7048231,70.48,70.85
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,1,4,0.0023,0.00914,97242,889,386808,6950623,71.48,71.85
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,5,5,8e-04,0.004,96353,385,480802,6563815,68.12,68.5
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,10,5,0.00046,0.00229,95968,220,479290,6083012,63.39,63.76
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,15,5,0.00129,0.00643,95748,616,477200,5603722,58.53,58.9
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,20,5,9e-04,0.00449,95132,427,474592,5126522,53.89,54.27
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,25,5,0.00105,0.00524,94705,496,472285,4651930,49.12,49.5
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,30,5,0.00104,0.00519,94209,489,469822,4179645,44.37,44.75
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,35,5,0.00161,0.00801,93720,751,466722,3709822,39.58,39.96
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,40,5,0.00235,0.01169,92969,1087,462128,3243100,34.88,35.26
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,45,5,0.00487,0.02404,91882,2209,453888,2780972,30.27,30.65
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,50,5,0.00865,0.04234,89673,3797,438872,2327085,25.95,26.3
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,55,5,0.0118,0.05733,85876,4923,417072,1888212,21.99,22.35
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,60,5,0.01572,0.07561,80953,6121,389462,1471140,18.17,18.55
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,65,5,0.02784,0.13016,74832,9740,349810,1081677,14.45,14.85
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,70,5,0.02928,0.13642,65092,8880,303260,731867,11.24,11.7
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,75,5,0.08727,0.3582,56212,20135,230722,428607,7.62,8.15
BGD,0,0,0,0,1,3060.04,2018,2018,4,1,80,99,0.18231,1,36077,36077,197885,197885,5.49,6.3
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,0,1,0.02593,0.02536,100000,2536,97784,7325341,73.25,73.82
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,1,4,0.00169,0.00674,97464,657,388202,7227558,74.16,74.73
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,5,5,0.00047,0.00234,96807,227,483468,6839355,70.65,71.22
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,10,5,0.00053,0.00264,96580,255,482262,6355888,65.81,66.38
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,15,5,0.00112,0.00559,96325,538,480280,5873625,60.98,61.55
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,20,5,0.00081,0.00404,95787,387,477968,5393345,56.31,56.87
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,25,5,0.00085,0.00425,95400,405,475988,4915378,51.52,52.09
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,30,5,0.00124,0.00618,94995,587,473508,4439390,46.73,47.3
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,35,5,0.00134,0.00668,94408,631,470462,3965883,42.01,42.58
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,40,5,0.00198,0.00985,93777,924,466575,3495420,37.27,37.85
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,45,5,0.00396,0.01962,92853,1822,459710,3028845,32.62,33.18
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,50,5,0.00519,0.02563,91031,2333,449322,2569135,28.22,28.79
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,55,5,0.00687,0.03377,88698,2995,436002,2119813,23.9,24.48
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,60,5,0.01235,0.05988,85703,5132,415685,1683810,19.65,20.25
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,65,5,0.01846,0.08822,80571,7108,385085,1268125,15.74,16.38
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,70,5,0.02592,0.12173,73463,8943,344958,883040,12.02,12.72
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,75,5,0.07772,0.32539,64520,20994,270115,538083,8.34,9.14
BGD,0,0,0,0,1,3060.04,2018,2018,4,2,80,99,0.16243,1,43526,43526,267968,267968,6.16,7.25
