Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,0,1,0.01775,0.01747,100000,1747,98432,7076869,70.77,70.77
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,1,4,0.00064,0.00256,98253,252,392407,6978437,71.03,71.03
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,5,5,0.00043,0.00213,98001,209,489482,6586030,67.2,67.21
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,10,5,0.00039,0.00194,97792,190,488485,6096547,62.34,62.35
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,15,5,0.00063,0.00315,97602,307,487242,5608062,57.46,57.46
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,20,5,0.00114,0.00569,97295,554,485090,5120820,52.63,52.64
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,25,5,0.00095,0.00473,96741,458,482560,4635730,47.92,47.92
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,30,5,0.00101,0.00502,96283,483,480208,4153170,43.14,43.14
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,35,5,0.00152,0.00756,95800,724,477190,3672962,38.34,38.34
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,40,5,0.00248,0.01232,95076,1171,472452,3195772,33.61,33.62
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,45,5,0.00416,0.02058,93905,1933,464692,2723320,29,29
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,50,5,0.00708,0.03476,91972,3197,451868,2258627,24.56,24.55
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,55,5,0.01209,0.05869,88775,5210,430850,1806760,20.35,20.34
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,60,5,0.02065,0.09818,83565,8204,397315,1375910,16.47,16.44
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,65,5,0.03506,0.16118,75361,12147,346438,978595,12.99,12.94
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,70,5,0.05911,0.25751,63214,16278,275375,632157,10,9.92
BHR,0,0,0,0,1,3700.1,1998,1998,4,1,75,99,0.13155,1,46936,46936,356782,356782,7.6,7.46
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,0,1,0.01619,0.01596,100000,1596,98560,7374575,73.75,73.75
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,1,4,0.00045,0.00178,98404,175,393178,7276015,73.94,73.95
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,5,5,0.00023,0.00116,98229,114,490860,6882837,70.07,70.08
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,10,5,0.00019,0.00097,98115,95,490338,6391977,65.15,65.16
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,15,5,0.00022,0.00111,98020,109,489828,5901639,60.21,60.22
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,20,5,0.00028,0.00142,97911,139,489208,5411812,55.27,55.28
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,25,5,0.00036,0.0018,97772,176,488420,4922604,50.35,50.36
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,30,5,5e-04,0.00252,97596,246,487365,4434184,45.43,45.44
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,35,5,0.00082,0.00407,97350,396,485760,3946819,40.54,40.55
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,40,5,0.00143,0.00715,96954,693,483038,3461059,35.7,35.7
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,45,5,0.00259,0.01288,96261,1240,478205,2978022,30.94,30.94
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,50,5,0.00469,0.02319,95021,2204,469595,2499817,26.31,26.31
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,55,5,0.0085,0.0416,92817,3861,454432,2030222,21.87,21.87
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,60,5,0.0154,0.07414,88956,6595,428292,1575789,17.71,17.7
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,65,5,0.02794,0.13057,82361,10754,384920,1147497,13.93,13.9
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,70,5,0.05,0.22224,71607,15914,318250,762577,10.65,10.58
BHR,0,0,0,0,1,3700.1,1998,1998,4,2,75,99,0.12534,1,55693,55693,444327,444327,7.98,7.85
