Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,0,1,0.00971,0.00962,100000,962,99114,7056676,70.57,70.57
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,1,4,0.00051,0.00203,99038,201,395674,6957562,70.25,70.25
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,5,5,0.00017,0.00085,98837,84,493975,6561888,66.39,66.39
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,10,5,0.00036,0.00178,98753,176,493325,6067913,61.45,61.45
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,15,5,0.00115,0.00572,98577,564,491475,5574588,56.55,56.55
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,20,5,0.00306,0.01517,98013,1487,486348,5083113,51.86,51.86
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,25,5,0.00334,0.01656,96526,1598,478635,4596765,47.62,47.62
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,30,5,0.00347,0.0172,94928,1633,470558,4118130,43.38,43.38
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,35,5,0.00465,0.02297,93295,2143,461118,3647573,39.1,39.09
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,40,5,0.0056,0.02761,91152,2517,449468,3186455,34.96,34.95
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,45,5,0.00704,0.03457,88635,3064,435515,2736988,30.88,30.87
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,50,5,0.0095,0.04641,85571,3971,417928,2301473,26.9,26.88
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,55,5,0.01273,0.0617,81600,5035,395412,1883545,23.08,23.07
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,60,5,0.01822,0.08714,76565,6672,366145,1488133,19.44,19.41
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,65,5,0.02635,0.12362,69893,8640,327865,1121988,16.05,16.01
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,70,5,0.03882,0.17694,61253,10838,279170,794123,12.96,12.91
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,75,5,0.06147,0.26641,50415,13431,218498,514953,10.21,10.12
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,80,5,0.07744,0.32441,36984,11998,154925,296455,8.02,7.88
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,85,5,0.14638,0.53582,24986,13388,91460,141530,5.66,5.47
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,90,5,0.20292,0.67313,11598,7807,38472,50070,4.32,3.98
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,95,5,0.30416,0.86389,3791,3275,10768,11598,3.06,2.57
BHS,0,0,0,0,1,1864.01,2009,2011,4,1,100,99,0.62148,1,516,516,830,830,1.61,0.97
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,0,1,0.00941,0.00933,100000,933,99140,7681359,76.81,76.83
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,1,4,0.00056,0.00222,99067,220,395720,7582220,76.54,76.55
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,5,5,0.00023,0.00115,98847,114,493950,7186500,72.7,72.72
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,10,5,0.00021,0.00104,98733,103,493408,6692550,67.78,67.8
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,15,5,0.00067,0.00334,98630,329,492328,6199142,62.85,62.87
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,20,5,0.00087,0.00434,98301,427,490438,5706815,58.05,58.07
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,25,5,0.00122,0.0061,97874,597,487878,5216377,53.3,53.31
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,30,5,0.00196,0.00975,97277,948,484015,4728500,48.61,48.62
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,35,5,0.00204,0.01015,96329,978,479200,4244485,44.06,44.07
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,40,5,0.00318,0.01575,95351,1502,473000,3765285,39.49,39.5
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,45,5,0.00388,0.01919,93849,1801,464742,3292285,35.08,35.09
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,50,5,0.00591,0.0291,92048,2679,453542,2827542,30.72,30.72
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,55,5,0.00759,0.03725,89369,3329,438522,2374000,26.56,26.57
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,60,5,0.01191,0.05783,86040,4976,417760,1935477,22.5,22.49
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,65,5,0.0166,0.07971,81064,6462,389165,1517717,18.72,18.71
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,70,5,0.02235,0.10584,74602,7896,353270,1128552,15.13,15.11
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,75,5,0.04569,0.20505,66706,13678,299335,775282,11.62,11.58
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,80,5,0.07097,0.30139,53028,15982,225185,475947,8.98,8.88
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,85,5,0.11673,0.45182,37046,16738,143385,250762,6.77,6.62
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,90,5,0.14672,0.53673,20308,10900,74290,107377,5.29,5.07
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,95,5,0.24916,0.76764,9408,7222,28985,33087,3.52,3.26
BHS,0,0,0,0,1,1864.01,2009,2011,4,2,100,99,0.53288,1,2186,2186,4102,4102,1.88,1.6
