Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,0,1,0.00814,0.00808,100000,808,99252,7391120,73.91,73.91
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,1,1,0.00021,0.00021,99192,21,99182,7291868,73.51,73.51
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,2,1,0.00015,0.00015,99171,15,99164,7192686,72.53,72.53
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,3,1,0.00028,0.00028,99156,28,99142,7093523,71.54,71.54
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,4,1,0.00022,0.00022,99128,22,99117,6994381,70.56,70.56
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,5,1,9e-05,9e-05,99106,9,99102,6895264,69.57,69.57
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,6,1,0.00015,0.00015,99097,15,99090,6796162,68.58,68.58
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,7,1,0.00011,0.00011,99082,11,99076,6697073,67.59,67.59
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,8,1,0.00012,0.00012,99071,12,99065,6597996,66.6,66.6
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,9,1,0.00016,0.00016,99059,16,99051,6498931,65.61,65.61
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,10,1,2e-04,2e-04,99043,20,99033,6399880,64.62,64.62
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,11,1,0.00019,0.00019,99023,19,99014,6300847,63.63,63.63
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,12,1,0.00022,0.00022,99004,22,98993,6201834,62.64,62.64
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,13,1,0.00023,0.00023,98982,23,98970,6102841,61.66,61.66
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,14,1,0.00025,0.00025,98959,25,98946,6003870,60.67,60.67
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,15,1,0.00026,0.00026,98934,26,98921,5904924,59.69,59.69
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,16,1,0.00026,0.00026,98908,26,98895,5806003,58.7,58.7
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,17,1,3e-04,3e-04,98882,30,98867,5707108,57.72,57.72
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,18,1,0.00042,0.00042,98852,42,98831,5608241,56.73,56.73
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,19,1,0.00053,0.00053,98810,52,98784,5509410,55.76,55.76
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,20,1,0.00057,0.00057,98758,56,98730,5410626,54.79,54.79
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,21,1,0.00062,0.00062,98702,61,98672,5311896,53.82,53.82
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,22,1,0.00065,0.00065,98641,64,98609,5213224,52.85,52.85
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,23,1,0.00068,0.00068,98577,67,98544,5114615,51.88,51.88
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,24,1,0.00066,0.00066,98510,65,98478,5016072,50.92,50.92
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,25,1,0.00061,0.00061,98445,60,98415,4917594,49.95,49.95
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,26,1,0.00065,0.00065,98385,64,98353,4819179,48.98,48.98
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,27,1,0.00066,0.00066,98321,65,98288,4720826,48.01,48.01
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,28,1,0.00067,0.00067,98256,66,98223,4622538,47.05,47.05
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,29,1,0.00062,0.00062,98190,61,98160,4524315,46.08,46.08
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,30,1,0.00081,0.00081,98129,79,98090,4426155,45.11,45.11
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,31,1,0.00085,0.00085,98050,83,98008,4328066,44.14,44.14
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,32,1,0.00089,0.00089,97967,87,97924,4230057,43.18,43.18
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,33,1,0.00089,0.00089,97880,87,97836,4132134,42.22,42.22
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,34,1,0.00089,0.00089,97793,87,97750,4034297,41.25,41.25
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,35,1,0.00097,0.00097,97706,95,97658,3936548,40.29,40.29
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,36,1,0.00106,0.00106,97611,103,97560,3838889,39.33,39.33
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,37,1,0.00114,0.00114,97508,111,97452,3741330,38.37,38.37
BIH,0,0,0,0,1,3640.01,2012,2014,1,1,38,1,0.00126,0.00126,97397,123,97336,3643877,37.41,37.41
