Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,0,1,0.13241,0.12192,100000,12192,92075,5067075,50.67,50.51
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,1,1,0.06631,0.06419,87808,5636,84990,4975000,56.66,56.46
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,2,1,0.02035,0.02014,82172,1655,81344,4890010,59.51,59.32
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,3,1,0.01325,0.01316,80517,1060,79987,4808665,59.72,59.53
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,4,1,0.00646,0.00644,79457,512,79201,4728678,59.51,59.32
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,5,5,0.00432,0.02137,78945,1687,390508,4649477,58.9,58.71
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,10,5,0.00225,0.0112,77258,865,384128,4258970,55.13,54.93
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,15,5,0.00291,0.01446,76393,1105,379202,3874842,50.72,50.53
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,20,5,0.00334,0.01658,75288,1248,373320,3495640,46.43,46.23
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,25,5,0.00413,0.02046,74040,1515,366412,3122320,42.17,41.97
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,30,5,0.00506,0.02498,72525,1812,358095,2755907,38,37.79
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,35,5,0.00633,0.03115,70713,2203,348058,2397812,33.91,33.70
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,40,5,0.00829,0.04061,68510,2782,335595,2049755,29.92,29.70
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,45,5,0.0116,0.05638,65728,3706,319375,1714160,26.08,25.85
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,50,5,0.01638,0.07867,62022,4879,297912,1394785,22.49,22.25
BLR,0,0,0,0,1,1701.01,1938,1939,4,1,55,5,0.02289,0.10827,57143,6187,270248,1096872,19.2,18.93
