Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,0,1,0.01807,0.01778,100000,1778,98406,6928971,69.29,71.15
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,1,1,0.00128,0.00128,98222,126,98159,6830565,69.54,74.14
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,2,3,0.00077,0.0023,98096,226,293949,6732406,68.63,70.45
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,5,5,4e-04,0.002,97870,196,488860,6438457,65.79,67.61
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,10,5,0.00046,0.00229,97674,224,487810,5949597,60.91,62.74
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,15,5,0.00161,0.008,97450,780,485300,5461787,56.05,57.88
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,20,5,0.00272,0.01351,96670,1306,480085,4976487,51.48,53.33
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,25,5,0.0037,0.01831,95364,1746,472455,4496402,47.15,49.03
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,30,5,0.0042,0.02078,93618,1945,463228,4023947,42.98,44.89
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,35,5,0.00409,0.02025,91673,1856,453725,3560720,38.84,40.79
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,40,5,0.00494,0.02438,89817,2190,443610,3106995,34.59,36.58
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,45,5,0.00678,0.03335,87627,2922,430830,2663385,30.39,32.44
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,50,5,0.00926,0.04527,84705,3835,413938,2232555,26.36,28.47
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,55,5,0.01417,0.06843,80870,5534,390515,1818617,22.49,24.7
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,60,5,0.01605,0.07715,75336,5812,362150,1428102,18.96,21.33
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,65,5,0.02362,0.11152,69524,7753,328238,1065952,15.33,17.9
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,70,5,0.03452,0.15889,61771,9815,284318,737715,11.94,14.84
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,75,5,0.04949,0.22022,51956,11442,231175,453397,8.73,12.17
BLZ,0,0,0,0,1,1231.01,2010,2010,4,1,80,99,0.18231,1,40514,40514,222222,222222,5.49,9.9
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,0,1,0.0161,0.01587,100000,1587,98568,7457745,74.58,76.57
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,1,1,0.00182,0.00182,98413,179,98324,7359177,74.78,76.79
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,2,3,0.00052,0.00157,98234,154,294471,7260854,73.91,75.93
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,5,5,0.00036,0.00178,98080,175,489962,6966383,71.03,73.05
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,10,5,0.00026,0.00131,97905,128,489205,6476420,66.15,68.18
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,15,5,0.00065,0.00325,97777,318,488090,5987215,61.23,63.27
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,20,5,0.00086,0.00428,97459,417,486252,5499125,56.43,58.46
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,25,5,0.00117,0.00585,97042,568,483790,5012873,51.66,53.71
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,30,5,0.00147,0.00733,96474,707,480602,4529083,46.95,49.01
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,35,5,0.0023,0.01141,95767,1093,476102,4048480,42.27,44.35
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,40,5,0.00245,0.01218,94674,1153,470488,3572378,37.73,39.85
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,45,5,0.00443,0.02192,93521,2050,462480,3101890,33.17,35.31
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,50,5,0.00612,0.03013,91471,2756,450465,2639410,28.86,31.05
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,55,5,0.00856,0.04192,88715,3719,434278,2188945,24.67,26.93
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,60,5,0.01316,0.0637,84996,5414,411445,1754668,20.64,23
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,65,5,0.01599,0.07689,79582,6119,382612,1343223,16.88,19.4
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,70,5,0.02407,0.11351,73463,8339,346468,960610,13.08,15.8
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,75,5,0.0443,0.1994,65124,12986,293155,614143,9.43,12.51
BLZ,0,0,0,0,1,1231.01,2010,2010,4,2,80,99,0.16243,1,52138,52138,320988,320988,6.16,10
