Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,0,1,0.05205,0.04997,100000,4997,96002,6402702,64.03,64.06
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,1,4,0.00889,0.03479,95003,3305,371758,6306700,66.38,66.4
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,5,5,0.00236,0.01173,91698,1076,455800,5934943,64.72,64.72
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,10,5,0.00143,0.00712,90622,645,451498,5479143,60.46,60.46
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,15,5,0.0023,0.01143,89977,1028,447315,5027645,55.88,55.88
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,20,5,0.00337,0.01671,88949,1486,441030,4580330,51.49,51.5
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,25,5,0.00361,0.01789,87463,1565,433402,4139300,47.33,47.33
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,30,5,0.004,0.0198,85898,1701,425238,3705898,43.14,43.14
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,35,5,0.00486,0.02399,84197,2020,415935,3280660,38.96,38.97
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,40,5,0.00567,0.02798,82177,2299,405138,2864725,34.86,34.86
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,45,5,0.00738,0.03623,79878,2894,392155,2459588,30.79,30.79
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,50,5,0.0093,0.04544,76984,3498,376175,2067433,26.86,26.86
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,55,5,0.01325,0.06411,73486,4711,355652,1691258,23.01,23.02
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,60,5,0.01929,0.092,68775,6327,328058,1335605,19.42,19.42
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,65,5,0.02694,0.12618,62448,7880,292540,1007548,16.13,16.14
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,70,5,0.03866,0.17628,54568,9619,248792,715008,13.1,13.11
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,75,5,0.05835,0.25462,44949,11445,196132,466215,10.37,10.38
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,80,5,0.08462,0.34921,33504,11700,138270,270083,8.06,8.07
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,85,5,0.13185,0.49583,21804,10811,81992,131813,6.05,6.05
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,90,5,0.19198,0.64859,10993,7130,37140,49820,4.53,4.55
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,95,5,0.26921,0.80456,3863,3108,11545,12680,3.28,3.32
BOL,0,0,0,0,1,4000.14,2010,2010,4,1,100,99,0.66495,1,755,755,1135,1135,1.5,1.7
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,0,1,0.04401,0.04247,100000,4247,96506,6874102,68.74,68.75
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,1,4,0.00797,0.03124,95753,2991,375400,6777596,70.78,70.81
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,5,5,0.00197,0.00981,92762,910,461535,6402196,69.02,69.02
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,10,5,0.00122,0.00607,91852,558,457865,5940661,64.68,64.68
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,15,5,0.00151,0.00751,91294,686,454755,5482796,60.06,60.06
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,20,5,0.00179,0.0089,90608,806,451025,5028041,55.49,55.5
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,25,5,0.00198,0.00987,89802,886,446795,4577016,50.97,50.98
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,30,5,0.0024,0.01192,88916,1060,441930,4130221,46.45,46.46
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,35,5,0.00311,0.01545,87856,1357,435888,3688291,41.98,41.99
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,40,5,0.00395,0.01955,86499,1691,428268,3252404,37.6,37.61
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,45,5,0.00539,0.0266,84808,2256,418400,2824136,33.3,33.31
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,50,5,0.00731,0.0359,82552,2964,405350,2405736,29.14,29.15
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,55,5,0.01027,0.05006,79588,3984,387980,2000386,25.13,25.14
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,60,5,0.01569,0.07551,75604,5709,363748,1612406,21.33,21.34
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,65,5,0.02254,0.10669,69895,7457,330832,1248659,17.86,17.87
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,70,5,0.03136,0.14541,62438,9079,289492,917826,14.7,14.71
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,75,5,0.04671,0.20911,53359,11158,238900,628334,11.78,11.79
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,80,5,0.07238,0.30644,42201,12932,178675,389434,9.23,9.24
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,85,5,0.10496,0.41573,29269,12168,115925,210759,7.2,7.22
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,90,5,0.14036,0.5195,17101,8884,63295,94834,5.55,5.59
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,95,5,0.20777,0.6837,8217,5618,27040,31539,3.84,3.92
BOL,0,0,0,0,1,4000.14,2010,2010,4,2,100,99,0.57771,1,2599,2599,4499,4499,1.73,2
