Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,0,1,0.01398,0.0138,100000,1380,98746,7123661,71.24,72.53
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,1,1,0.00092,0.00092,98620,91,98574,7024915,71.23,72.53
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,2,1,0.00061,0.00061,98529,60,98499,6926341,70.3,71.6
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,3,1,0.00048,0.00048,98469,47,98446,6827842,69.34,70.64
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,4,1,4e-04,4e-04,98422,39,98402,6729396,68.37,69.68
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,5,1,0.00034,0.00034,98383,33,98366,6630994,67.4,68.7
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,6,1,0.00031,0.00031,98350,30,98335,6532627,66.42,67.73
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,7,1,0.00028,0.00028,98320,28,98306,6434292,65.44,66.75
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,8,1,0.00026,0.00026,98292,26,98279,6335986,64.46,65.77
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,9,1,0.00025,0.00025,98266,25,98254,6237707,63.48,64.78
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,10,1,0.00026,0.00026,98241,26,98228,6139454,62.49,63.8
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,11,1,0.00029,0.00029,98215,28,98201,6041226,61.51,62.82
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,12,1,0.00033,0.00033,98187,32,98171,5943025,60.53,61.83
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,13,1,4e-04,4e-04,98155,39,98136,5844854,59.55,60.85
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,14,1,0.00053,0.00053,98116,52,98090,5746718,58.57,59.88
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,15,1,0.00105,0.00105,98064,103,98012,5648628,57.6,58.91
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,16,1,0.00135,0.00135,97961,132,97895,5550616,56.66,57.97
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,17,1,0.00162,0.00162,97829,158,97750,5452721,55.74,57.05
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,18,1,0.00182,0.00182,97671,178,97582,5354971,54.83,56.14
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,19,1,0.00201,0.00201,97493,196,97395,5257389,53.93,55.24
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,20,1,0.00217,0.00217,97297,211,97192,5159994,53.03,54.35
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,21,1,0.00235,0.00235,97086,228,96972,5062802,52.15,53.47
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,22,1,0.00245,0.00245,96858,237,96740,4965830,51.27,52.59
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,23,1,0.0025,0.00249,96621,241,96500,4869091,50.39,51.72
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,24,1,0.00247,0.00247,96380,238,96261,4772590,49.52,50.85
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,25,1,0.00244,0.00243,96142,234,96025,4676329,48.64,49.98
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,26,1,0.0024,0.0024,95908,230,95793,4580304,47.76,49.1
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,27,1,0.00239,0.00238,95678,228,95564,4484511,46.87,48.21
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,28,1,0.00239,0.00239,95450,228,95336,4388947,45.98,47.33
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,29,1,0.00244,0.00244,95222,232,95106,4293611,45.09,46.44
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,30,1,0.00249,0.00248,94990,236,94872,4198505,44.2,45.55
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,31,1,0.00253,0.00252,94754,239,94634,4103633,43.31,44.66
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,32,1,0.00258,0.00258,94515,244,94393,4008999,42.42,43.77
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,33,1,0.00263,0.00263,94271,248,94147,3914606,41.53,42.89
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,34,1,0.00272,0.00271,94023,255,93896,3820459,40.63,42
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,35,1,0.0028,0.00279,93768,262,93637,3726563,39.74,41.11
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,36,1,0.0029,0.0029,93506,271,93370,3632926,38.85,40.23
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,37,1,0.00302,0.00301,93235,281,93094,3539556,37.96,39.34
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,38,1,0.00315,0.00314,92954,292,92808,3446461,37.08,38.46
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,39,1,0.00329,0.00328,92662,304,92510,3353653,36.19,37.58
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,40,1,0.00346,0.00345,92358,319,92198,3261143,35.31,36.7
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,41,1,0.00365,0.00364,92039,335,91872,3168945,34.43,35.83
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,42,1,0.00387,0.00386,91704,354,91527,3077073,33.55,34.95
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,43,1,0.00412,0.00412,91350,376,91162,2985546,32.68,34.09
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,44,1,0.00441,0.0044,90974,400,90774,2894384,31.82,33.23
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,45,1,0.00471,0.0047,90574,426,90361,2803610,30.95,32.37
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,46,1,0.00506,0.00505,90148,455,89920,2713249,30.1,31.52
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,47,1,0.00543,0.00542,89693,486,89450,2623329,29.25,30.68
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,48,1,0.00585,0.00583,89207,520,88947,2533879,28.4,29.84
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,49,1,0.0063,0.00628,88687,557,88408,2444932,27.57,29.02
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,50,1,0.00677,0.00675,88130,595,87832,2356523,26.74,28.2
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,51,1,0.00729,0.00727,87535,636,87217,2268691,25.92,27.38
BRA,0,0,0,0,1,3090.21,2017,2017,1,1,52,1,0.00784,0.00781,86899,679,86560,2181474,25.1,26.58
