Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BRB,0,0,0,0,1,682.05,1965,1965,4,1,0,1,0.03996,0.03867,100000,3867,96775,6703404,67.03,66.92
BRB,0,0,0,0,1,682.05,1965,1965,4,1,1,4,0.002,0.00796,96133,765,382647,6606629,68.72,68.6
BRB,0,0,0,0,1,682.05,1965,1965,4,1,5,5,0.00043,0.00214,95368,204,476330,6223981,65.26,65.14
BRB,0,0,0,0,1,682.05,1965,1965,4,1,10,5,0.00053,0.00264,95164,251,475192,5747651,60.4,60.27
BRB,0,0,0,0,1,682.05,1965,1965,4,1,15,5,0.00075,0.00375,94913,356,473675,5272459,55.55,55.43
BRB,0,0,0,0,1,682.05,1965,1965,4,1,20,5,8e-04,0.00398,94557,376,471845,4798784,50.75,50.62
BRB,0,0,0,0,1,682.05,1965,1965,4,1,25,5,0.00187,0.00929,94181,875,468718,4326939,45.94,45.82
BRB,0,0,0,0,1,682.05,1965,1965,4,1,30,5,0.00184,0.00914,93306,853,464398,3858221,41.35,41.22
BRB,0,0,0,0,1,682.05,1965,1965,4,1,35,5,0.00304,0.01508,92453,1394,458780,3393824,36.71,36.58
BRB,0,0,0,0,1,682.05,1965,1965,4,1,40,5,0.00396,0.0196,91059,1785,450832,2935044,32.23,32.1
BRB,0,0,0,0,1,682.05,1965,1965,4,1,45,5,0.00577,0.02843,89274,2538,440025,2484211,27.83,27.68
BRB,0,0,0,0,1,682.05,1965,1965,4,1,50,5,0.00838,0.04104,86736,3560,424780,2044186,23.57,23.42
BRB,0,0,0,0,1,682.05,1965,1965,4,1,55,5,0.01358,0.06567,83176,5462,402225,1619406,19.47,19.31
BRB,0,0,0,0,1,682.05,1965,1965,4,1,60,5,0.02504,0.1178,77714,9155,365682,1217181,15.66,15.47
BRB,0,0,0,0,1,682.05,1965,1965,4,1,65,5,0.04282,0.19338,68559,13258,309650,851499,12.42,12.18
BRB,0,0,0,0,1,682.05,1965,1965,4,1,70,5,0.06131,0.26582,55301,14700,239755,541849,9.8,9.48
BRB,0,0,0,0,1,682.05,1965,1965,4,1,75,5,0.09131,0.37169,40601,15091,165278,302094,7.44,7
BRB,0,0,0,0,1,682.05,1965,1965,4,1,80,5,0.15222,0.55131,25510,14064,92390,136816,5.36,4.66
BRB,0,0,0,0,1,682.05,1965,1965,4,1,85,99,0.25764,1,11446,11446,44426,44426,3.88,2.39
BRB,0,0,0,0,1,682.05,1965,1965,4,2,0,1,0.04037,0.03906,100000,3906,96747,7088876,70.89,71.08
BRB,0,0,0,0,1,682.05,1965,1965,4,2,1,4,0.00237,0.00942,96094,905,382078,6992129,72.76,72.96
BRB,0,0,0,0,1,682.05,1965,1965,4,2,5,5,0.00062,0.00308,95189,293,475212,6610051,69.44,69.64
BRB,0,0,0,0,1,682.05,1965,1965,4,2,10,5,0.00013,0.00065,94896,62,474325,6134839,64.65,64.85
BRB,0,0,0,0,1,682.05,1965,1965,4,2,15,5,0.00039,0.00197,94834,187,473702,5660514,59.69,59.89
BRB,0,0,0,0,1,682.05,1965,1965,4,2,20,5,6e-04,0.003,94647,284,472525,5186811,54.8,55
BRB,0,0,0,0,1,682.05,1965,1965,4,2,25,5,0.00098,0.00491,94363,463,470658,4714286,49.96,50.16
BRB,0,0,0,0,1,682.05,1965,1965,4,2,30,5,0.0013,0.00646,93900,607,467982,4243629,45.19,45.39
BRB,0,0,0,0,1,682.05,1965,1965,4,2,35,5,0.00269,0.01336,93293,1246,463350,3775646,40.47,40.67
BRB,0,0,0,0,1,682.05,1965,1965,4,2,40,5,0.00416,0.02061,92047,1897,455492,3312296,35.98,36.19
BRB,0,0,0,0,1,682.05,1965,1965,4,2,45,5,0.00386,0.01911,90150,1723,446442,2856804,31.69,31.89
BRB,0,0,0,0,1,682.05,1965,1965,4,2,50,5,0.00492,0.02428,88427,2147,436768,2410361,27.26,27.47
BRB,0,0,0,0,1,682.05,1965,1965,4,2,55,5,0.00903,0.04415,86280,3809,421878,1973594,22.87,23.08
BRB,0,0,0,0,1,682.05,1965,1965,4,2,60,5,0.01925,0.09181,82471,7572,393425,1551716,18.82,19.02
BRB,0,0,0,0,1,682.05,1965,1965,4,2,65,5,0.02664,0.12489,74899,9354,351110,1158291,15.46,15.67
BRB,0,0,0,0,1,682.05,1965,1965,4,2,70,5,0.03833,0.17489,65545,11463,299068,807181,12.31,12.54
BRB,0,0,0,0,1,682.05,1965,1965,4,2,75,5,0.05144,0.22789,54082,12325,239598,508114,9.4,9.66
BRB,0,0,0,0,1,682.05,1965,1965,4,2,80,5,0.10081,0.40259,41757,16811,166758,268516,6.43,6.74
BRB,0,0,0,0,1,682.05,1965,1965,4,2,85,99,0.24515,1,24946,24946,101759,101759,4.08,4.5
