Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,0,1,0.00464,0.00462,100000,462,99568,7989999,79.9,79.91
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,1,1,3e-04,3e-04,99538,30,99523,7890432,79.27,79.27
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,2,1,0.00021,0.00021,99508,21,99498,7790909,78.29,78.3
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,3,1,0.00016,0.00016,99487,16,99479,7691411,77.31,77.32
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,4,1,0.00012,0.00012,99471,12,99465,7591932,76.32,76.33
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,5,1,1e-04,1e-04,99459,10,99454,7492467,75.33,75.34
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,6,1,8e-05,8e-05,99449,8,99445,7393013,74.34,74.34
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,7,1,8e-05,8e-05,99441,8,99437,7293568,73.35,73.35
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,8,1,8e-05,8e-05,99433,8,99429,7194131,72.35,72.36
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,9,1,8e-05,8e-05,99425,8,99421,7094702,71.36,71.36
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,10,1,8e-05,8e-05,99417,8,99413,6995281,70.36,70.37
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,11,1,1e-04,1e-04,99409,10,99404,6895868,69.37,69.37
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,12,1,0.00011,0.00011,99399,11,99394,6796464,68.38,68.38
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,13,1,0.00014,0.00014,99388,14,99381,6697071,67.38,67.39
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,14,1,0.00017,0.00017,99374,17,99366,6597690,66.39,66.4
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,15,1,0.00024,0.00024,99357,24,99345,6498324,65.4,65.41
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,16,1,0.00031,0.00031,99333,31,99318,6398979,64.42,64.42
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,17,1,4e-04,4e-04,99302,40,99282,6299662,63.44,63.44
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,18,1,0.00048,0.00048,99262,48,99238,6200380,62.46,62.47
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,19,1,0.00058,0.00058,99214,58,99185,6101142,61.49,61.5
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,20,1,0.00067,0.00067,99156,66,99123,6001957,60.53,60.53
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,21,1,0.00074,0.00074,99090,73,99054,5902834,59.57,59.57
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,22,1,8e-04,8e-04,99017,79,98978,5803780,58.61,58.62
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,23,1,0.00084,0.00084,98938,83,98896,5704803,57.66,57.66
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,24,1,0.00086,0.00086,98855,85,98812,5605906,56.71,56.71
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,25,1,0.00086,0.00086,98770,85,98728,5507094,55.76,55.76
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,26,1,0.00087,0.00087,98685,86,98642,5408366,54.8,54.81
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,27,1,0.00089,0.00089,98599,88,98555,5309724,53.85,53.86
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,28,1,0.00092,0.00092,98511,91,98466,5211169,52.9,52.9
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,29,1,0.00095,0.00094,98420,93,98374,5112704,51.95,51.95
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,30,1,0.00098,0.00098,98327,96,98279,5014330,51,51
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,31,1,0.00101,0.00101,98231,99,98182,4916051,50.05,50.05
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,32,1,0.00104,0.00104,98132,102,98081,4817870,49.1,49.1
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,33,1,0.00107,0.00107,98030,105,97978,4719789,48.15,48.15
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,34,1,0.00107,0.00107,97925,105,97872,4621811,47.2,47.2
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,35,1,0.00109,0.00109,97820,107,97766,4523939,46.25,46.25
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,36,1,0.00111,0.00111,97713,108,97659,4426172,45.3,45.3
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,37,1,0.00113,0.00113,97605,110,97550,4328513,44.35,44.35
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,38,1,0.00118,0.00118,97495,115,97438,4230963,43.4,43.4
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,39,1,0.00124,0.00124,97380,121,97320,4133526,42.45,42.45
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,40,1,0.00133,0.00133,97259,129,97194,4036206,41.5,41.5
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,41,1,0.00143,0.00143,97130,139,97060,3939012,40.55,40.56
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,42,1,0.00155,0.00155,96991,150,96916,3841951,39.61,39.62
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,43,1,0.00166,0.00166,96841,161,96760,3745035,38.67,38.68
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,44,1,0.0018,0.0018,96680,174,96593,3648275,37.74,37.74
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,45,1,0.00195,0.00195,96506,188,96412,3551682,36.8,36.81
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,46,1,0.00211,0.00211,96318,203,96216,3455270,35.87,35.88
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,47,1,0.00229,0.00229,96115,220,96005,3359053,34.95,34.95
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,48,1,0.00248,0.00248,95895,238,95776,3263048,34.03,34.03
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,49,1,0.0027,0.0027,95657,258,95528,3167272,33.11,33.11
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,50,1,0.00295,0.00295,95399,281,95258,3071744,32.2,32.2
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,51,1,0.0032,0.0032,95118,304,94966,2976486,31.29,31.3
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,52,1,0.00349,0.00348,94814,330,94649,2881520,30.39,30.39
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,53,1,0.00381,0.0038,94484,359,94304,2786871,29.5,29.5
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,54,1,0.00416,0.00415,94125,391,93930,2692566,28.61,28.61
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,55,1,0.00453,0.00452,93734,424,93522,2598637,27.72,27.73
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,56,1,0.00495,0.00494,93310,461,93080,2505115,26.85,26.85
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,57,1,0.00542,0.00541,92849,502,92598,2412035,25.98,25.98
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,58,1,0.00593,0.00591,92347,546,92074,2319437,25.12,25.12
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,59,1,0.00649,0.00647,91801,594,91504,2227363,24.26,24.26
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,60,1,0.00712,0.00709,91207,647,90884,2135859,23.42,23.42
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,61,1,0.00779,0.00776,90560,703,90208,2044976,22.58,22.58
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,62,1,0.00855,0.00851,89857,765,89474,1954767,21.75,21.76
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,63,1,0.00939,0.00935,89092,833,88676,1865293,20.94,20.94
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,64,1,0.01031,0.01025,88259,905,87806,1776617,20.13,20.13
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,65,1,0.01134,0.01128,87354,985,86862,1688811,19.33,19.34
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,66,1,0.01247,0.01239,86369,1070,85834,1601949,18.55,18.55
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,67,1,0.01372,0.01362,85299,1162,84718,1516115,17.77,17.77
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,68,1,0.01511,0.015,84137,1262,83506,1431397,17.01,17.01
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,69,1,0.01667,0.01653,82875,1370,82190,1347891,16.26,16.26
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,70,1,0.01837,0.01821,81505,1484,80763,1265701,15.53,15.53
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,71,1,0.02027,0.02007,80021,1606,79218,1184938,14.81,14.81
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,72,1,0.02241,0.02216,78415,1738,77546,1105720,14.1,14.1
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,73,1,0.02476,0.02445,76677,1875,75740,1028174,13.41,13.41
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,74,1,0.0274,0.02703,74802,2022,73791,952435,12.73,12.73
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,75,1,0.03032,0.02987,72780,2174,71693,878644,12.07,12.07
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,76,1,0.03361,0.03306,70606,2334,69439,806951,11.43,11.43
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,77,1,0.03726,0.03657,68272,2497,67024,737512,10.8,10.8
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,78,1,0.04135,0.04052,65775,2665,64442,670488,10.19,10.19
CAN,0,0,0,0,1,3110.05,2015,2017,1,1,79,1,0.04594,0.04491,63110,2834,61693,606046,9.6,9.6
