Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,0,1,0.00346,0.00345,100000,345,99676,8166594,81.67,81.67
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,1,1,0.00021,0.00021,99655,21,99644,8066918,80.95,80.95
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,2,1,0.00012,0.00012,99634,12,99628,7967274,79.97,79.97
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,3,1,1e-04,1e-04,99622,10,99617,7867646,78.97,78.98
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,4,1,9e-05,9e-05,99612,9,99608,7768029,77.98,77.99
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,5,1,8e-05,8e-05,99603,8,99599,7668421,76.99,76.99
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,6,1,7e-05,7e-05,99595,7,99592,7568822,76,76
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,7,1,6e-05,6e-05,99588,6,99585,7469231,75,75.01
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,8,1,7e-05,7e-05,99582,7,99578,7369646,74.01,74.01
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,9,1,6e-05,6e-05,99575,6,99572,7270067,73.01,73.02
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,10,1,7e-05,7e-05,99569,7,99566,7170495,72.02,72.02
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,11,1,8e-05,8e-05,99562,8,99558,7070930,71.02,71.02
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,12,1,8e-05,8e-05,99554,8,99550,6971372,70.03,70.03
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,13,1,0.00011,0.00011,99546,11,99540,6871822,69.03,69.04
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,14,1,0.00012,0.00012,99535,12,99529,6772281,68.04,68.04
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,15,1,0.00017,0.00017,99523,17,99514,6672752,67.05,67.05
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,16,1,0.00023,0.00023,99506,23,99494,6573238,66.06,66.06
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,17,1,0.00031,0.00031,99483,31,99468,6473743,65.07,65.08
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,18,1,4e-04,4e-04,99452,40,99432,6374276,64.09,64.1
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,19,1,0.00048,0.00048,99412,48,99388,6274844,63.12,63.12
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,20,1,5e-04,5e-04,99364,50,99339,6175456,62.15,62.15
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,21,1,5e-04,5e-04,99314,50,99289,6076117,61.18,61.19
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,22,1,0.00045,0.00045,99264,45,99242,5976828,60.21,60.22
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,23,1,0.00042,0.00042,99219,42,99198,5877586,59.24,59.24
CHE,0,0,0,0,1,3520.03,2018,2018,1,1,24,1,0.00038,0.00038,99177,38,99158,5778388,58.26,58.27
