Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CHN,0,0,0,0,1,223.4,1981,1981,1,1,0,1,0.03612,0.03505,100000,3505,97039,6648166,66.48,66.48
CHN,0,0,0,0,1,223.4,1981,1981,1,1,1,1,0.00683,0.00681,96495,657,96166,6551127,67.89,67.88
CHN,0,0,0,0,1,223.4,1981,1981,1,1,2,1,0.00419,0.00418,95838,401,95638,6454960,67.35,67.34
CHN,0,0,0,0,1,223.4,1981,1981,1,1,3,1,0.00297,0.00297,95437,283,95296,6359323,66.63,66.62
CHN,0,0,0,0,1,223.4,1981,1981,1,1,4,1,0.00217,0.00216,95154,206,95051,6264027,65.83,65.82
CHN,0,0,0,0,1,223.4,1981,1981,1,1,5,1,0.00176,0.00176,94948,167,94864,6168976,64.97,64.96
CHN,0,0,0,0,1,223.4,1981,1981,1,1,6,1,0.00151,0.00151,94781,143,94710,6074112,64.09,64.07
CHN,0,0,0,0,1,223.4,1981,1981,1,1,7,1,0.00122,0.00122,94638,115,94580,5979402,63.18,63.17
CHN,0,0,0,0,1,223.4,1981,1981,1,1,8,1,0.00108,0.00108,94523,102,94472,5884822,62.26,62.25
CHN,0,0,0,0,1,223.4,1981,1981,1,1,9,1,0.00092,0.00092,94421,87,94378,5790350,61.32,61.31
CHN,0,0,0,0,1,223.4,1981,1981,1,1,10,1,0.00086,0.00086,94334,81,94294,5695972,60.38,60.37
CHN,0,0,0,0,1,223.4,1981,1981,1,1,11,1,8e-04,8e-04,94253,75,94216,5601679,59.43,59.42
CHN,0,0,0,0,1,223.4,1981,1981,1,1,12,1,0.00074,0.00074,94178,70,94143,5507463,58.48,58.47
CHN,0,0,0,0,1,223.4,1981,1981,1,1,13,1,0.00073,0.00073,94108,69,94074,5413320,57.52,57.51
CHN,0,0,0,0,1,223.4,1981,1981,1,1,14,1,0.00079,0.00079,94039,74,94002,5319247,56.56,56.55
CHN,0,0,0,0,1,223.4,1981,1981,1,1,15,1,0.00086,0.00086,93965,81,93924,5225245,55.61,55.6
CHN,0,0,0,0,1,223.4,1981,1981,1,1,16,1,0.00096,0.00096,93884,90,93839,5131320,54.66,54.64
CHN,0,0,0,0,1,223.4,1981,1981,1,1,17,1,0.00109,0.00109,93794,102,93743,5037481,53.71,53.7
CHN,0,0,0,0,1,223.4,1981,1981,1,1,18,1,0.0012,0.0012,93692,112,93636,4943738,52.77,52.75
CHN,0,0,0,0,1,223.4,1981,1981,1,1,19,1,0.00129,0.00129,93580,121,93520,4850102,51.83,51.82
CHN,0,0,0,0,1,223.4,1981,1981,1,1,20,1,0.00148,0.00148,93459,138,93390,4756583,50.89,50.88
CHN,0,0,0,0,1,223.4,1981,1981,1,1,21,1,0.00129,0.00129,93321,120,93261,4663193,49.97,49.96
CHN,0,0,0,0,1,223.4,1981,1981,1,1,22,1,0.00143,0.00143,93201,133,93134,4569932,49.03,49.02
