Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CMR,0,0,0,0,1,916.01,2005,2005,4,1,0,1,0.08592,0.081,100000,8100,94273,5339269,53.39,53.44
CMR,0,0,0,0,1,916.01,2005,2005,4,1,1,4,0.02177,0.08244,91900,7576,347970,5244996,57.07,57.11
CMR,0,0,0,0,1,916.01,2005,2005,4,1,5,5,0.00352,0.01747,84324,1473,417938,4897026,58.07,58.06
CMR,0,0,0,0,1,916.01,2005,2005,4,1,10,5,0.0021,0.01045,82851,866,412090,4479088,54.06,54.05
CMR,0,0,0,0,1,916.01,2005,2005,4,1,15,5,0.00336,0.01667,81985,1367,406508,4066998,49.61,49.58
CMR,0,0,0,0,1,916.01,2005,2005,4,1,20,5,0.00478,0.02361,80618,1903,398332,3660491,45.41,45.38
CMR,0,0,0,0,1,916.01,2005,2005,4,1,25,5,0.00479,0.02365,78715,1862,388920,3262158,41.44,41.41
CMR,0,0,0,0,1,916.01,2005,2005,4,1,30,5,0.00535,0.02641,76853,2030,379190,2873238,37.39,37.35
CMR,0,0,0,0,1,916.01,2005,2005,4,1,35,5,0.00607,0.02991,74823,2238,368520,2494048,33.33,33.3
CMR,0,0,0,0,1,916.01,2005,2005,4,1,40,5,0.0078,0.03823,72585,2775,355988,2125528,29.28,29.25
CMR,0,0,0,0,1,916.01,2005,2005,4,1,45,5,0.01001,0.04883,69810,3409,340528,1769541,25.35,25.31
CMR,0,0,0,0,1,916.01,2005,2005,4,1,50,5,0.01392,0.06724,66401,4465,320842,1429013,21.52,21.48
CMR,0,0,0,0,1,916.01,2005,2005,4,1,55,5,0.01972,0.09398,61936,5821,295128,1108171,17.89,17.85
CMR,0,0,0,0,1,916.01,2005,2005,4,1,60,5,0.02974,0.13841,56115,7767,261158,813043,14.49,14.43
CMR,0,0,0,0,1,916.01,2005,2005,4,1,65,5,0.04514,0.2028,48348,9805,217228,551886,11.41,11.35
CMR,0,0,0,0,1,916.01,2005,2005,4,1,70,5,0.07342,0.31017,38543,11955,162828,334658,8.68,8.6
CMR,0,0,0,0,1,916.01,2005,2005,4,1,75,5,0.12019,0.46209,26588,12286,102225,171831,6.46,6.35
CMR,0,0,0,0,1,916.01,2005,2005,4,1,80,5,0.18165,0.6246,14302,8933,49178,69606,4.87,4.65
CMR,0,0,0,0,1,916.01,2005,2005,4,1,85,5,0.24843,0.76625,5369,4114,16560,20428,3.8,3.35
CMR,0,0,0,0,1,916.01,2005,2005,4,1,90,5,0.30605,0.86693,1255,1088,3555,3868,3.08,2.55
CMR,0,0,0,0,1,916.01,2005,2005,4,1,95,99,0.53286,1,167,167,313,313,1.88,1.9
CMR,0,0,0,0,1,916.01,2005,2005,4,2,0,1,0.07744,0.0733,100000,7330,94648,5714449,57.14,57.15
CMR,0,0,0,0,1,916.01,2005,2005,4,2,1,4,0.01887,0.07194,92670,6667,353377,5619800,60.64,60.65
CMR,0,0,0,0,1,916.01,2005,2005,4,2,5,5,0.00337,0.0167,86003,1436,426425,5266423,61.24,61.22
CMR,0,0,0,0,1,916.01,2005,2005,4,2,10,5,0.00198,0.00986,84567,834,420750,4839998,57.23,57.22
CMR,0,0,0,0,1,916.01,2005,2005,4,2,15,5,0.00286,0.01419,83733,1188,415695,4419248,52.78,52.76
CMR,0,0,0,0,1,916.01,2005,2005,4,2,20,5,0.00379,0.01875,82545,1548,408855,4003553,48.5,48.49
CMR,0,0,0,0,1,916.01,2005,2005,4,2,25,5,0.00424,0.02098,80997,1699,400738,3594698,44.38,44.37
CMR,0,0,0,0,1,916.01,2005,2005,4,2,30,5,0.00453,0.02238,79298,1775,392052,3193960,40.28,40.26
CMR,0,0,0,0,1,916.01,2005,2005,4,2,35,5,0.00504,0.0249,77523,1930,382790,2801908,36.14,36.13
CMR,0,0,0,0,1,916.01,2005,2005,4,2,40,5,0.00577,0.02843,75593,2149,372592,2419118,32,31.99
CMR,0,0,0,0,1,916.01,2005,2005,4,2,45,5,0.00678,0.03335,73444,2449,361098,2046525,27.87,27.85
CMR,0,0,0,0,1,916.01,2005,2005,4,2,50,5,0.0094,0.0459,70995,3259,346828,1685428,23.74,23.67
CMR,0,0,0,0,1,916.01,2005,2005,4,2,55,5,0.01329,0.06432,67736,4357,327788,1338600,19.76,19.68
CMR,0,0,0,0,1,916.01,2005,2005,4,2,60,5,0.02181,0.10339,63379,6553,300512,1010813,15.95,15.86
CMR,0,0,0,0,1,916.01,2005,2005,4,2,65,5,0.03574,0.16403,56826,9321,260828,710300,12.5,12.41
CMR,0,0,0,0,1,916.01,2005,2005,4,2,70,5,0.06191,0.26808,47505,12735,205688,449473,9.46,9.35
CMR,0,0,0,0,1,916.01,2005,2005,4,2,75,5,0.10477,0.41513,34770,14434,137765,243785,7.01,6.86
CMR,0,0,0,0,1,916.01,2005,2005,4,2,80,5,0.16454,0.58291,20336,11854,72045,106020,5.21,4.95
CMR,0,0,0,0,1,916.01,2005,2005,4,2,85,5,0.23263,0.73544,8482,6238,26815,33975,4.01,3.65
CMR,0,0,0,0,1,916.01,2005,2005,4,2,90,5,0.2942,0.84759,2244,1902,6465,7160,3.19,2.75
CMR,0,0,0,0,1,916.01,2005,2005,4,2,95,99,0.49173,1,342,342,695,695,2.03,2
