Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
COK,,0,0,0,1,860.03,2009,2013,4,1,0,5,0.00133,0.00665,100000,665,498338,7089579,70.9,71.7
COK,,0,0,0,1,860.03,2009,2013,4,1,5,5,0,0,99335,0,496675,6591242,66.35,67.17
COK,,0,0,0,1,860.03,2009,2013,4,1,10,5,0.00053,0.00267,99335,265,496012,6094567,61.35,62.17
COK,,0,0,0,1,860.03,2009,2013,4,1,15,5,0.00292,0.01447,99070,1434,491765,5598554,56.51,57.33
COK,,0,0,0,1,860.03,2009,2013,4,1,20,5,0.00397,0.01968,97636,1921,483378,5106789,52.3,53.13
COK,,0,0,0,1,860.03,2009,2013,4,1,25,5,0.00222,0.01103,95715,1056,475935,4623412,48.3,49.15
COK,,0,0,0,1,860.03,2009,2013,4,1,30,5,0.00152,0.00759,94659,718,471500,4147477,43.81,44.67
COK,,0,0,0,1,860.03,2009,2013,4,1,35,5,0.00402,0.01988,93941,1868,465035,3675977,39.13,39.99
COK,,0,0,0,1,860.03,2009,2013,4,1,40,5,0.00192,0.00956,92073,880,458165,3210942,34.87,35.75
COK,,0,0,0,1,860.03,2009,2013,4,1,45,5,0.00553,0.02729,91193,2489,449742,2752777,30.19,31.07
COK,,0,0,0,1,860.03,2009,2013,4,1,50,5,0.00602,0.02965,88704,2630,436945,2303034,25.96,26.88
COK,,0,0,0,1,860.03,2009,2013,4,1,55,5,0.00702,0.03448,86074,2968,422950,1866089,21.68,22.62
COK,,0,0,0,1,860.03,2009,2013,4,1,60,5,0.02194,0.10398,83106,8641,393928,1443139,17.37,18.34
COK,,0,0,0,1,860.03,2009,2013,4,1,65,5,0.03115,0.14448,74465,10759,345428,1049212,14.09,15.18
COK,,0,0,0,1,860.03,2009,2013,4,1,70,5,0.03333,0.15385,63706,9801,294028,703784,11.05,12.32
COK,,0,0,0,1,860.03,2009,2013,4,1,75,99,0.13155,1,53905,53905,409757,409757,7.6,9.1
COK,,0,0,0,1,860.03,2009,2013,4,2,0,5,0.00082,0.00408,100000,408,498980,7694004,76.94,79.59
COK,,0,0,0,1,860.03,2009,2013,4,2,5,5,0.00028,0.00139,99592,138,497615,7195024,72.24,74.91
COK,,0,0,0,1,860.03,2009,2013,4,2,10,5,3e-04,0.00152,99454,151,496892,6697409,67.34,70.01
COK,,0,0,0,1,860.03,2009,2013,4,2,15,5,0.00101,0.00501,99303,498,495270,6200516,62.44,65.11
COK,,0,0,0,1,860.03,2009,2013,4,2,20,5,0.00039,0.00195,98805,193,493542,5705246,57.74,60.43
COK,,0,0,0,1,860.03,2009,2013,4,2,25,5,4e-04,0.00202,98612,199,492562,5211704,52.85,55.54
COK,,0,0,0,1,860.03,2009,2013,4,2,30,5,0.00043,0.00216,98413,213,491532,4719141,47.95,50.65
COK,,0,0,0,1,860.03,2009,2013,4,2,35,5,0.00038,0.00191,98200,188,490530,4227609,43.05,45.75
COK,,0,0,0,1,860.03,2009,2013,4,2,40,5,0.00184,0.00918,98012,900,487810,3737079,38.13,40.84
COK,,0,0,0,1,860.03,2009,2013,4,2,45,5,0.00455,0.02248,97112,2183,480102,3249269,33.46,36.19
COK,,0,0,0,1,860.03,2009,2013,4,2,50,5,0.0034,0.01684,94929,1599,470648,2769166,29.17,31.97
COK,,0,0,0,1,860.03,2009,2013,4,2,55,5,0.00599,0.0295,93330,2753,459768,2298519,24.63,27.47
COK,,0,0,0,1,860.03,2009,2013,4,2,60,5,0.01259,0.06104,90577,5529,439062,1838751,20.3,23.23
COK,,0,0,0,1,860.03,2009,2013,4,2,65,5,0.01301,0.06299,85048,5357,411848,1399689,16.46,19.58
COK,,0,0,0,1,860.03,2009,2013,4,2,70,5,0.02243,0.1062,79691,8463,377298,987841,12.4,15.72
COK,,0,0,0,1,860.03,2009,2013,4,2,75,99,0.11666,1,71228,71228,610544,610544,8.57,12.3
