Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
COL,0,0,0,0,1,4000.35,2010,2010,4,1,0,1,0.02171,0.0213,100000,2130,98113,6967889,69.68,69.71
COL,0,0,0,0,1,4000.35,2010,2010,4,1,1,4,0.0021,0.00837,97870,819,389505,6869776,70.19,70.22
COL,0,0,0,0,1,4000.35,2010,2010,4,1,5,5,4e-04,0.002,97051,194,484770,6480271,66.77,66.79
COL,0,0,0,0,1,4000.35,2010,2010,4,1,10,5,0.00055,0.00274,96857,265,483622,5995501,61.9,61.92
COL,0,0,0,0,1,4000.35,2010,2010,4,1,15,5,0.00206,0.01026,96592,991,480482,5511879,57.06,57.08
COL,0,0,0,0,1,4000.35,2010,2010,4,1,20,5,0.00401,0.01987,95601,1900,473255,5031396,52.63,52.65
COL,0,0,0,0,1,4000.35,2010,2010,4,1,25,5,0.0047,0.02323,93701,2177,463062,4558141,48.65,48.67
COL,0,0,0,0,1,4000.35,2010,2010,4,1,30,5,0.00431,0.02134,91524,1953,452738,4095079,44.74,44.76
COL,0,0,0,0,1,4000.35,2010,2010,4,1,35,5,0.00384,0.01902,89571,1704,443595,3642341,40.66,40.69
COL,0,0,0,0,1,4000.35,2010,2010,4,1,40,5,0.00394,0.01951,87867,1714,435050,3198746,36.4,36.43
COL,0,0,0,0,1,4000.35,2010,2010,4,1,45,5,0.00489,0.02417,86153,2082,425560,2763696,32.08,32.1
COL,0,0,0,0,1,4000.35,2010,2010,4,1,50,5,0.00692,0.03403,84071,2861,413202,2338136,27.81,27.83
COL,0,0,0,0,1,4000.35,2010,2010,4,1,55,5,0.0104,0.0507,81210,4117,395758,1924934,23.7,23.73
COL,0,0,0,0,1,4000.35,2010,2010,4,1,60,5,0.01597,0.07679,77093,5920,370665,1529176,19.84,19.86
COL,0,0,0,0,1,4000.35,2010,2010,4,1,65,5,0.02466,0.11613,71173,8265,335202,1158511,16.28,16.3
COL,0,0,0,0,1,4000.35,2010,2010,4,1,70,5,0.03804,0.17368,62908,10926,287225,823309,13.09,13.12
COL,0,0,0,0,1,4000.35,2010,2010,4,1,75,5,0.05839,0.25476,51982,13243,226802,536084,10.31,10.35
COL,0,0,0,0,1,4000.35,2010,2010,4,1,80,5,0.08867,0.36292,38739,14059,158548,309281,7.98,8.03
COL,0,0,0,0,1,4000.35,2010,2010,4,1,85,5,0.13203,0.49631,24680,12249,92778,150734,6.11,6.18
COL,0,0,0,0,1,4000.35,2010,2010,4,1,90,5,0.18971,0.64339,12431,7998,42160,57956,4.66,4.82
COL,0,0,0,0,1,4000.35,2010,2010,4,1,95,5,0.23385,0.73788,4433,3271,13988,15796,3.56,3.99
COL,0,0,0,0,1,4000.35,2010,2010,4,1,100,99,0.64248,1,1162,1162,1809,1809,1.56,3.2
COL,0,0,0,0,1,4000.35,2010,2010,4,2,0,1,0.01574,0.01552,100000,1552,98598,7697099,76.97,77.01
COL,0,0,0,0,1,4000.35,2010,2010,4,2,1,4,0.00173,0.0069,98448,679,392094,7598501,77.18,77.22
COL,0,0,0,0,1,4000.35,2010,2010,4,2,5,5,0.00035,0.00175,97769,171,488418,7206407,73.71,73.74
COL,0,0,0,0,1,4000.35,2010,2010,4,2,10,5,3e-04,0.00149,97598,145,487628,6717989,68.83,68.87
COL,0,0,0,0,1,4000.35,2010,2010,4,2,15,5,0.00052,0.00258,97453,251,486638,6230362,63.93,63.97
COL,0,0,0,0,1,4000.35,2010,2010,4,2,20,5,0.00072,0.00358,97202,348,485140,5743724,59.09,59.13
COL,0,0,0,0,1,4000.35,2010,2010,4,2,25,5,0.00084,0.00419,96854,406,483255,5258584,54.29,54.33
COL,0,0,0,0,1,4000.35,2010,2010,4,2,30,5,0.00099,0.00491,96448,474,481055,4775329,49.51,49.55
COL,0,0,0,0,1,4000.35,2010,2010,4,2,35,5,0.00126,0.0063,95974,605,478358,4294274,44.74,44.78
COL,0,0,0,0,1,4000.35,2010,2010,4,2,40,5,0.0018,0.00898,95369,856,474705,3815917,40.01,40.05
COL,0,0,0,0,1,4000.35,2010,2010,4,2,45,5,0.00274,0.01362,94513,1287,469348,3341212,35.35,35.39
COL,0,0,0,0,1,4000.35,2010,2010,4,2,50,5,0.00431,0.02131,93226,1987,461162,2871864,30.81,30.84
COL,0,0,0,0,1,4000.35,2010,2010,4,2,55,5,0.00686,0.03372,91239,3077,448502,2410702,26.42,26.46
COL,0,0,0,0,1,4000.35,2010,2010,4,2,60,5,0.01098,0.05342,88162,4710,429035,1962199,22.26,22.3
COL,0,0,0,0,1,4000.35,2010,2010,4,2,65,5,0.01758,0.0842,83452,7027,399692,1533164,18.37,18.41
COL,0,0,0,0,1,4000.35,2010,2010,4,2,70,5,0.02812,0.13137,76425,10040,357025,1133472,14.83,14.88
COL,0,0,0,0,1,4000.35,2010,2010,4,2,75,5,0.04479,0.20139,66385,13369,298502,776447,11.7,11.75
COL,0,0,0,0,1,4000.35,2010,2010,4,2,80,5,0.0707,0.30042,53016,15927,225262,477944,9.02,9.08
COL,0,0,0,0,1,4000.35,2010,2010,4,2,85,5,0.10978,0.43069,37089,15974,145510,252682,6.81,6.9
COL,0,0,0,0,1,4000.35,2010,2010,4,2,90,5,0.1651,0.58432,21115,12338,74730,107172,5.08,5.24
COL,0,0,0,0,1,4000.35,2010,2010,4,2,95,5,0.22827,0.72667,8777,6378,27940,32442,3.7,4.09
COL,0,0,0,0,1,4000.35,2010,2010,4,2,100,99,0.53288,1,2399,2399,4502,4502,1.88,3.3
