Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,0,1,0.00927,0.00919,100000,919,99152,7768490,77.68,77.7
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,1,1,0.00067,0.00067,99081,66,99048,7669337,77.4,77.42
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,2,1,0.00034,0.00034,99015,34,98998,7570289,76.46,76.47
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,3,1,0.00022,0.00022,98981,22,98970,7471291,75.48,75.5
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,4,1,0.00019,0.00019,98959,19,98950,7372321,74.5,74.52
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,5,1,0.00019,0.00019,98940,19,98930,7273372,73.51,73.53
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,6,1,0.00018,0.00018,98921,18,98912,7174441,72.53,72.55
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,7,1,0.00018,0.00018,98903,18,98894,7075529,71.54,71.56
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,8,1,0.00018,0.00018,98885,18,98876,6976635,70.55,70.57
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,9,1,0.00019,0.00019,98867,19,98858,6877759,69.57,69.58
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,10,1,2e-04,2e-04,98848,20,98838,6778902,68.58,68.6
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,11,1,0.00022,0.00022,98828,22,98817,6680064,67.59,67.61
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,12,1,0.00024,0.00024,98806,24,98794,6581247,66.61,66.63
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,13,1,0.00029,0.00029,98782,29,98768,6482453,65.62,65.64
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,14,1,0.00036,0.00036,98753,36,98735,6383685,64.64,64.66
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,15,1,0.00047,0.00047,98717,46,98694,6284950,63.67,63.69
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,16,1,0.00058,0.00058,98671,57,98642,6186256,62.7,62.71
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,17,1,0.00071,0.00071,98614,70,98579,6087614,61.73,61.75
CRI,0,0,0,0,1,1206.13,2010,2015,1,1,18,1,0.00083,0.00083,98544,82,98503,5989035,60.78,60.79
