Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,0,1,0.02661,0.02601,100000,2601,97732,6763758,67.64,67.64
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,1,1,0.00233,0.00233,97399,227,97286,6666026,68.44,68.44
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,2,1,0.00134,0.00134,97172,130,97107,6568741,67.6,67.6
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,3,1,0.00101,0.00101,97042,98,96993,6471634,66.69,66.69
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,4,1,0.00082,0.00081,96944,79,96904,6374641,65.76,65.76
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,5,1,0.00065,0.00065,96865,63,96834,6277736,64.81,64.81
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,6,1,0.00058,0.00058,96802,56,96774,6180903,63.85,63.85
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,7,1,0.00052,0.00052,96746,50,96721,6084129,62.89,62.89
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,8,1,0.00049,0.00049,96696,47,96672,5987408,61.92,61.92
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,9,1,0.00045,0.00044,96649,43,96628,5890735,60.95,60.95
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,10,1,0.00045,0.00045,96606,43,96584,5794108,59.98,59.98
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,11,1,0.00044,0.00043,96563,42,96542,5697523,59,59
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,12,1,0.00047,0.00047,96521,45,96498,5600981,58.03,58.03
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,13,1,0.00051,0.00051,96476,49,96452,5504483,57.06,57.06
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,14,1,6e-04,6e-04,96427,58,96398,5408031,56.08,56.08
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,15,1,0.00076,0.00076,96369,73,96332,5311633,55.12,55.12
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,16,1,0.00098,0.00098,96296,94,96249,5215301,54.16,54.16
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,17,1,0.00122,0.00122,96202,117,96144,5119052,53.21,53.21
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,18,1,0.00143,0.00143,96085,137,96016,5022908,52.28,52.28
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,19,1,0.00161,0.00161,95948,154,95871,4926892,51.35,51.35
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,20,1,0.0017,0.0017,95794,163,95712,4831021,50.43,50.43
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,21,1,0.00176,0.00176,95631,168,95547,4735308,49.52,49.52
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,22,1,0.00177,0.00177,95463,169,95378,4639761,48.6,48.6
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,23,1,0.00174,0.00174,95294,166,95211,4544383,47.69,47.69
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,24,1,0.0017,0.0017,95128,162,95047,4449172,46.77,46.77
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,25,1,0.00168,0.00167,94966,159,94886,4354125,45.85,45.85
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,26,1,0.00166,0.00166,94807,157,94728,4259238,44.93,44.92
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,27,1,0.00166,0.00166,94650,157,94572,4164510,44,44
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,28,1,0.00166,0.00166,94493,157,94414,4069938,43.07,43.07
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,29,1,0.00169,0.00169,94336,159,94256,3975524,42.14,42.14
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,30,1,0.00173,0.00173,94177,163,94096,3881267,41.21,41.21
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,31,1,0.00181,0.00181,94014,170,93929,3787172,40.28,40.28
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,32,1,0.0019,0.0019,93844,178,93755,3693243,39.36,39.35
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,33,1,0.002,0.002,93666,187,93572,3599488,38.43,38.43
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,34,1,0.0021,0.0021,93479,196,93381,3505915,37.5,37.5
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,35,1,0.0022,0.0022,93283,205,93180,3412534,36.58,36.58
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,36,1,0.00231,0.00231,93078,215,92970,3319354,35.66,35.66
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,37,1,0.00247,0.00247,92863,229,92748,3226383,34.74,34.74
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,38,1,0.00264,0.00263,92634,244,92512,3133635,33.83,33.83
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,39,1,0.00282,0.00281,92390,260,92260,3041123,32.92,32.92
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,40,1,0.00301,0.00301,92130,277,91992,2948863,32.01,32.01
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,41,1,0.00318,0.00318,91853,292,91707,2856871,31.1,31.1
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,42,1,0.00339,0.00339,91561,310,91406,2765164,30.2,30.2
CSK,0,0,0,0,1,1721.01,1960,1961,1,1,43,1,0.00361,0.00361,91251,329,91086,2673758,29.3,29.3
