Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,0,1,0.00603,0.006,100000,600,99441,7977184,79.77,79.79
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,1,4,0.00065,0.00261,99400,259,396987,7877743,79.25,79.27
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,5,5,1e-05,3e-05,99141,3,495698,7480756,75.46,75.47
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,10,5,0.00042,0.0021,99138,208,495170,6985058,70.46,70.47
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,15,5,0.00163,0.00813,98930,804,492640,6489888,65.6,65.62
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,20,5,0.00216,0.01073,98126,1053,487998,5997248,61.12,61.13
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,25,5,0.00165,0.00823,97073,799,483368,5509251,56.75,56.77
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,30,5,0.00068,0.00341,96274,328,480550,5025883,52.2,52.22
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,35,5,0.00053,0.00266,95946,255,479092,4545333,47.37,47.39
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,40,5,0.00066,0.00327,95691,313,477672,4066241,42.49,42.51
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,45,5,0.00135,0.00674,95378,643,475282,3588568,37.62,37.64
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,50,5,0.00277,0.01378,94735,1305,470412,3113286,32.86,32.88
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,55,5,0.00424,0.021,93430,1962,462245,2642873,28.29,28.3
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,60,5,0.00638,0.03138,91468,2870,450165,2180628,23.84,23.86
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,65,5,0.0073,0.03586,88598,3177,435048,1730463,19.53,19.55
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,70,5,0.0217,0.10291,85421,8791,405128,1295416,15.17,15.18
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,75,5,0.04399,0.19816,76630,15185,345188,890288,11.62,11.64
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,80,5,0.06076,0.26373,61445,16205,266712,545101,8.87,8.9
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,85,5,0.13722,0.51085,45240,23111,168422,278388,6.15,6.19
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,90,5,0.16356,0.58046,22129,12845,78532,109966,4.97,5.04
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,95,5,0.25961,0.78716,9284,7308,28150,31433,3.39,3.56
CYM,0,0,0,0,1,1050.01,2010,2010,4,1,100,99,0.6018,1,1976,1976,3283,3283,1.66,2.5
