Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CYP,0,0,0,0,1,870.1,2017,2017,4,1,0,1,0.00125,0.00125,100000,125,99882,7995398,79.95,80.04
CYP,0,0,0,0,1,870.1,2017,2017,4,1,1,4,0.00015,0.00061,99875,61,399357,7895516,79.05,79.14
CYP,0,0,0,0,1,870.1,2017,2017,4,1,5,5,4e-05,0.00021,99814,21,499018,7496159,75.1,75.19
CYP,0,0,0,0,1,870.1,2017,2017,4,1,10,5,0.00013,0.00066,99793,66,498800,6997142,70.12,70.21
CYP,0,0,0,0,1,870.1,2017,2017,4,1,15,5,2e-04,0.00098,99727,98,498390,6498342,65.16,65.25
CYP,0,0,0,0,1,870.1,2017,2017,4,1,20,5,0.00057,0.00287,99629,286,497430,5999952,60.22,60.31
CYP,0,0,0,0,1,870.1,2017,2017,4,1,25,5,0.00028,0.00141,99343,140,496365,5502522,55.39,55.48
CYP,0,0,0,0,1,870.1,2017,2017,4,1,30,5,0.00039,0.00197,99203,195,495528,5006157,50.46,50.55
CYP,0,0,0,0,1,870.1,2017,2017,4,1,35,5,0.00084,0.00417,99008,413,494008,4510629,45.56,45.65
CYP,0,0,0,0,1,870.1,2017,2017,4,1,40,5,0.00131,0.00655,98595,646,491360,4016622,40.74,40.83
CYP,0,0,0,0,1,870.1,2017,2017,4,1,45,5,0.00217,0.01077,97949,1055,487108,3525262,35.99,36.08
CYP,0,0,0,0,1,870.1,2017,2017,4,1,50,5,0.00282,0.01403,96894,1359,481072,3038154,31.36,31.45
CYP,0,0,0,0,1,870.1,2017,2017,4,1,55,5,0.00483,0.02387,95535,2280,471975,2557082,26.77,26.86
CYP,0,0,0,0,1,870.1,2017,2017,4,1,60,5,0.00969,0.04729,93255,4410,455250,2085107,22.36,22.46
CYP,0,0,0,0,1,870.1,2017,2017,4,1,65,5,0.0131,0.06344,88845,5636,430135,1629857,18.34,18.45
CYP,0,0,0,0,1,870.1,2017,2017,4,1,70,5,0.02438,0.11489,83209,9560,392145,1199722,14.42,14.53
CYP,0,0,0,0,1,870.1,2017,2017,4,1,75,5,0.03515,0.16155,73649,11898,338500,807577,10.97,11.09
CYP,0,0,0,0,1,870.1,2017,2017,4,1,80,5,0.07598,0.31927,61751,19715,259468,469077,7.6,7.74
CYP,0,0,0,0,1,870.1,2017,2017,4,1,85,99,0.20054,1,42036,42036,209609,209609,4.99,5.2
CYP,0,0,0,0,1,870.1,2017,2017,4,2,0,1,0.00131,0.00131,100000,131,99876,8442824,84.43,84.09
CYP,0,0,0,0,1,870.1,2017,2017,4,2,1,4,0.00022,0.00088,99869,88,399258,8342948,83.54,83.2
CYP,0,0,0,0,1,870.1,2017,2017,4,2,5,5,0.00026,0.00128,99781,128,498585,7943690,79.61,79.28
CYP,0,0,0,0,1,870.1,2017,2017,4,2,10,5,5e-05,0.00023,99653,23,498208,7445105,74.71,74.37
CYP,0,0,0,0,1,870.1,2017,2017,4,2,15,5,4e-05,2e-04,99630,20,498100,6946897,69.73,69.39
CYP,0,0,0,0,1,870.1,2017,2017,4,2,20,5,0.00015,0.00074,99610,74,497865,6448797,64.74,64.4
CYP,0,0,0,0,1,870.1,2017,2017,4,2,25,5,0.00014,0.00069,99536,69,497508,5950932,59.79,59.45
CYP,0,0,0,0,1,870.1,2017,2017,4,2,30,5,0.00031,0.00155,99467,154,496950,5453425,54.83,54.48
CYP,0,0,0,0,1,870.1,2017,2017,4,2,35,5,0.00027,0.00136,99313,135,496228,4956475,49.91,49.56
CYP,0,0,0,0,1,870.1,2017,2017,4,2,40,5,0.00061,0.00306,99178,303,495132,4460247,44.97,44.62
CYP,0,0,0,0,1,870.1,2017,2017,4,2,45,5,0.00076,0.00377,98875,373,493442,3965115,40.1,39.75
CYP,0,0,0,0,1,870.1,2017,2017,4,2,50,5,0.00206,0.01026,98502,1011,489982,3471672,35.24,34.89
CYP,0,0,0,0,1,870.1,2017,2017,4,2,55,5,0.0026,0.01292,97491,1260,484305,2981690,30.58,30.23
CYP,0,0,0,0,1,870.1,2017,2017,4,2,60,5,0.0043,0.02125,96231,2045,476042,2497385,25.95,25.59
CYP,0,0,0,0,1,870.1,2017,2017,4,2,65,5,0.00635,0.03127,94186,2945,463568,2021342,21.46,21.09
CYP,0,0,0,0,1,870.1,2017,2017,4,2,70,5,0.01139,0.05538,91241,5053,443572,1557775,17.07,16.69
CYP,0,0,0,0,1,870.1,2017,2017,4,2,75,5,0.02143,0.10168,86188,8764,409030,1114202,12.93,12.52
CYP,0,0,0,0,1,870.1,2017,2017,4,2,80,5,0.0522,0.23088,77424,17876,342430,705172,9.11,8.66
CYP,0,0,0,0,1,870.1,2017,2017,4,2,85,99,0.16416,1,59548,59548,362742,362742,6.09,5.51
