Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
CZE,0,0,0,0,1,800.08,2018,2018,1,1,0,1,0.00273,0.00272,100000,272,99744,7608358,76.08,76.08
CZE,0,0,0,0,1,800.08,2018,2018,1,1,1,1,0.00027,0.00027,99728,27,99715,7508614,75.29,75.29
CZE,0,0,0,0,1,800.08,2018,2018,1,1,2,1,0.00014,0.00014,99701,14,99694,7408899,74.31,74.31
CZE,0,0,0,0,1,800.08,2018,2018,1,1,3,1,0.00013,0.00013,99687,13,99681,7309205,73.32,73.32
CZE,0,0,0,0,1,800.08,2018,2018,1,1,4,1,0.00012,0.00012,99674,12,99668,7209524,72.33,72.33
CZE,0,0,0,0,1,800.08,2018,2018,1,1,5,1,1e-04,1e-04,99662,10,99658,7109856,71.34,71.34
CZE,0,0,0,0,1,800.08,2018,2018,1,1,6,1,8e-05,8e-05,99653,8,99649,7010198,70.35,70.35
CZE,0,0,0,0,1,800.08,2018,2018,1,1,7,1,8e-05,8e-05,99645,8,99640,6910550,69.35,69.35
CZE,0,0,0,0,1,800.08,2018,2018,1,1,8,1,8e-05,8e-05,99636,8,99632,6810909,68.36,68.36
CZE,0,0,0,0,1,800.08,2018,2018,1,1,9,1,8e-05,8e-05,99628,8,99624,6711277,67.36,67.36
CZE,0,0,0,0,1,800.08,2018,2018,1,1,10,1,7e-05,7e-05,99621,7,99617,6611652,66.37,66.37
CZE,0,0,0,0,1,800.08,2018,2018,1,1,11,1,7e-05,7e-05,99613,7,99610,6512035,65.37,65.37
CZE,0,0,0,0,1,800.08,2018,2018,1,1,12,1,8e-05,8e-05,99606,8,99602,6412426,64.38,64.38
CZE,0,0,0,0,1,800.08,2018,2018,1,1,13,1,1e-04,1e-04,99598,9,99594,6312823,63.38,63.38
CZE,0,0,0,0,1,800.08,2018,2018,1,1,14,1,0.00013,0.00013,99589,13,99582,6213230,62.39,62.39
CZE,0,0,0,0,1,800.08,2018,2018,1,1,15,1,0.00019,0.00019,99576,19,99566,6113647,61.4,61.4
CZE,0,0,0,0,1,800.08,2018,2018,1,1,16,1,3e-04,3e-04,99557,30,99542,6014081,60.41,60.41
CZE,0,0,0,0,1,800.08,2018,2018,1,1,17,1,0.00044,0.00044,99527,43,99505,5914539,59.43,59.43
CZE,0,0,0,0,1,800.08,2018,2018,1,1,18,1,0.00057,0.00057,99483,57,99455,5815034,58.45,58.45
CZE,0,0,0,0,1,800.08,2018,2018,1,1,19,1,0.00066,0.00066,99427,66,99394,5715579,57.49,57.49
CZE,0,0,0,0,1,800.08,2018,2018,1,1,20,1,0.00071,0.00071,99361,71,99325,5616185,56.52,56.52
CZE,0,0,0,0,1,800.08,2018,2018,1,1,21,1,0.00072,0.00072,99290,71,99254,5516860,55.56,55.56
CZE,0,0,0,0,1,800.08,2018,2018,1,1,22,1,0.00071,0.00071,99219,71,99184,5417606,54.6,54.6
CZE,0,0,0,0,1,800.08,2018,2018,1,1,23,1,0.00072,0.00072,99148,72,99112,5318422,53.64,53.64
CZE,0,0,0,0,1,800.08,2018,2018,1,1,24,1,0.00076,0.00076,99077,75,99039,5219309,52.68,52.68
CZE,0,0,0,0,1,800.08,2018,2018,1,1,25,1,8e-04,8e-04,99001,79,98962,5120271,51.72,51.72
CZE,0,0,0,0,1,800.08,2018,2018,1,1,26,1,8e-04,8e-04,98922,79,98882,5021309,50.76,50.76
CZE,0,0,0,0,1,800.08,2018,2018,1,1,27,1,0.00077,0.00077,98843,76,98804,4922427,49.8,49.8
CZE,0,0,0,0,1,800.08,2018,2018,1,1,28,1,0.00074,0.00074,98766,73,98730,4823622,48.84,48.84
CZE,0,0,0,0,1,800.08,2018,2018,1,1,29,1,0.00073,0.00073,98693,72,98657,4724892,47.87,47.87
CZE,0,0,0,0,1,800.08,2018,2018,1,1,30,1,0.00076,0.00076,98621,75,98583,4626235,46.91,46.91
CZE,0,0,0,0,1,800.08,2018,2018,1,1,31,1,0.00082,0.00082,98546,81,98506,4527652,45.94,45.94
CZE,0,0,0,0,1,800.08,2018,2018,1,1,32,1,0.00089,0.00089,98465,88,98421,4429146,44.98,44.98
CZE,0,0,0,0,1,800.08,2018,2018,1,1,33,1,0.00098,0.00098,98377,97,98329,4330725,44.02,44.02
CZE,0,0,0,0,1,800.08,2018,2018,1,1,34,1,0.00107,0.00107,98281,106,98228,4232396,43.06,43.06
CZE,0,0,0,0,1,800.08,2018,2018,1,1,35,1,0.00116,0.00116,98175,114,98118,4134168,42.11,42.11
CZE,0,0,0,0,1,800.08,2018,2018,1,1,36,1,0.00123,0.00123,98061,121,98001,4036050,41.16,41.16
CZE,0,0,0,0,1,800.08,2018,2018,1,1,37,1,0.00131,0.0013,97940,128,97876,3938049,40.21,40.21
CZE,0,0,0,0,1,800.08,2018,2018,1,1,38,1,0.00138,0.00138,97813,135,97745,3840172,39.26,39.26
