Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,0,1,0.00357,0.00356,100000,356,99666,7847837,78.48,78.48
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,1,1,0.00028,0.00028,99644,28,99630,7748172,77.76,77.76
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,2,1,0.00015,0.00015,99616,15,99608,7648542,76.78,76.78
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,3,1,0.00011,0.00011,99601,11,99596,7548933,75.79,75.79
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,4,1,0.00011,0.00011,99590,11,99584,7449338,74.8,74.8
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,5,1,1e-04,1e-04,99579,10,99574,7349753,73.81,73.81
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,6,1,9e-05,9e-05,99569,9,99564,7250179,72.82,72.82
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,7,1,8e-05,8e-05,99560,8,99556,7150615,71.82,71.82
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,8,1,9e-05,9e-05,99552,9,99548,7051059,70.83,70.83
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,9,1,8e-05,8e-05,99543,8,99539,6951511,69.83,69.84
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,10,1,8e-05,8e-05,99535,8,99531,6851972,68.84,68.84
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,11,1,7e-05,7e-05,99527,7,99524,6752441,67.85,67.85
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,12,1,7e-05,7e-05,99520,7,99516,6652918,66.85,66.85
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,13,1,1e-04,1e-04,99513,10,99508,6553401,65.85,65.86
DEU,0,0,0,0,1,3210.03,2016,2018,1,1,14,1,0.00013,0.00013,99503,13,99496,6453893,64.86,64.86
