Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,0,1,0.00392,0.00391,100000,391,99633,7901173,79.01,79.01
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,1,1,0.00025,0.00025,99609,25,99596,7801540,78.32,78.32
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,2,1,0.00019,0.00019,99584,19,99574,7701944,77.34,77.34
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,3,1,7e-05,7e-05,99565,7,99562,7602369,76.36,76.36
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,4,1,1e-04,1e-04,99558,10,99553,7502808,75.36,75.36
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,5,1,6e-05,6e-05,99548,6,99545,7403255,74.37,74.37
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,6,1,4e-05,4e-05,99542,4,99540,7303710,73.37,73.37
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,7,1,3e-05,3e-05,99538,3,99536,7204170,72.38,72.38
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,8,1,5e-05,5e-05,99535,5,99532,7104633,71.38,71.38
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,9,1,0,0,99530,0,99530,7005101,70.38,70.38
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,10,1,6e-05,6e-05,99530,6,99527,6905571,69.38,69.38
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,11,1,6e-05,6e-05,99524,6,99521,6806044,68.39,68.39
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,12,1,9e-05,9e-05,99518,9,99514,6706523,67.39,67.39
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,13,1,8e-05,8e-05,99509,8,99505,6607009,66.4,66.4
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,14,1,9e-05,9e-05,99501,9,99496,6507504,65.4,65.4
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,15,1,0.00026,0.00026,99492,26,99479,6408008,64.41,64.41
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,16,1,0.00032,0.00032,99466,32,99450,6308529,63.42,63.42
DNK,0,0,0,0,1,3170.03,2017,2018,1,1,17,1,0.00014,0.00014,99434,14,99427,6209079,62.44,62.44
