Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,0,1,0.03199,0.03114,100000,3114,97333,6962785,69.63,69.65
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,1,4,9e-04,0.0036,96886,349,386692,6865452,70.86,70.87
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,5,5,0.00046,0.00232,96537,224,482125,6478760,67.11,67.12
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,10,5,0.00051,0.00252,96313,243,480958,5996635,62.26,62.27
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,15,5,0.00145,0.00722,96070,694,478615,5515678,57.41,57.42
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,20,5,0.00274,0.01359,95376,1296,473640,5037063,52.81,52.82
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,25,5,0.00327,0.0162,94080,1524,466590,4563423,48.51,48.51
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,30,5,0.0039,0.01931,92556,1787,458312,4096833,44.26,44.27
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,35,5,0.00417,0.02065,90769,1874,449160,3638520,40.09,40.09
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,40,5,0.00506,0.02498,88895,2221,438922,3189360,35.88,35.89
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,45,5,0.00659,0.03241,86674,2809,426348,2750438,31.73,31.74
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,50,5,0.00849,0.04155,83865,3485,410612,2324090,27.71,27.72
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,55,5,0.01253,0.06074,80380,4882,389695,1913478,23.81,23.82
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,60,5,0.01802,0.0862,75498,6508,361220,1523783,20.18,20.19
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,65,5,0.02681,0.12564,68990,8668,323280,1162563,16.85,16.86
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,70,5,0.03809,0.1739,60322,10490,275385,839283,13.91,13.93
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,75,5,0.05713,0.24996,49832,12456,218020,563898,11.32,11.33
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,80,5,0.07772,0.3254,37376,12162,156475,345878,9.25,9.28
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,85,5,0.1021,0.40668,25214,10254,100435,189403,7.51,7.54
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,90,5,0.12942,0.4889,14960,7314,56515,88968,5.95,6
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,95,5,0.15943,0.56997,7646,4358,27335,32453,4.24,4.35
DOM,0,0,0,0,1,4000.126,2010,2010,4,1,100,99,0.64248,1,3288,3288,5118,5118,1.56,1.8
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,0,1,0.02381,0.02332,100000,2332,97948,7579713,75.8,75.8
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,1,4,0.00072,0.00286,97668,279,389971,7481766,76.6,76.6
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,5,5,0.00036,0.00178,97389,173,486512,7091795,72.82,72.82
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,10,5,0.00032,0.00159,97216,155,485692,6605282,67.94,67.94
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,15,5,0.00064,0.00317,97061,308,484535,6119590,63.05,63.04
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,20,5,0.00097,0.00484,96753,468,482595,5635055,58.24,58.24
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,25,5,0.00144,0.00716,96285,689,479702,5152460,53.51,53.51
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,30,5,0.00182,0.00904,95596,864,475820,4672757,48.88,48.88
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,35,5,0.00214,0.01062,94732,1006,471145,4196937,44.3,44.3
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,40,5,0.00286,0.0142,93726,1331,465302,3725792,39.75,39.75
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,45,5,0.00397,0.01968,92395,1818,457430,3260490,35.29,35.28
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,50,5,0.00547,0.02698,90577,2444,446775,2803060,30.95,30.94
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,55,5,0.00782,0.03835,88133,3380,432215,2356285,26.74,26.73
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,60,5,0.01229,0.05961,84753,5052,411135,1924070,22.7,22.7
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,65,5,0.01854,0.08861,79701,7062,380850,1512935,18.98,18.98
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,70,5,0.02912,0.13571,72639,9858,338550,1132085,15.59,15.58
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,75,5,0.0437,0.19697,62781,12366,282990,793535,12.64,12.63
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,80,5,0.06369,0.2747,50415,13849,217452,510545,10.13,10.12
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,85,5,0.08945,0.3655,36566,13365,149418,293092,8.02,8
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,90,5,0.12076,0.46377,23201,10760,89105,143675,6.19,6.17
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,95,5,0.15905,0.56901,12441,7079,44508,54570,4.39,4.35
DOM,0,0,0,0,1,4000.126,2010,2010,4,2,100,99,0.53288,1,5362,5362,10062,10062,1.88,1.8
