Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,0,1,0.02296,0.0225,100000,2250,98014,7629004,76.29,77.09
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,1,4,0.00081,0.00324,97750,317,390235,7530990,77.04,77.86
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,5,5,0.00035,0.00176,97433,171,486738,7140755,73.29,74.1
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,10,5,0.00039,0.00196,97262,191,485832,6654018,68.41,69.23
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,15,5,0.00066,0.00329,97071,319,484558,6168185,63.54,64.36
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,20,5,0.00085,0.00422,96752,408,482740,5683628,58.74,59.56
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,25,5,0.00095,0.00472,96344,455,480582,5200888,53.98,54.81
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,30,5,0.00099,0.00495,95889,475,478258,4720305,49.23,50.05
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,35,5,0.00126,0.00626,95414,597,475578,4242048,44.46,45.29
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,40,5,0.00167,0.00831,94817,788,472115,3766470,39.72,40.56
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,45,5,0.00249,0.01237,94029,1163,467238,3294355,35.04,35.88
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,50,5,0.00392,0.01943,92866,1804,459820,2827118,30.44,31.3
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,55,5,0.00632,0.03113,91062,2835,448222,2367298,26,26.87
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,60,5,0.00997,0.04864,88227,4291,430408,1919075,21.75,22.65
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,65,5,0.01526,0.07348,83936,6168,404260,1488668,17.74,18.68
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,70,5,0.02532,0.11907,77768,9260,365690,1084408,13.94,14.97
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,75,5,0.03984,0.18118,68508,12412,311510,718718,10.49,11.65
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,80,5,0.07236,0.30639,56096,17187,237512,407208,7.26,8.67
DZA,0,0,0,0,1,3000.18,2018,2018,4,1,85,99,0.22929,1,38909,38909,169695,169695,4.36,6.4
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,0,1,0.01984,0.0195,100000,1950,98262,7841173,78.41,78.45
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,1,4,0.00077,0.00308,98050,302,391443,7742912,78.97,79
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,5,5,0.00032,0.00159,97748,155,488352,7351469,75.21,75.23
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,10,5,3e-04,0.0015,97593,146,487600,6863117,70.32,70.35
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,15,5,0.00041,0.00206,97447,201,486732,6375517,65.43,65.45
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,20,5,0.00048,0.0024,97246,233,485648,5888784,60.56,60.58
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,25,5,0.00058,0.0029,97013,281,484362,5403137,55.69,55.72
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,30,5,0.00075,0.00372,96732,360,482760,4918774,50.85,50.88
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,35,5,0.00109,0.00544,96372,524,480550,4436014,46.03,46.06
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,40,5,0.0016,0.00795,95848,762,477335,3955464,41.27,41.3
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,45,5,0.00227,0.01131,95086,1075,472742,3478129,36.58,36.61
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,50,5,0.00329,0.01631,94011,1533,466222,3005387,31.97,32
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,55,5,0.00489,0.02417,92478,2235,456802,2539164,27.46,27.49
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,60,5,0.00755,0.03706,90243,3344,442855,2082362,23.08,23.11
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,65,5,0.01189,0.05775,86899,5018,421950,1639507,18.87,18.9
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,70,5,0.02008,0.09559,81881,7827,389838,1217557,14.87,14.9
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,75,5,0.03518,0.16169,74054,11974,340335,827719,11.18,11.22
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,80,5,0.07036,0.29918,62080,18573,263968,487384,7.85,7.9
DZA,0,0,0,0,1,3000.18,2018,2018,4,2,85,99,0.19473,1,43507,43507,223417,223417,5.14,5.2
