Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
EGY,0,0,0,0,1,2.1,1944,1946,1,1,0,1,0.19709,0.17471,100000,17471,88644,3564666,35.65,35.67
EGY,0,0,0,0,1,2.1,1944,1946,1,1,1,1,0.13153,0.12341,82529,10185,77436,3476023,42.12,42.12
EGY,0,0,0,0,1,2.1,1944,1946,1,1,2,1,0.07506,0.07235,72344,5234,69727,3398586,46.98,46.98
EGY,0,0,0,0,1,2.1,1944,1946,1,1,3,1,0.03649,0.03584,67110,2405,65908,3328859,49.6,49.6
EGY,0,0,0,0,1,2.1,1944,1946,1,1,4,1,0.02004,0.01984,64705,1284,64063,3262952,50.43,50.42
EGY,0,0,0,0,1,2.1,1944,1946,1,1,5,1,0.01338,0.01329,63421,843,63000,3198889,50.44,50.43
EGY,0,0,0,0,1,2.1,1944,1946,1,1,6,1,0.00917,0.00912,62578,571,62292,3135889,50.11,50.11
EGY,0,0,0,0,1,2.1,1944,1946,1,1,7,1,0.0067,0.00668,62007,414,61800,3073597,49.57,49.57
EGY,0,0,0,0,1,2.1,1944,1946,1,1,8,1,0.00539,0.00537,61593,331,61428,3011797,48.9,48.9
EGY,0,0,0,0,1,2.1,1944,1946,1,1,9,1,0.00486,0.00485,61262,297,61114,2950369,48.16,48.16
EGY,0,0,0,0,1,2.1,1944,1946,1,1,10,1,0.00477,0.00476,60965,290,60820,2889256,47.39,47.39
EGY,0,0,0,0,1,2.1,1944,1946,1,1,11,1,0.00487,0.00486,60675,295,60528,2828436,46.62,46.62
EGY,0,0,0,0,1,2.1,1944,1946,1,1,12,1,0.00505,0.00503,60380,304,60228,2767908,45.84,45.84
EGY,0,0,0,0,1,2.1,1944,1946,1,1,13,1,0.00524,0.00523,60076,314,59919,2707680,45.07,45.07
