Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,0,1,0.00276,0.00275,100000,275,99741,8045903,80.46,80.46
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,1,1,0.00023,0.00023,99725,23,99713,7946163,79.68,79.68
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,2,1,0.00013,0.00013,99702,13,99695,7846450,78.7,78.7
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,3,1,0.00012,0.00012,99688,12,99682,7746754,77.71,77.71
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,4,1,0.00014,0.00014,99676,14,99669,7647072,76.72,76.72
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,5,1,1e-04,1e-04,99662,10,99657,7547403,75.73,75.73
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,6,1,7e-05,7e-05,99652,7,99648,7447746,74.74,74.74
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,7,1,7e-05,7e-05,99645,7,99641,7348098,73.74,73.74
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,8,1,9e-05,9e-05,99637,9,99633,7248457,72.75,72.75
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,9,1,7e-05,7e-05,99629,7,99625,7148824,71.75,71.75
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,10,1,7e-05,7e-05,99621,7,99618,7049199,70.76,70.76
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,11,1,8e-05,8e-05,99615,8,99610,6949581,69.76,69.76
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,12,1,7e-05,7e-05,99606,7,99603,6849971,68.77,68.77
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,13,1,1e-04,1e-04,99599,10,99595,6750368,67.78,67.77
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,14,1,8e-05,8e-05,99590,8,99586,6650773,66.78,66.78
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,15,1,0.00013,0.00013,99581,13,99575,6551187,65.79,65.79
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,16,1,0.00021,0.00021,99568,21,99558,6451613,64.8,64.8
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,17,1,0.00016,0.00016,99548,16,99540,6352055,63.81,63.81
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,18,1,3e-04,3e-04,99531,29,99517,6252515,62.82,62.82
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,19,1,0.00026,0.00026,99502,26,99489,6152998,61.84,61.84
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,20,1,0.00029,0.00029,99476,29,99462,6053509,60.85,60.85
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,21,1,0.00034,0.00034,99447,34,99430,5954048,59.87,59.87
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,22,1,3e-04,3e-04,99414,29,99399,5854617,58.89,58.89
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,23,1,0.00037,0.00037,99384,37,99366,5755218,57.91,57.91
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,24,1,0.00039,0.00039,99347,39,99328,5655852,56.93,56.93
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,25,1,0.00032,0.00032,99308,31,99293,5556524,55.95,55.95
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,26,1,0.00048,0.00048,99277,48,99253,5457232,54.97,54.97
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,27,1,0.00036,0.00036,99229,36,99211,5357979,54,54
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,28,1,0.00049,0.00049,99193,49,99169,5258767,53.02,53.01
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,29,1,0.00055,0.00055,99145,55,99117,5159598,52.04,52.04
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,30,1,0.00046,0.00046,99090,46,99067,5060481,51.07,51.07
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,31,1,0.00054,0.00054,99045,53,99018,4961414,50.09,50.09
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,32,1,0.00048,0.00048,98992,48,98968,4862395,49.12,49.12
ESP,0,0,0,0,1,3492.01,2018,2018,1,1,33,1,0.00052,0.00052,98944,52,98918,4763428,48.14,48.14
