Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
EST,0,0,0,0,1,3592.03,2018,2018,1,1,0,1,0.00189,0.00189,100000,189,99822,7386434,73.86,73.86
EST,0,0,0,0,1,3592.03,2018,2018,1,1,1,1,0.00068,0.00068,99811,68,99777,7286612,73,73
EST,0,0,0,0,1,3592.03,2018,2018,1,1,2,1,0.00041,0.00041,99743,41,99722,7186835,72.05,72.05
EST,0,0,0,0,1,3592.03,2018,2018,1,1,3,1,0,0,99702,0,99702,7087113,71.08,71.08
EST,0,0,0,0,1,3592.03,2018,2018,1,1,4,1,0.00028,0.00028,99702,28,99688,6987411,70.08,70.08
EST,0,0,0,0,1,3592.03,2018,2018,1,1,5,1,0,0,99674,0,99674,6887723,69.1,69.1
EST,0,0,0,0,1,3592.03,2018,2018,1,1,6,1,0.00013,0.00013,99674,13,99668,6788049,68.1,68.1
EST,0,0,0,0,1,3592.03,2018,2018,1,1,7,1,0.00013,0.00013,99661,13,99654,6688381,67.11,67.11
EST,0,0,0,0,1,3592.03,2018,2018,1,1,8,1,0.00025,0.00025,99648,25,99636,6588727,66.12,66.12
EST,0,0,0,0,1,3592.03,2018,2018,1,1,9,1,0,0,99623,0,99623,6489091,65.14,65.14
EST,0,0,0,0,1,3592.03,2018,2018,1,1,10,1,0.00012,0.00012,99623,12,99617,6389468,64.14,64.14
EST,0,0,0,0,1,3592.03,2018,2018,1,1,11,1,0,0,99611,0,99611,6289851,63.14,63.14
EST,0,0,0,0,1,3592.03,2018,2018,1,1,12,1,0,0,99611,0,99611,6190240,62.14,62.14
EST,0,0,0,0,1,3592.03,2018,2018,1,1,13,1,0.00014,0.00014,99611,14,99604,6090629,61.14,61.14
EST,0,0,0,0,1,3592.03,2018,2018,1,1,14,1,0.00031,0.00031,99597,31,99582,5991025,60.15,60.15
EST,0,0,0,0,1,3592.03,2018,2018,1,1,15,1,0.00031,0.00031,99566,31,99550,5891444,59.17,59.17
EST,0,0,0,0,1,3592.03,2018,2018,1,1,16,1,0.00016,0.00016,99535,16,99527,5791893,58.19,58.19
EST,0,0,0,0,1,3592.03,2018,2018,1,1,17,1,0.00063,0.00063,99519,63,99488,5692366,57.2,57.2
EST,0,0,0,0,1,3592.03,2018,2018,1,1,18,1,0.00064,0.00064,99456,64,99424,5592879,56.23,56.23
EST,0,0,0,0,1,3592.03,2018,2018,1,1,19,1,0.00134,0.00134,99392,133,99326,5493455,55.27,55.27
EST,0,0,0,0,1,3592.03,2018,2018,1,1,20,1,0.00066,0.00065,99259,65,99226,5394129,54.34,54.34
EST,0,0,0,0,1,3592.03,2018,2018,1,1,21,1,3e-04,3e-04,99194,30,99179,5294903,53.38,53.38
EST,0,0,0,0,1,3592.03,2018,2018,1,1,22,1,3e-04,3e-04,99164,30,99149,5195724,52.4,52.39
EST,0,0,0,0,1,3592.03,2018,2018,1,1,23,1,0.00043,0.00043,99134,43,99112,5096575,51.41,51.41
EST,0,0,0,0,1,3592.03,2018,2018,1,1,24,1,0.00095,0.00095,99091,94,99044,4997462,50.43,50.43
EST,0,0,0,0,1,3592.03,2018,2018,1,1,25,1,0.0011,0.0011,98997,109,98942,4898418,49.48,49.48
EST,0,0,0,0,1,3592.03,2018,2018,1,1,26,1,0.00125,0.00125,98888,124,98826,4799476,48.53,48.53
EST,0,0,0,0,1,3592.03,2018,2018,1,1,27,1,0.00074,0.00074,98764,73,98728,4700650,47.59,47.59
EST,0,0,0,0,1,3592.03,2018,2018,1,1,28,1,0.00058,0.00058,98691,57,98662,4601922,46.63,46.63
EST,0,0,0,0,1,3592.03,2018,2018,1,1,29,1,0.00093,0.00093,98634,92,98588,4503260,45.66,45.66
EST,0,0,0,0,1,3592.03,2018,2018,1,1,30,1,0.00093,0.00093,98542,92,98496,4404672,44.7,44.7
EST,0,0,0,0,1,3592.03,2018,2018,1,1,31,1,0.00095,0.00094,98450,93,98404,4306176,43.74,43.74
EST,0,0,0,0,1,3592.03,2018,2018,1,1,32,1,0.00149,0.00148,98357,146,98284,4207772,42.78,42.78
EST,0,0,0,0,1,3592.03,2018,2018,1,1,33,1,0.0016,0.0016,98211,157,98132,4109488,41.84,41.84
EST,0,0,0,0,1,3592.03,2018,2018,1,1,34,1,0.00189,0.00189,98054,185,97962,4011356,40.91,40.91
EST,0,0,0,0,1,3592.03,2018,2018,1,1,35,1,0.00164,0.00163,97869,160,97789,3913394,39.99,39.98
EST,0,0,0,0,1,3592.03,2018,2018,1,1,36,1,0.00176,0.00176,97709,172,97623,3815605,39.05,39.05
EST,0,0,0,0,1,3592.03,2018,2018,1,1,37,1,0.0018,0.00179,97537,175,97450,3717982,38.12,38.12
EST,0,0,0,0,1,3592.03,2018,2018,1,1,38,1,0.00215,0.00215,97362,209,97258,3620533,37.19,37.19
EST,0,0,0,0,1,3592.03,2018,2018,1,1,39,1,0.0027,0.0027,97153,262,97022,3523275,36.27,36.26
EST,0,0,0,0,1,3592.03,2018,2018,1,1,40,1,0.00237,0.00236,96891,229,96776,3426253,35.36,35.36
EST,0,0,0,0,1,3592.03,2018,2018,1,1,41,1,0.00244,0.00244,96662,236,96544,3329477,34.44,34.44
EST,0,0,0,0,1,3592.03,2018,2018,1,1,42,1,0.00376,0.00375,96426,362,96245,3232933,33.53,33.53
EST,0,0,0,0,1,3592.03,2018,2018,1,1,43,1,0.00316,0.00315,96064,303,95912,3136688,32.65,32.65
EST,0,0,0,0,1,3592.03,2018,2018,1,1,44,1,0.00273,0.00273,95761,261,95630,3040775,31.75,31.75
EST,0,0,0,0,1,3592.03,2018,2018,1,1,45,1,0.00507,0.00506,95500,483,95258,2945145,30.84,30.84
EST,0,0,0,0,1,3592.03,2018,2018,1,1,46,1,0.00553,0.00551,95017,524,94755,2849886,29.99,29.99
EST,0,0,0,0,1,3592.03,2018,2018,1,1,47,1,0.00409,0.00408,94493,386,94300,2755131,29.16,29.16
EST,0,0,0,0,1,3592.03,2018,2018,1,1,48,1,0.00502,0.005,94107,471,93872,2660831,28.27,28.27
EST,0,0,0,0,1,3592.03,2018,2018,1,1,49,1,0.00472,0.00471,93636,441,93416,2566960,27.41,27.41
EST,0,0,0,0,1,3592.03,2018,2018,1,1,50,1,0.00464,0.00462,93195,431,92980,2473544,26.54,26.54
