Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,0,4,0.01696,0.06562,100000,6562,386876,5813842,58.14,55.81
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,4,5,0.01189,0.05773,93438,5394,453705,5426966,58.08,58.71
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,9,5,0.00678,0.03331,88044,2933,432888,4973261,56.49,58.22
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,14,5,0.00324,0.01605,85111,1366,422140,4540374,53.35,55.14
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,19,5,0.00419,0.02075,83745,1738,414380,4118234,49.18,51
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,24,5,0.00577,0.02846,82007,2334,404200,3703854,45.17,47.03
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,29,5,0.00673,0.03307,79673,2635,391778,3299654,41.41,43.33
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,34,5,0.00483,0.02388,77038,1840,380590,2907876,37.75,39.73
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,39,5,0.00714,0.03507,75198,2637,369398,2527286,33.61,35.64
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,44,5,0.01184,0.0575,72561,4172,352375,2157889,29.74,31.84
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,49,5,0.01522,0.0733,68389,5013,329412,1805514,26.4,28.63
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,54,5,0.0125,0.06059,63376,3840,307280,1476101,23.29,25.7
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,59,5,0.01472,0.07098,59536,4226,287115,1168821,19.63,22.2
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,64,5,0.03111,0.14433,55310,7983,256592,881706,15.94,18.7
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,69,5,0.03048,0.14161,47327,6702,219880,625114,13.21,16.44
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,74,5,0.05704,0.24962,40625,10141,177772,405234,9.97,13.74
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,79,5,0.04403,0.1983,30484,6045,137308,227461,7.46,12.47
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,84,1,0.2539,0.2253,24439,5506,21686,90154,3.69,9.94
ETH,10,0,0,0,1,3591.03,1995,1996,4,1,85,99,0.27653,1,18933,18933,68468,68468,3.62,7.11
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,0,4,0.01843,0.07109,100000,7109,385782,5881373,58.81,56.68
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,4,5,0.01284,0.0622,92891,5778,450010,5495591,59.16,59.99
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,9,5,0.00606,0.02985,87113,2600,429065,5045581,57.92,59.88
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,14,5,0.00273,0.01355,84513,1145,419702,4616516,54.62,56.64
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,19,5,0.00365,0.0181,83368,1509,413068,4196813,50.34,52.39
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,24,5,0.00331,0.01643,81859,1345,405932,3783746,46.22,48.31
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,29,5,0.00469,0.02318,80514,1866,397905,3377813,41.95,44.07
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,34,5,0.00693,0.03404,78648,2677,386548,2979908,37.89,40.06
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,39,5,0.00553,0.02727,75971,2072,374675,2593361,34.14,36.38
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,44,5,0.00686,0.03371,73899,2491,363268,2218686,30.02,32.33
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,49,5,0.01577,0.07587,71408,5418,343495,1855418,25.98,28.37
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,54,5,0.00821,0.04023,65990,2655,323312,1511923,22.91,25.5
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,59,5,0.02335,0.11032,63335,6987,299208,1188611,18.77,21.46
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,64,5,0.02626,0.1232,56348,6942,264385,889403,15.78,18.81
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,69,5,0.03603,0.16528,49406,8166,226615,625018,12.65,16.11
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,74,5,0.05045,0.22398,41240,9237,183108,398403,9.66,13.8
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,79,5,0.06181,0.26769,32003,8567,138598,215296,6.73,12.06
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,84,1,0.44941,0.36696,23436,8600,19136,76698,3.27,10.56
ETH,10,0,0,0,1,3591.03,1995,1996,4,2,85,99,0.25774,1,14836,14836,57562,57562,3.88,10.23
