Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,0,1,0.0021,0.0021,100000,210,99802,7889176,78.89,78.89
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,1,1,0.00023,0.00023,99790,23,99778,7789374,78.06,78.06
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,2,1,0.00017,0.00017,99767,17,99758,7689596,77.08,77.08
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,3,1,0.00017,0.00017,99750,17,99742,7589837,76.09,76.09
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,4,1,3e-05,3e-05,99733,3,99732,7490096,75.1,75.1
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,5,1,0,0,99730,0,99730,7390364,74.1,74.1
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,6,1,1e-04,1e-04,99730,10,99725,7290634,73.1,73.1
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,7,1,9e-05,9e-05,99720,9,99716,7190909,72.11,72.11
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,8,1,0,0,99711,0,99711,7091194,71.12,71.12
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,9,1,6e-05,6e-05,99711,6,99708,6991483,70.12,70.12
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,10,1,0,0,99705,0,99705,6891775,69.12,69.12
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,11,1,7e-05,7e-05,99705,7,99702,6792070,68.12,68.12
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,12,1,6e-05,6e-05,99698,6,99695,6692368,67.13,67.13
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,13,1,0.00016,0.00016,99692,16,99684,6592673,66.13,66.13
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,14,1,0.00014,0.00014,99676,14,99669,6492989,65.14,65.14
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,15,1,0.00023,0.00023,99662,23,99650,6393320,64.15,64.15
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,16,1,4e-04,4e-04,99639,40,99619,6293670,63.16,63.16
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,17,1,0.00029,0.00029,99599,29,99584,6194051,62.19,62.19
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,18,1,0.00097,0.00097,99570,97,99522,6094466,61.21,61.21
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,19,1,7e-04,7e-04,99473,70,99438,5994945,60.27,60.27
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,20,1,0.00051,0.00051,99403,51,99378,5895507,59.31,59.31
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,21,1,0.00098,0.00098,99352,97,99304,5796129,58.34,58.34
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,22,1,0.00096,0.00096,99255,95,99208,5696826,57.4,57.4
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,23,1,0.00061,0.00061,99160,60,99130,5597618,56.45,56.45
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,24,1,0.00055,0.00054,99100,54,99073,5498488,55.48,55.48
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,25,1,0.00072,0.00072,99046,71,99010,5399415,54.51,54.51
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,26,1,0.00082,0.00082,98975,81,98934,5300405,53.55,53.55
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,27,1,0.00071,0.00071,98894,70,98859,5201470,52.6,52.6
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,28,1,0.00079,0.00079,98824,78,98785,5102611,51.63,51.63
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,29,1,0.00077,0.00077,98746,76,98708,5003826,50.67,50.67
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,30,1,0.00106,0.00106,98670,105,98618,4905118,49.71,49.71
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,31,1,0.00106,0.00106,98565,104,98513,4806501,48.76,48.77
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,32,1,0.00124,0.00124,98461,122,98400,4707988,47.82,47.82
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,33,1,0.00054,0.00054,98339,53,98312,4609588,46.87,46.87
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,34,1,0.00098,0.00098,98286,96,98238,4511275,45.9,45.9
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,35,1,0.00121,0.00121,98190,119,98130,4413037,44.94,44.94
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,36,1,9e-04,9e-04,98071,88,98027,4314907,44,44
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,37,1,0.00092,0.00092,97983,90,97938,4216880,43.04,43.04
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,38,1,0.00126,0.00126,97893,123,97832,4118942,42.08,42.08
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,39,1,0.00133,0.00133,97770,130,97705,4021110,41.13,41.13
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,40,1,0.00152,0.00152,97640,148,97566,3923405,40.18,40.18
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,41,1,0.00156,0.00156,97492,152,97416,3825839,39.24,39.24
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,42,1,0.00138,0.00138,97340,134,97273,3728423,38.3,38.3
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,43,1,0.00168,0.00168,97206,163,97124,3631150,37.36,37.36
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,44,1,0.00177,0.00177,97043,172,96957,3534026,36.42,36.42
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,45,1,0.00152,0.00152,96871,147,96798,3437069,35.48,35.48
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,46,1,0.00236,0.00236,96724,228,96610,3340271,34.53,34.53
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,47,1,0.00259,0.00259,96496,250,96371,3243661,33.61,33.61
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,48,1,0.00305,0.00304,96246,293,96100,3147290,32.7,32.7
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,49,1,0.00312,0.00312,95953,299,95804,3051191,31.8,31.8
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,50,1,0.00367,0.00366,95654,350,95479,2955387,30.9,30.9
FIN,0,0,0,0,1,3190.03,2018,2018,1,1,51,1,0.00353,0.00353,95304,336,95136,2859908,30.01,30.01
