Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
FJI,,0,0,0,1,858.01,2015,2017,4,1,0,5,0.00532,0.02626,100000,2626,493435,6637203,66.37,65.43
FJI,,0,0,0,1,858.01,2015,2017,4,1,5,5,0.00055,0.00273,97374,266,486205,6143768,63.09,62.13
FJI,,0,0,0,1,858.01,2015,2017,4,1,10,5,0.00057,0.00284,97108,276,484850,5657563,58.26,57.29
FJI,,0,0,0,1,858.01,2015,2017,4,1,15,5,0.00069,0.00343,96832,332,483330,5172713,53.42,52.45
FJI,,0,0,0,1,858.01,2015,2017,4,1,20,5,0.00138,0.00688,96500,664,480840,4689383,48.59,47.62
FJI,,0,0,0,1,858.01,2015,2017,4,1,25,5,0.00178,0.00887,95836,850,477055,4208543,43.91,42.93
FJI,,0,0,0,1,858.01,2015,2017,4,1,30,5,0.00224,0.01116,94986,1060,472280,3731488,39.28,38.29
FJI,,0,0,0,1,858.01,2015,2017,4,1,35,5,0.00304,0.01511,93926,1419,466082,3259208,34.7,33.7
FJI,,0,0,0,1,858.01,2015,2017,4,1,40,5,0.00484,0.0239,92507,2211,457008,2793126,30.19,29.17
FJI,,0,0,0,1,858.01,2015,2017,4,1,45,5,0.00827,0.04053,90296,3660,442330,2336118,25.87,24.83
FJI,,0,0,0,1,858.01,2015,2017,4,1,50,5,0.01394,0.06735,86636,5835,418592,1893788,21.86,20.77
FJI,,0,0,0,1,858.01,2015,2017,4,1,55,5,0.02183,0.1035,80801,8363,383098,1475196,18.26,17.09
FJI,,0,0,0,1,858.01,2015,2017,4,1,60,5,0.03202,0.14822,72438,10737,335348,1092098,15.08,13.78
FJI,,0,0,0,1,858.01,2015,2017,4,1,65,5,0.04273,0.19304,61701,11911,278728,756751,12.26,10.74
FJI,,0,0,0,1,858.01,2015,2017,4,1,70,5,0.0615,0.26654,49790,13271,215772,478023,9.6,7.71
FJI,,0,0,0,1,858.01,2015,2017,4,1,75,99,0.13925,1,36519,36519,262251,262251,7.18,4.6
FJI,,0,0,0,1,858.01,2015,2017,4,2,0,5,0.00389,0.01926,100000,1926,495185,7013306,70.13,68.53
FJI,,0,0,0,1,858.01,2015,2017,4,2,5,5,0.00049,0.00247,98074,242,489765,6518121,66.46,64.83
FJI,,0,0,0,1,858.01,2015,2017,4,2,10,5,0.00052,0.00262,97832,256,488520,6028356,61.62,59.98
FJI,,0,0,0,1,858.01,2015,2017,4,2,15,5,0.00069,0.00342,97576,334,487045,5539836,56.77,55.13
FJI,,0,0,0,1,858.01,2015,2017,4,2,20,5,0.00107,0.00534,97242,519,484912,5052791,51.96,50.31
FJI,,0,0,0,1,858.01,2015,2017,4,2,25,5,0.00131,0.00651,96723,630,482040,4567878,47.23,45.57
FJI,,0,0,0,1,858.01,2015,2017,4,2,30,5,0.00165,0.0082,96093,788,478495,4085838,42.52,40.85
FJI,,0,0,0,1,858.01,2015,2017,4,2,35,5,0.00259,0.01284,95305,1224,473465,3607343,37.85,36.17
FJI,,0,0,0,1,858.01,2015,2017,4,2,40,5,0.00384,0.01903,94081,1790,465930,3133878,33.31,31.61
FJI,,0,0,0,1,858.01,2015,2017,4,2,45,5,0.00602,0.02966,92291,2737,454612,2667948,28.91,27.17
FJI,,0,0,0,1,858.01,2015,2017,4,2,50,5,0.01011,0.04929,89554,4414,436735,2213336,24.72,22.93
FJI,,0,0,0,1,858.01,2015,2017,4,2,55,5,0.01566,0.07537,85140,6417,409658,1776601,20.87,18.99
FJI,,0,0,0,1,858.01,2015,2017,4,2,60,5,0.02147,0.10186,78723,8019,373568,1366943,17.36,15.33
FJI,,0,0,0,1,858.01,2015,2017,4,2,65,5,0.02961,0.13784,70704,9746,329155,993376,14.05,11.79
FJI,,0,0,0,1,858.01,2015,2017,4,2,70,5,0.04412,0.19868,60958,12111,274512,664221,10.9,8.27
FJI,,0,0,0,1,858.01,2015,2017,4,2,75,99,0.12534,1,48847,48847,389708,389708,7.98,4.7
