Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,0,1,0.00383,0.00382,100000,382,99641,7903158,79.03,79.04
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,1,1,0.00028,0.00028,99618,28,99604,7803517,78.33,78.34
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,2,1,0.00017,0.00017,99590,17,99582,7703913,77.36,77.36
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,3,1,0.00014,0.00014,99573,14,99566,7604331,76.37,76.37
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,4,1,0.00012,0.00012,99559,12,99553,7504765,75.38,75.38
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,5,1,0.00011,0.00011,99547,11,99542,7405212,74.39,74.39
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,6,1,9e-05,9e-05,99536,9,99532,7305671,73.4,73.4
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,7,1,1e-04,1e-04,99527,10,99522,7206139,72.4,72.41
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,8,1,8e-05,8e-05,99517,8,99513,7106617,71.41,71.41
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,9,1,8e-05,8e-05,99509,8,99505,7007104,70.42,70.42
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,10,1,7e-05,7e-05,99501,7,99498,6907599,69.42,69.43
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,11,1,8e-05,8e-05,99494,8,99490,6808102,68.43,68.43
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,12,1,1e-04,1e-04,99486,10,99481,6708612,67.43,67.44
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,13,1,1e-04,1e-04,99476,10,99471,6609131,66.44,66.44
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,14,1,0.00016,0.00016,99466,16,99458,6509660,65.45,65.45
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,15,1,0.00018,0.00018,99450,18,99441,6410202,64.46,64.46
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,16,1,0.00024,0.00024,99432,24,99420,6310761,63.47,63.47
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,17,1,0.00031,0.00031,99408,31,99392,6211341,62.48,62.49
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,18,1,0.00042,0.00042,99377,42,99356,6111948,61.5,61.51
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,19,1,5e-04,5e-04,99335,50,99310,6012592,60.53,60.53
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,20,1,0.00056,0.00056,99285,56,99257,5913282,59.56,59.56
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,21,1,0.00059,0.00059,99229,59,99200,5814025,58.59,58.6
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,22,1,0.00061,0.00061,99170,60,99140,5714826,57.63,57.63
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,23,1,0.00062,0.00062,99110,61,99080,5615686,56.66,56.66
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,24,1,0.00065,0.00065,99049,64,99017,5516606,55.7,55.7
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,25,1,0.00069,0.00069,98985,68,98951,5417589,54.73,54.73
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,26,1,0.00072,0.00072,98917,71,98882,5318638,53.77,53.77
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,27,1,7e-04,7e-04,98846,69,98812,5219757,52.81,52.81
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,28,1,0.00077,0.00077,98777,76,98739,5120945,51.84,51.85
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,29,1,0.00078,0.00078,98701,77,98662,5022206,50.88,50.89
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,30,1,0.00083,0.00083,98624,82,98583,4923544,49.92,49.93
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,31,1,0.00084,0.00084,98542,83,98500,4824961,48.96,48.97
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,32,1,0.00088,0.00088,98459,87,98416,4726460,48,48.01
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,33,1,0.00089,0.00089,98372,88,98328,4628045,47.05,47.05
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,34,1,0.001,0.001,98284,98,98235,4529717,46.09,46.09
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,35,1,0.00102,0.00102,98186,100,98136,4431482,45.13,45.14
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,36,1,0.00108,0.00108,98086,106,98033,4333346,44.18,44.18
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,37,1,0.00119,0.00119,97980,117,97922,4235313,43.23,43.23
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,38,1,0.00127,0.00127,97863,124,97801,4137391,42.28,42.28
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,39,1,0.00142,0.00142,97739,139,97670,4039590,41.33,41.33
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,40,1,0.00153,0.00153,97600,149,97526,3941921,40.39,40.39
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,41,1,0.00166,0.00166,97451,162,97370,3844395,39.45,39.45
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,42,1,0.00183,0.00183,97289,178,97200,3747025,38.51,38.52
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,43,1,0.00198,0.00198,97111,192,97015,3649825,37.58,37.59
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,44,1,0.00224,0.00224,96919,217,96810,3552810,36.66,36.66
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,45,1,0.00253,0.00252,96702,244,96580,3456000,35.74,35.74
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,46,1,0.00278,0.00278,96458,268,96324,3359420,34.83,34.83
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,47,1,0.00307,0.00307,96190,295,96042,3263096,33.92,33.93
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,48,1,0.00333,0.00333,95895,319,95736,3167053,33.03,33.03
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,49,1,0.00369,0.00368,95576,352,95400,3071318,32.13,32.14
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,50,1,0.004,0.00399,95224,380,95034,2975918,31.25,31.26
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,51,1,0.00441,0.0044,94844,417,94636,2880884,30.37,30.38
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,52,1,0.00489,0.00488,94427,461,94196,2786248,29.51,29.51
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,53,1,0.00535,0.00533,93966,501,93716,2692052,28.65,28.65
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,54,1,0.00608,0.00607,93465,567,93182,2598336,27.8,27.8
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,55,1,0.00669,0.00666,92898,619,92588,2505155,26.97,26.97
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,56,1,0.00724,0.00722,92279,666,91946,2412566,26.14,26.15
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,57,1,0.00795,0.00791,91613,725,91250,2320620,25.33,25.33
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,58,1,0.00857,0.00854,90888,776,90500,2229370,24.53,24.53
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,59,1,0.00933,0.00929,90112,837,89694,2138870,23.74,23.74
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,60,1,0.01003,0.00998,89275,891,88830,2049176,22.95,22.96
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,61,1,0.01073,0.01067,88384,943,87912,1960347,22.18,22.18
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,62,1,0.01143,0.01137,87441,994,86944,1872434,21.41,21.42
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,63,1,0.01213,0.01205,86447,1042,85926,1785490,20.65,20.66
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,64,1,0.01287,0.01279,85405,1092,84859,1699564,19.9,19.9
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,65,1,0.01376,0.01366,84313,1152,83737,1614705,19.15,19.16
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,66,1,0.01428,0.01418,83161,1179,82572,1530968,18.41,18.41
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,67,1,0.01535,0.01524,81982,1249,81358,1448397,17.67,17.67
FRA,0,0,0,0,1,3201.02,2013,2015,1,1,68,1,0.01656,0.01642,80733,1326,80070,1367039,16.93,16.94
