Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,0,1,0.00422,0.0042,100000,420,99606,7924447,79.24,79.25
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,1,1,0.00026,0.00026,99580,26,99567,7824840,78.58,78.58
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,2,1,0.00014,0.00014,99554,14,99548,7725273,77.6,77.6
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,3,1,0.00011,0.00011,99541,11,99535,7625726,76.61,76.61
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,4,1,1e-04,1e-04,99529,10,99524,7526191,75.62,75.62
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,5,1,9e-05,9e-05,99519,9,99515,7426666,74.63,74.63
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,6,1,8e-05,8e-05,99510,8,99506,7327152,73.63,73.64
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,7,1,8e-05,8e-05,99502,8,99498,7227646,72.64,72.64
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,8,1,7e-05,7e-05,99494,7,99491,7128147,71.64,71.65
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,9,1,7e-05,7e-05,99488,6,99484,7028656,70.65,70.65
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,10,1,8e-05,8e-05,99481,8,99477,6929172,69.65,69.66
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,11,1,9e-05,9e-05,99474,9,99469,6829695,68.66,68.66
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,12,1,1e-04,1e-04,99465,10,99460,6730226,67.66,67.67
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,13,1,0.00011,0.00011,99455,11,99450,6630766,66.67,66.67
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,14,1,0.00013,0.00013,99444,13,99437,6531316,65.68,65.68
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,15,1,0.00018,0.00018,99431,18,99422,6431879,64.69,64.69
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,16,1,0.00023,0.00023,99413,23,99401,6332457,63.7,63.7
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,17,1,0.00032,0.00032,99390,32,99374,6233055,62.71,62.72
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,18,1,0.00041,0.00041,99358,40,99338,6133681,61.73,61.74
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,19,1,0.00045,0.00045,99318,45,99296,6034343,60.76,60.76
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,20,1,0.00048,0.00048,99273,48,99249,5935048,59.78,59.79
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,21,1,0.00051,0.00051,99225,50,99200,5835798,58.81,58.82
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,22,1,0.00049,0.00049,99175,49,99150,5736598,57.84,57.85
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,23,1,0.00052,0.00052,99126,52,99100,5637448,56.87,56.88
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,24,1,0.00054,0.00054,99074,54,99047,5538348,55.9,55.9
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,25,1,6e-04,6e-04,99020,59,98991,5439300,54.93,54.93
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,26,1,6e-04,6e-04,98961,59,98931,5340310,53.96,53.97
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,27,1,6e-04,6e-04,98902,60,98872,5241379,53,53
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,28,1,7e-04,7e-04,98842,69,98808,5142507,52.03,52.03
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,29,1,0.00073,0.00073,98773,72,98737,5043699,51.06,51.07
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,30,1,0.00075,0.00075,98701,74,98664,4944962,50.1,50.1
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,31,1,0.00083,0.00083,98627,82,98586,4846298,49.14,49.14
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,32,1,0.00086,0.00086,98545,85,98503,4747712,48.18,48.18
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,33,1,0.00091,0.00091,98461,90,98416,4649209,47.22,47.22
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,34,1,0.00098,0.00098,98371,97,98322,4550793,46.26,46.27
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,35,1,0.00104,0.00104,98274,103,98223,4452471,45.31,45.31
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,36,1,0.00116,0.00116,98171,114,98114,4354248,44.35,44.36
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,37,1,0.00125,0.00125,98057,122,97996,4256134,43.4,43.41
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,38,1,0.00123,0.00123,97935,121,97875,4158138,42.46,42.46
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,39,1,0.00139,0.00139,97814,136,97746,4060263,41.51,41.51
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,40,1,0.00153,0.00153,97678,149,97603,3962517,40.57,40.57
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,41,1,0.00173,0.00173,97529,169,97444,3864913,39.63,39.63
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,42,1,0.00185,0.00184,97360,180,97270,3767469,38.7,38.7
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,43,1,0.00207,0.00207,97180,201,97080,3670199,37.77,37.77
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,44,1,0.00213,0.00213,96980,207,96876,3573119,36.84,36.85
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,45,1,0.0023,0.00229,96773,222,96662,3476243,35.92,35.93
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,46,1,0.00246,0.00245,96551,237,96432,3379581,35,35.01
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,47,1,0.00273,0.00273,96314,263,96183,3283148,34.09,34.09
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,48,1,0.00287,0.00287,96051,276,95914,3186966,33.18,33.18
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,49,1,0.00316,0.00315,95776,302,95625,3091052,32.27,32.28
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,50,1,0.00338,0.00338,95474,322,95313,2995427,31.37,31.38
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,51,1,0.00355,0.00354,95151,337,94983,2900115,30.48,30.48
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,52,1,0.00393,0.00392,94814,372,94628,2805132,29.59,29.59
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,53,1,0.00409,0.00408,94443,385,94250,2710504,28.7,28.7
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,54,1,0.00444,0.00443,94058,417,93849,2616254,27.82,27.82
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,55,1,0.0049,0.00489,93641,458,93412,2522404,26.94,26.94
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,56,1,0.0054,0.00538,93183,501,92933,2428992,26.07,26.07
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,57,1,0.00589,0.00587,92682,544,92410,2336060,25.21,25.21
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,58,1,0.00645,0.00643,92138,592,91842,2243650,24.35,24.35
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,59,1,0.00706,0.00703,91545,644,91223,2151808,23.51,23.51
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,60,1,0.00778,0.00775,90901,704,90549,2060585,22.67,22.67
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,61,1,0.00858,0.00854,90197,770,89812,1970036,21.84,21.85
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,62,1,0.00932,0.00928,89427,830,89012,1880224,21.03,21.03
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,63,1,0.01045,0.0104,88597,921,88137,1791212,20.22,20.22
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,64,1,0.01118,0.01112,87676,975,87189,1703075,19.42,19.43
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,65,1,0.01228,0.01221,86701,1058,86172,1615886,18.64,18.64
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,66,1,0.01366,0.01357,85643,1162,85062,1529714,17.86,17.87
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,67,1,0.0146,0.01449,84481,1224,83868,1444653,17.1,17.1
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,68,1,0.01602,0.0159,83256,1323,82595,1360784,16.34,16.35
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,69,1,0.01736,0.01721,81933,1410,81228,1278190,15.6,15.6
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,70,1,0.01887,0.0187,80523,1505,79770,1196962,14.86,14.87
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,71,1,0.02088,0.02066,79018,1633,78201,1117192,14.14,14.14
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,72,1,0.02341,0.02314,77385,1790,76490,1038990,13.43,13.43
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,73,1,0.02614,0.0258,75594,1951,74619,962501,12.73,12.74
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,74,1,0.02902,0.02861,73644,2107,72591,887882,12.06,12.06
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,75,1,0.03288,0.03234,71537,2314,70380,815291,11.4,11.4
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,76,1,0.03648,0.03582,69224,2480,67984,744911,10.76,10.77
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,77,1,0.04061,0.03981,66744,2657,65415,676927,10.14,10.15
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,78,1,0.04475,0.04377,64087,2805,62684,611512,9.54,9.55
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,79,1,0.04989,0.04867,61282,2983,59791,548827,8.96,8.96
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,80,1,0.05598,0.05446,58299,3175,56712,489037,8.39,8.39
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,81,1,0.0629,0.06098,55124,3361,53444,432325,7.84,7.85
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,82,1,0.07012,0.06775,51763,3507,50009,378881,7.32,7.33
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,83,1,0.07996,0.07689,48256,3710,46401,328872,6.82,6.82
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,84,1,0.09026,0.08636,44546,3847,42622,282471,6.34,6.35
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,85,1,0.10093,0.09608,40698,3910,38743,239849,5.89,5.9
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,86,1,0.11459,0.10838,36788,3987,34795,201106,5.47,5.48
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,87,1,0.12826,0.12053,32801,3953,30824,166311,5.07,5.08
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,88,1,0.14508,0.13527,28848,3902,26897,135487,4.7,4.71
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,89,1,0.16347,0.15112,24946,3770,23061,108590,4.35,4.37
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,90,1,0.17927,0.16452,21176,3484,19434,85529,4.04,4.06
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,91,1,0.19955,0.18145,17692,3210,16087,66095,3.74,3.76
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,92,1,0.2226,0.20031,14482,2901,13031,50009,3.45,3.48
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,93,1,0.24632,0.21931,11581,2540,10311,36977,3.19,3.22
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,94,1,0.27115,0.23878,9041,2159,7962,26666,2.95,2.99
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,95,1,0.30241,0.26269,6882,1808,5978,18705,2.72,2.77
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,96,1,0.33247,0.28508,5074,1447,4351,12726,2.51,2.58
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,97,1,0.36219,0.30666,3628,1112,3072,8375,2.31,2.41
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,98,1,0.38383,0.32203,2515,810,2110,5304,2.11,2.25
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,99,1,0.44654,0.36504,1705,622,1394,3193,1.87,2.08
GBR,0,0,0,0,1,3550.28,2016,2018,1,1,100,99,0.6018,1,1083,1083,1799,1799,1.66,1.99
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,0,1,0.00356,0.00355,100000,355,99667,8292113,82.92,82.93
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,1,1,0.00022,0.00022,99645,22,99634,8192446,82.22,82.22
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,2,1,0.00013,0.00013,99623,13,99617,8092812,81.23,81.24
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,3,1,1e-04,1e-04,99610,10,99605,7993196,80.24,80.25
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,4,1,7e-05,7e-05,99600,7,99597,7893590,79.25,79.26
GBR,0,0,0,0,1,3550.28,2016,2018,1,2,5,1,8e-05,8e-05,99593,8,99589,7793993,78.26,78.26
