Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,0,1,0.00914,0.00906,100000,906,99164,6957828,69.58,69.62
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,1,4,0.00033,0.00133,99094,132,396063,6858664,69.21,69.26
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,5,5,0.00025,0.00124,98962,122,494506,6462601,65.3,65.34
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,10,5,0.00032,0.00158,98840,156,493809,5968095,60.38,60.42
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,15,5,0.00067,0.00332,98684,328,492599,5474286,55.47,55.51
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,20,5,0.00123,0.00612,98356,602,490275,4981687,50.65,50.69
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,25,5,0.00155,0.00774,97754,757,486878,4491413,45.95,45.99
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,30,5,0.00181,0.009,96997,873,482804,4004535,41.29,41.33
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,35,5,0.00288,0.01427,96124,1372,477191,3521731,36.64,36.68
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,40,5,0.00512,0.02529,94752,2397,467769,3044540,32.13,32.17
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,45,5,0.00697,0.03427,92356,3165,453864,2576770,27.9,27.94
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,50,5,0.0116,0.05637,89190,5028,433381,2122906,23.8,23.85
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,55,5,0.01737,0.08322,84162,7004,403300,1689525,20.07,20.12
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,60,5,0.02464,0.11603,77158,8953,363408,1286225,16.67,16.72
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,65,5,0.03537,0.16246,68205,11081,313324,922817,13.53,13.59
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,70,5,0.04905,0.21844,57124,12478,254426,609494,10.67,10.74
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,75,5,0.08232,0.34136,44646,15240,185129,355068,7.95,8.04
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,80,5,0.12845,0.48614,29406,14295,111290,169939,5.78,5.92
GEO,0,0,0,0,1,3600.25,2018,2018,4,1,85,99,0.25764,1,15110,15110,58649,58649,3.88,4.15
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,0,1,0.0068,0.00676,100000,676,99372,7843402,78.43,78.17
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,1,4,4e-04,0.0016,99324,159,396900,7744030,77.97,77.7
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,5,5,0.00018,9e-04,99165,89,495601,7347130,74.09,73.82
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,10,5,0.00015,0.00074,99076,73,495195,6851529,69.15,68.88
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,15,5,0.00033,0.00164,99002,163,494605,6356334,64.2,63.93
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,20,5,4e-04,0.00198,98840,195,493710,5861729,59.31,59.03
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,25,5,0.00047,0.00233,98644,230,492647,5368019,54.42,54.15
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,30,5,0.00063,0.00313,98414,308,491302,4875373,49.54,49.27
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,35,5,0.00076,0.00381,98107,374,489599,4384070,44.69,44.41
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,40,5,0.00129,0.00645,97733,630,487088,3894472,39.85,39.57
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,45,5,0.00224,0.01113,97102,1081,482810,3407383,35.09,34.81
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,50,5,0.00367,0.01818,96022,1746,475745,2924573,30.46,30.18
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,55,5,0.00574,0.02829,94276,2667,464712,2448828,25.98,25.69
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,60,5,0.00888,0.04345,91609,3981,448092,1984116,21.66,21.37
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,65,5,0.01429,0.06899,87628,6045,423027,1536023,17.53,17.22
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,70,5,0.02339,0.11047,81583,9013,385382,1112996,13.64,13.31
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,75,5,0.0514,0.22772,72570,16526,321536,727614,10.03,9.66
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,80,5,0.09335,0.37845,56044,21210,227197,406078,7.25,6.77
GEO,0,0,0,0,1,3600.25,2018,2018,4,2,85,99,0.19473,1,34834,34834,178881,178881,5.14,4.36
