Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,0,1,0.11451,0.10658,100000,10658,93072,4705870,47.06,47.22
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,1,4,0.02211,0.08353,89342,7463,337606,4612798,51.63,51.81
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,5,5,0.00471,0.02325,81879,1904,404635,4275192,52.21,52.41
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,10,5,0.00328,0.01626,79975,1300,396625,3870557,48.4,48.6
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,15,5,0.00308,0.0153,78675,1204,390365,3473932,44.16,44.36
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,20,5,0.00386,0.01913,77471,1482,383650,3083567,39.8,40.01
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,25,5,0.00642,0.03161,75989,2402,373940,2699917,35.53,35.74
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,30,5,0.00988,0.04823,73587,3549,359062,2325977,31.61,31.83
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,35,5,0.01146,0.05571,70038,3902,340435,1966914,28.08,28.31
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,40,5,0.0187,0.08933,66136,5908,315910,1626479,24.59,24.84
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,45,5,0.0204,0.09703,60228,5844,286530,1310569,21.76,22.03
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,50,5,0.02577,0.12105,54384,6583,255462,1024039,18.83,19.13
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,55,5,0.03375,0.1556,47801,7438,220410,768577,16.08,16.42
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,60,5,0.04627,0.20734,40363,8369,180892,548167,13.58,13.98
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,65,5,0.0593,0.25824,31994,8262,139315,367274,11.48,11.98
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,70,5,0.06539,0.28101,23732,6669,101988,227959,9.61,10.28
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,75,5,0.10741,0.42337,17063,7224,67255,125972,7.38,8.33
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,80,5,0.10687,0.42169,9839,4149,38822,58717,5.97,7.61
GHA,10,0,0,0,1,3591.16,1995,1999,4,1,85,99,0.28601,1,5690,5690,19894,19894,3.5,6.33
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,0,1,0.11034,0.10296,100000,10296,93308,5122901,51.23,51.39
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,1,4,0.01924,0.07323,89704,6569,341480,5029594,56.07,56.25
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,5,5,0.00397,0.01963,83135,1632,411595,4688113,56.39,56.58
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,10,5,0.00269,0.01336,81503,1089,404792,4276518,52.47,52.67
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,15,5,0.00233,0.01158,80414,931,399742,3871726,48.15,48.34
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,20,5,0.00405,0.02004,79483,1593,393432,3471983,43.68,43.88
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,25,5,0.00583,0.02871,77890,2236,383860,3078551,39.52,39.73
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,30,5,0.00762,0.03739,75654,2829,371198,2694691,35.62,35.83
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,35,5,0.00579,0.02853,72825,2078,358930,2323493,31.91,32.12
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,40,5,0.00797,0.03905,70747,2763,346828,1964563,27.77,27.99
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,45,5,0.01061,0.05166,67984,3512,331140,1617736,23.8,24.03
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,50,5,0.0173,0.08292,64472,5346,308995,1286596,19.96,20.2
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,55,5,0.02657,0.12458,59126,7366,277215,977601,16.53,16.8
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,60,5,0.03564,0.1636,51760,8468,237630,700386,13.53,13.84
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,65,5,0.0597,0.25972,43292,11244,188350,462756,10.69,11.06
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,70,5,0.09086,0.37019,32048,11864,130580,274406,8.56,9.06
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,75,5,0.10907,0.42851,20184,8649,79298,143826,7.13,7.91
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,80,5,0.13595,0.50733,11535,5852,43045,64528,5.59,6.97
GHA,10,0,0,0,1,3591.16,1995,1999,4,2,85,99,0.26453,1,5683,5683,21483,21483,3.78,6.57
