Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,0,4,0.01761,0.06804,100000,6804,386392,5403062,54.03,50.83
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,4,5,0.02339,0.11048,93196,10296,440240,5016670,53.83,53.52
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,9,5,0.00549,0.02708,82900,2245,408888,4576430,55.2,56
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,14,5,0.00443,0.02191,80655,1767,398858,4167543,51.67,52.49
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,19,5,0.0023,0.01143,78888,902,392185,3768685,47.77,48.61
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,24,5,0.00388,0.0192,77986,1497,386188,3376500,43.3,44.14
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,29,5,0.00162,0.00808,76489,618,380900,2990313,39.09,39.96
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,34,5,0.00593,0.02923,75871,2218,373810,2609413,34.39,35.26
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,39,5,0.00946,0.04623,73653,3405,359752,2235603,30.35,31.25
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,44,5,0.01338,0.06474,70248,4548,339870,1875850,26.7,27.64
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,49,5,0.01163,0.05648,65700,3711,319222,1535980,23.38,24.38
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,54,5,0.02427,0.11439,61989,7091,292218,1216758,19.63,20.69
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,59,5,0.01992,0.09487,54898,5208,261470,924540,16.84,18.04
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,64,5,0.03833,0.1749,49690,8691,226722,663070,13.34,14.67
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,69,5,0.05673,0.24842,40999,10185,179532,436348,10.64,12.25
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,74,5,0.06607,0.28351,30814,8736,132230,256815,8.33,10.47
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,79,5,0.09115,0.37118,22078,8195,89902,124585,5.64,8.63
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,84,1,0.67986,0.50738,13883,7044,10361,34683,2.5,7.24
GMB,10,0,0,0,1,3591.05,1995,1999,4,1,85,99,0.28119,1,6839,6839,24322,24322,3.56,7.13
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,0,4,0.01719,0.06646,100000,6646,386708,5743965,57.44,55.05
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,4,5,0.02308,0.10911,93354,10186,441305,5357257,57.39,57.94
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,9,5,0.00684,0.03361,83168,2795,408852,4915952,59.11,60.88
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,14,5,0.00244,0.01214,80373,976,399425,4507099,56.08,57.9
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,19,5,0.00331,0.01644,79397,1305,393722,4107674,51.74,53.59
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,24,5,0.00441,0.02179,78092,1702,386205,3713952,47.56,49.44
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,29,5,0.00421,0.02081,76390,1590,377975,3327747,43.56,45.49
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,34,5,0.00635,0.03124,74800,2337,368158,2949772,39.44,41.4
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,39,5,0.00536,0.02644,72463,1916,357525,2581614,35.63,37.65
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,44,5,0.00473,0.02336,70547,1648,348615,2224089,31.53,33.61
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,49,5,0.00742,0.03644,68899,2511,338218,1875474,27.22,29.35
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,54,5,0.00912,0.0446,66388,2961,324538,1537257,23.16,25.37
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,59,5,0.01576,0.07584,63427,4810,305110,1212719,19.12,21.44
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,64,5,0.02551,0.1199,58617,7028,275515,907609,15.48,17.99
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,69,5,0.036,0.16515,51589,8520,236645,632094,12.25,15.1
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,74,5,0.05406,0.23813,43069,10256,189705,395449,9.18,12.59
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,79,5,0.07726,0.32377,32813,10624,137505,205744,6.27,10.75
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,84,1,0.5189,0.41201,22189,9142,17618,68239,3.08,9.69
GMB,10,0,0,0,1,3591.05,1995,1999,4,2,85,99,0.25774,1,13047,13047,50621,50621,3.88,9.74
