Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,0,4,0.02976,0.11237,100000,11237,377526,3958597,39.59,35.86
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,4,5,0.02776,0.12978,88763,11520,415015,3581071,40.34,39.35
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,9,5,0.0127,0.06153,77243,4753,374332,3166056,40.99,41.03
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,14,5,0.00666,0.03275,72490,2374,356515,2791724,38.51,38.55
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,19,5,0.0053,0.02616,70116,1834,345995,2435209,34.73,34.77
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,24,5,0.00696,0.03423,68282,2337,335568,2089214,30.6,30.64
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,29,5,0.01273,0.06169,65945,4068,319555,1753646,26.59,26.64
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,34,5,0.01433,0.06915,61877,4279,298688,1434091,23.18,23.22
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,39,5,0.01611,0.07743,57598,4460,276840,1135404,19.71,19.76
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,44,5,0.03525,0.16197,53138,8607,244172,858564,16.16,16.21
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,49,5,0.05312,0.23447,44531,10441,196552,614391,13.8,13.86
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,54,5,0.04301,0.19416,34090,6619,153902,417839,12.26,12.34
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,59,5,0.0678,0.28987,27471,7963,117448,263936,9.61,9.71
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,64,5,0.10511,0.41619,19508,8119,77242,146489,7.51,7.65
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,69,5,0.1487,0.54201,11389,6173,41512,69246,6.08,6.33
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,74,5,0.16374,0.5809,5216,3030,18505,27734,5.32,5.86
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,79,5,0.17869,0.61757,2186,1350,7555,9229,4.22,5.52
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,84,1,0.88276,0.61244,836,512,580,1674,2,5.4
GNB,10,0,0,0,1,3591.02,1995,1997,4,1,85,99,0.29617,1,324,324,1094,1094,3.38,4.97
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,0,4,0.02674,0.10152,100000,10152,379696,4260665,42.61,38.91
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,4,5,0.02742,0.12831,89848,11528,420420,3880969,43.19,42.27
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,9,5,0.01021,0.04977,78320,3898,381855,3460549,44.18,44.29
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,14,5,0.00477,0.02358,74422,1755,367722,3078694,41.37,41.48
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,19,5,0.00289,0.01437,72667,1044,360725,2710972,37.31,37.42
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,24,5,0.00747,0.03668,71623,2627,351548,2350247,32.81,32.93
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,29,5,0.01138,0.05534,68996,3818,335435,1998699,28.97,29.08
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,34,5,0.01404,0.06783,65178,4421,314838,1663264,25.52,25.64
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,39,5,0.01461,0.07048,60757,4282,293080,1348427,22.19,22.33
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,44,5,0.02772,0.1296,56475,7319,264078,1055347,18.69,18.83
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,49,5,0.03407,0.15697,49156,7716,226490,791269,16.1,16.26
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,54,5,0.04272,0.19298,41440,7997,187208,564779,13.63,13.82
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,59,5,0.07032,0.29902,33443,10000,142215,377572,11.29,11.53
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,64,5,0.08505,0.35068,23443,8221,96662,235357,10.04,10.38
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,69,5,0.05424,0.2388,15222,3635,67022,138694,9.11,9.64
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,74,5,0.12147,0.46587,11587,5398,44440,71672,6.19,6.88
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,79,5,0.15222,0.5513,6189,3412,22415,27232,4.4,5.7
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,84,1,1.07105,0.69752,2777,1937,1808,4817,1.73,4.63
GNB,10,0,0,0,1,3591.02,1995,1997,4,2,85,99,0.27925,1,840,840,3008,3008,3.58,4.55
