Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GRC,0,0,0,0,1,696.1,2002,2002,1,1,0,1,0.0064,0.00636,100000,636,99408,7624742,76.25,76.25
GRC,0,0,0,0,1,696.1,2002,2002,1,1,1,1,3e-04,3e-04,99364,29,99349,7525334,75.74,75.73
GRC,0,0,0,0,1,696.1,2002,2002,1,1,2,1,0.00031,0.00031,99335,31,99319,7425984,74.76,74.76
GRC,0,0,0,0,1,696.1,2002,2002,1,1,3,1,0.00024,0.00024,99304,24,99292,7326665,73.78,73.78
GRC,0,0,0,0,1,696.1,2002,2002,1,1,4,1,2e-04,2e-04,99281,20,99271,7227373,72.8,72.8
GRC,0,0,0,0,1,696.1,2002,2002,1,1,5,1,0.00018,0.00018,99260,17,99252,7128102,71.81,71.81
GRC,0,0,0,0,1,696.1,2002,2002,1,1,6,1,0.00016,0.00016,99243,16,99235,7028850,70.82,70.82
GRC,0,0,0,0,1,696.1,2002,2002,1,1,7,1,0.00016,0.00016,99227,15,99219,6929616,69.84,69.84
GRC,0,0,0,0,1,696.1,2002,2002,1,1,8,1,0.00014,0.00014,99211,14,99204,6830397,68.85,68.85
GRC,0,0,0,0,1,696.1,2002,2002,1,1,9,1,0.00013,0.00013,99197,13,99191,6731193,67.86,67.86
GRC,0,0,0,0,1,696.1,2002,2002,1,1,10,1,0.00012,0.00012,99184,11,99178,6632002,66.87,66.87
GRC,0,0,0,0,1,696.1,2002,2002,1,1,11,1,0.00011,0.00011,99173,11,99167,6532824,65.87,65.87
GRC,0,0,0,0,1,696.1,2002,2002,1,1,12,1,0.00013,0.00013,99161,13,99155,6433657,64.88,64.88
GRC,0,0,0,0,1,696.1,2002,2002,1,1,13,1,0.00017,0.00017,99148,17,99140,6334502,63.89,63.89
GRC,0,0,0,0,1,696.1,2002,2002,1,1,14,1,0.00024,0.00024,99132,24,99120,6235362,62.9,62.9
GRC,0,0,0,0,1,696.1,2002,2002,1,1,15,1,0.00035,0.00035,99108,35,99091,6136241,61.91,61.91
GRC,0,0,0,0,1,696.1,2002,2002,1,1,16,1,0.00051,0.00051,99073,50,99048,6037151,60.94,60.94
GRC,0,0,0,0,1,696.1,2002,2002,1,1,17,1,0.00067,0.00066,99023,66,98990,5938102,59.97,59.97
GRC,0,0,0,0,1,696.1,2002,2002,1,1,18,1,0.00079,0.00079,98957,78,98918,5839112,59.01,59.01
GRC,0,0,0,0,1,696.1,2002,2002,1,1,19,1,0.00086,0.00086,98879,85,98837,5740193,58.05,58.05
GRC,0,0,0,0,1,696.1,2002,2002,1,1,20,1,0.00091,9e-04,98794,89,98750,5641357,57.1,57.1
GRC,0,0,0,0,1,696.1,2002,2002,1,1,21,1,0.00094,0.00094,98705,93,98658,5542607,56.15,56.15
GRC,0,0,0,0,1,696.1,2002,2002,1,1,22,1,0.00098,0.00098,98612,97,98564,5443949,55.21,55.21
GRC,0,0,0,0,1,696.1,2002,2002,1,1,23,1,0.00101,0.00101,98515,99,98466,5345385,54.26,54.26
GRC,0,0,0,0,1,696.1,2002,2002,1,1,24,1,0.00101,0.00101,98416,99,98367,5246919,53.31,53.31
GRC,0,0,0,0,1,696.1,2002,2002,1,1,25,1,0.00098,0.00098,98317,97,98269,5148552,52.37,52.37
GRC,0,0,0,0,1,696.1,2002,2002,1,1,26,1,0.00096,0.00096,98221,94,98174,5050283,51.42,51.42
GRC,0,0,0,0,1,696.1,2002,2002,1,1,27,1,0.00094,0.00094,98127,92,98080,4952110,50.47,50.47
GRC,0,0,0,0,1,696.1,2002,2002,1,1,28,1,0.00093,0.00093,98034,91,97989,4854029,49.51,49.51
GRC,0,0,0,0,1,696.1,2002,2002,1,1,29,1,0.00093,0.00093,97943,91,97898,4756041,48.56,48.56
GRC,0,0,0,0,1,696.1,2002,2002,1,1,30,1,0.00093,0.00093,97852,91,97806,4658143,47.6,47.6
GRC,0,0,0,0,1,696.1,2002,2002,1,1,31,1,0.00096,0.00096,97761,94,97714,4560337,46.65,46.65
