Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GRD,0,0,0,0,1,682.29,1960,1960,4,1,0,1,0.09145,0.08601,100000,8601,94048,5855354,58.55,58.65
GRD,0,0,0,0,1,682.29,1960,1960,4,1,1,4,0.01398,0.05396,91399,4932,352742,5761306,63.03,63.13
GRD,0,0,0,0,1,682.29,1960,1960,4,1,5,5,0.00032,0.0016,86467,138,431990,5408564,62.55,62.66
GRD,0,0,0,0,1,682.29,1960,1960,4,1,10,5,0.00019,0.00097,86329,84,431435,4976574,57.65,57.76
GRD,0,0,0,0,1,682.29,1960,1960,4,1,15,5,0.00109,0.00544,86245,469,430052,4545139,52.7,52.81
GRD,0,0,0,0,1,682.29,1960,1960,4,1,20,5,0.0022,0.01094,85776,938,426535,4115086,47.97,48.08
GRD,0,0,0,0,1,682.29,1960,1960,4,1,25,5,0.00387,0.01918,84838,1627,420122,3688551,43.48,43.58
GRD,0,0,0,0,1,682.29,1960,1960,4,1,30,5,0.00266,0.01323,83211,1101,413302,3268429,39.28,39.39
GRD,0,0,0,0,1,682.29,1960,1960,4,1,35,5,0.00581,0.02863,82110,2351,404672,2855126,34.77,34.88
GRD,0,0,0,0,1,682.29,1960,1960,4,1,40,5,0.00768,0.03768,79759,3005,391282,2450454,30.72,30.83
GRD,0,0,0,0,1,682.29,1960,1960,4,1,45,5,0.00541,0.02671,76754,2050,378645,2059171,26.83,26.94
GRD,0,0,0,0,1,682.29,1960,1960,4,1,50,5,0.00909,0.04443,74704,3319,365222,1680526,22.5,22.61
GRD,0,0,0,0,1,682.29,1960,1960,4,1,55,5,0.02338,0.11043,71385,7883,337218,1315304,18.43,18.53
GRD,0,0,0,0,1,682.29,1960,1960,4,1,60,5,0.0379,0.1731,63502,10992,290030,978086,15.4,15.49
GRD,0,0,0,0,1,682.29,1960,1960,4,1,65,5,0.03888,0.17719,52510,9304,239290,688056,13.1,13.21
GRD,0,0,0,0,1,682.29,1960,1960,4,1,70,5,0.06159,0.26686,43206,11530,187205,448766,10.39,10.51
GRD,0,0,0,0,1,682.29,1960,1960,4,1,75,5,0.05679,0.24864,31676,7876,138690,261561,8.26,8.43
GRD,0,0,0,0,1,682.29,1960,1960,4,1,80,5,0.15736,0.56466,23800,13439,85402,122871,5.16,5.38
GRD,0,0,0,0,1,682.29,1960,1960,4,1,85,99,0.27653,1,10361,10361,37469,37469,3.62,4.12
GRD,0,0,0,0,1,682.29,1960,1960,4,2,0,1,0.07363,0.06982,100000,6982,94830,6475214,64.75,65.05
GRD,0,0,0,0,1,682.29,1960,1960,4,2,1,4,0.01171,0.04544,93018,4227,361126,6380384,68.59,68.91
GRD,0,0,0,0,1,682.29,1960,1960,4,2,5,5,2e-04,0.00098,88791,87,443738,6019258,67.79,68.13
GRD,0,0,0,0,1,682.29,1960,1960,4,2,10,5,0.00038,0.00189,88704,168,443100,5575521,62.86,63.19
GRD,0,0,0,0,1,682.29,1960,1960,4,2,15,5,0.001,0.00497,88536,440,441580,5132421,57.97,58.31
GRD,0,0,0,0,1,682.29,1960,1960,4,2,20,5,0.00228,0.01132,88096,997,437988,4690841,53.25,53.58
GRD,0,0,0,0,1,682.29,1960,1960,4,2,25,5,0.00267,0.01327,87099,1156,432605,4252853,48.83,49.17
GRD,0,0,0,0,1,682.29,1960,1960,4,2,30,5,0.0025,0.01242,85943,1067,427048,3820248,44.45,44.8
GRD,0,0,0,0,1,682.29,1960,1960,4,2,35,5,0.00314,0.01558,84876,1322,421075,3393201,39.98,40.33
GRD,0,0,0,0,1,682.29,1960,1960,4,2,40,5,0.00306,0.01518,83554,1268,414600,2972126,35.57,35.92
GRD,0,0,0,0,1,682.29,1960,1960,4,2,45,5,0.00315,0.01562,82286,1285,408218,2557526,31.08,31.44
GRD,0,0,0,0,1,682.29,1960,1960,4,2,50,5,0.00789,0.03867,81001,3132,397175,2149308,26.53,26.89
GRD,0,0,0,0,1,682.29,1960,1960,4,2,55,5,0.01349,0.06524,77869,5080,376645,1752133,22.5,22.87
GRD,0,0,0,0,1,682.29,1960,1960,4,2,60,5,0.01839,0.08791,72789,6399,347948,1375488,18.9,19.28
GRD,0,0,0,0,1,682.29,1960,1960,4,2,65,5,0.02678,0.12552,66390,8333,311118,1027541,15.48,15.88
GRD,0,0,0,0,1,682.29,1960,1960,4,2,70,5,0.03225,0.14923,58057,8664,268625,716423,12.34,12.8
GRD,0,0,0,0,1,682.29,1960,1960,4,2,75,5,0.05539,0.24327,49393,12016,216925,447798,9.07,9.59
GRD,0,0,0,0,1,682.29,1960,1960,4,2,80,5,0.11038,0.43254,37377,16167,146468,230873,6.18,6.82
GRD,0,0,0,0,1,682.29,1960,1960,4,2,85,99,0.25129,1,21210,21210,84406,84406,3.98,5.12
