Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,0,1,0.01234,0.0122,100000,1220,98886,6866420,68.66,69.65
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,1,1,0.0066,0.00658,98780,650,98455,6767534,68.51,69.51
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,2,1,0.00102,0.00102,98130,100,98080,6669079,67.96,68.96
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,3,1,0.00041,0.00041,98030,40,98010,6570999,67.03,68.02
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,4,1,0,0,97990,0,97990,6472989,66.06,67.05
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,5,1,0.00051,0.00051,97990,50,97965,6374999,65.06,66.05
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,6,1,0.00051,0.00051,97940,50,97915,6277034,64.09,65.09
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,7,1,0,0,97890,0,97890,6179119,63.12,64.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,8,1,0,0,97890,0,97890,6081229,62.12,63.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,9,1,0,0,97890,0,97890,5983339,61.12,62.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,10,1,0,0,97890,0,97890,5885449,60.12,61.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,11,1,0,0,97890,0,97890,5787559,59.12,60.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,12,1,0,0,97890,0,97890,5689669,58.12,59.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,13,1,0.00041,0.00041,97890,40,97870,5591779,57.12,58.12
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,14,1,0.00051,0.00051,97850,50,97825,5493909,56.15,57.14
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,15,1,0.00041,0.00041,97800,40,97780,5396084,55.17,56.17
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,16,1,0.00051,0.00051,97760,50,97735,5298304,54.2,55.19
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,17,1,0.00154,0.00154,97710,150,97635,5200569,53.22,54.22
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,18,1,0.00442,0.00441,97560,430,97345,5102934,52.31,53.3
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,19,1,0.00547,0.00546,97130,530,96865,5005589,51.53,52.53
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,20,1,0.00488,0.00487,96600,470,96365,4908724,50.81,51.81
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,21,1,0.00386,0.00385,96130,370,95945,4812359,50.06,51.06
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,22,1,0.00419,0.00418,95760,400,95560,4716414,49.25,50.25
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,23,1,0.00431,0.0043,95360,410,95155,4620854,48.46,49.45
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,24,1,0.00348,0.00348,94950,330,94785,4525699,47.66,48.66
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,25,1,0.00455,0.00454,94620,430,94405,4430914,46.83,47.83
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,26,1,0.00319,0.00319,94190,300,94040,4336509,46.04,47.04
GRL,0,0,0,0,1,1859.08,2011,2015,1,1,27,1,0.00181,0.00181,93890,170,93805,4242469,45.19,46.18
