Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,0,1,0.03261,0.03173,100000,3173,97288,6814681,68.15,68.16
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,1,4,0.00171,0.00683,96827,661,385693,6717394,69.38,69.38
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,5,5,0.00056,0.00279,96166,268,480160,6331700,65.84,65.84
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,10,5,0.00073,0.00366,95898,351,478612,5851540,61.02,61.02
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,15,5,0.00176,0.00876,95547,837,475642,5372928,56.23,56.24
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,20,5,0.00325,0.0161,94710,1525,469738,4897285,51.71,51.71
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,25,5,0.00445,0.02202,93185,2052,460795,4427548,47.51,47.52
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,30,5,0.00516,0.02546,91133,2320,449865,3966753,43.53,43.53
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,35,5,0.00556,0.02744,88813,2437,437972,3516888,39.6,39.6
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,40,5,0.00603,0.02971,86376,2566,425465,3078915,35.65,35.65
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,45,5,0.00692,0.03402,83810,2851,411922,2653450,31.66,31.66
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,50,5,0.00859,0.04203,80959,3403,396288,2241528,27.69,27.69
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,55,5,0.01142,0.05553,77556,4307,377012,1845240,23.79,23.8
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,60,5,0.01644,0.07896,73249,5784,351785,1468228,20.04,20.05
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,65,5,0.02237,0.10592,67465,7146,319460,1116443,16.55,16.55
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,70,5,0.03231,0.14947,60319,9016,279055,796983,13.21,13.22
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,75,5,0.05419,0.23862,51303,12242,225910,517928,10.1,10.1
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,80,5,0.0925,0.37564,39061,14673,158622,292018,7.48,7.48
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,85,5,0.15109,0.54834,24388,13373,88508,133395,5.47,5.48
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,90,5,0.22465,0.71929,11015,7923,35268,44888,4.08,4.1
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,95,5,0.29522,0.84929,3092,2626,8895,9620,3.11,3.19
GTM,0,0,0,0,1,4000.7,2010,2010,4,1,100,99,0.64248,1,466,466,725,725,1.56,2.1
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,0,1,0.02724,0.02661,100000,2661,97684,7472389,74.72,74.74
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,1,4,0.00163,0.00649,97339,632,387764,7374705,75.76,75.77
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,5,5,0.00047,0.00236,96707,228,482965,6986941,72.25,72.26
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,10,5,0.00048,0.00239,96479,231,481818,6503976,67.41,67.42
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,15,5,0.00079,0.00393,96248,378,480295,6022158,62.57,62.58
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,20,5,0.00114,0.0057,95870,546,477985,5541863,57.81,57.81
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,25,5,0.00142,0.00709,95324,676,474930,5063878,53.12,53.13
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,30,5,0.0017,0.00844,94648,799,471242,4588948,48.48,48.49
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,35,5,0.00207,0.01028,93849,965,466832,4117706,43.88,43.88
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,40,5,0.00269,0.01335,92884,1240,461320,3650873,39.31,39.31
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,45,5,0.00371,0.01838,91644,1684,454010,3189553,34.8,34.81
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,50,5,0.00536,0.02645,89960,2379,443852,2735543,30.41,30.42
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,55,5,0.00795,0.03898,87581,3414,429370,2291691,26.17,26.17
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,60,5,0.01186,0.0576,84167,4848,408715,1862321,22.13,22.13
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,65,5,0.01619,0.07779,79319,6170,381170,1453606,18.33,18.33
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,70,5,0.02406,0.11347,73149,8300,344995,1072436,14.66,14.67
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,75,5,0.04317,0.19481,64849,12633,292662,727441,11.22,11.23
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,80,5,0.07756,0.3248,52216,16960,218680,434778,8.33,8.34
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,85,5,0.1275,0.48341,35256,17043,133672,216098,6.13,6.15
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,90,5,0.19452,0.65437,18213,11918,61270,82426,4.53,4.56
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,95,5,0.26667,0.8,6295,5036,18885,21156,3.36,3.46
GTM,0,0,0,0,1,4000.7,2010,2010,4,2,100,99,0.55439,1,1259,1259,2271,2271,1.8,2.3
