Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GUF,0,0,0,0,1,682.25,1961,1961,4,1,0,1,0.06955,0.06609,100000,6609,95032,5430930,54.31,54.31
GUF,0,0,0,0,1,682.25,1961,1961,4,1,1,4,0.0121,0.04696,93391,4386,362397,5335898,57.14,57.13
GUF,0,0,0,0,1,682.25,1961,1961,4,1,5,5,0.00129,0.00644,89005,573,443592,4973502,55.88,55.88
GUF,0,0,0,0,1,682.25,1961,1961,4,1,10,5,0.00062,0.00309,88432,273,441478,4529909,51.22,51.22
GUF,0,0,0,0,1,682.25,1961,1961,4,1,15,5,0.00268,0.01333,88159,1175,437858,4088432,46.38,46.37
GUF,0,0,0,0,1,682.25,1961,1961,4,1,20,5,0.00217,0.01078,86984,938,432575,3650574,41.97,41.96
GUF,0,0,0,0,1,682.25,1961,1961,4,1,25,5,0.00478,0.02364,86046,2034,425145,3217999,37.4,37.39
GUF,0,0,0,0,1,682.25,1961,1961,4,1,30,5,0.00349,0.01731,84012,1454,416425,2792854,33.24,33.24
GUF,0,0,0,0,1,682.25,1961,1961,4,1,35,5,0.00957,0.04672,82558,3857,403148,2376429,28.78,28.77
GUF,0,0,0,0,1,682.25,1961,1961,4,1,40,5,0.00923,0.04509,78701,3549,384632,1973282,25.07,25.06
GUF,0,0,0,0,1,682.25,1961,1961,4,1,45,5,0.01433,0.06919,75152,5200,362760,1588649,21.14,21.12
GUF,0,0,0,0,1,682.25,1961,1961,4,1,50,5,0.02083,0.099,69952,6925,332448,1225889,17.52,17.49
GUF,0,0,0,0,1,682.25,1961,1961,4,1,55,5,0.02294,0.10848,63027,6837,298042,893442,14.18,14.13
GUF,0,0,0,0,1,682.25,1961,1961,4,1,60,5,0.05997,0.26076,56190,14652,244320,595399,10.6,10.52
GUF,0,0,0,0,1,682.25,1961,1961,4,1,65,5,0.09055,0.36918,41538,15335,169352,351079,8.45,8.3
GUF,0,0,0,0,1,682.25,1961,1961,4,1,70,5,0.11876,0.45785,26203,11997,101022,181727,6.94,6.72
GUF,0,0,0,0,1,682.25,1961,1961,4,1,75,5,0.15073,0.54737,14206,7776,51590,80704,5.68,5.4
GUF,0,0,0,0,1,682.25,1961,1961,4,1,80,5,0.19932,0.66516,6430,4277,21458,29114,4.53,4.16
GUF,0,0,0,0,1,682.25,1961,1961,4,1,85,99,0.28119,1,2153,2153,7657,7657,3.56,2.99
GUF,0,0,0,0,1,682.25,1961,1961,4,2,0,1,0.07278,0.06905,100000,6905,94871,6148277,61.48,61.52
GUF,0,0,0,0,1,682.25,1961,1961,4,2,1,4,0.00609,0.024,93095,2234,366598,6053407,65.02,65.06
GUF,0,0,0,0,1,682.25,1961,1961,4,2,5,5,0.00174,0.00866,90861,787,452338,5686809,62.59,62.63
GUF,0,0,0,0,1,682.25,1961,1961,4,2,10,5,0.00118,0.00588,90074,530,449045,5234472,58.11,58.16
GUF,0,0,0,0,1,682.25,1961,1961,4,2,15,5,0.00254,0.0126,89544,1128,444900,4785427,53.44,53.49
GUF,0,0,0,0,1,682.25,1961,1961,4,2,20,5,0.00094,0.00469,88416,415,441042,4340527,49.09,49.14
GUF,0,0,0,0,1,682.25,1961,1961,4,2,25,5,0.0038,0.01881,88001,1655,435868,3899484,44.31,44.36
GUF,0,0,0,0,1,682.25,1961,1961,4,2,30,5,0.00881,0.04309,86346,3721,422428,3463617,40.11,40.15
GUF,0,0,0,0,1,682.25,1961,1961,4,2,35,5,0.00095,0.00473,82625,391,412148,3041189,36.81,36.85
GUF,0,0,0,0,1,682.25,1961,1961,4,2,40,5,0.00641,0.03157,82234,2596,404680,2629042,31.97,32.02
GUF,0,0,0,0,1,682.25,1961,1961,4,2,45,5,0.00973,0.04749,79638,3782,388735,2224362,27.93,27.97
GUF,0,0,0,0,1,682.25,1961,1961,4,2,50,5,0.00993,0.04846,75856,3676,370090,1835627,24.2,24.24
GUF,0,0,0,0,1,682.25,1961,1961,4,2,55,5,0.02005,0.09546,72180,6890,343675,1465537,20.3,20.33
GUF,0,0,0,0,1,682.25,1961,1961,4,2,60,5,0.01743,0.0835,65290,5452,312820,1121862,17.18,17.21
GUF,0,0,0,0,1,682.25,1961,1961,4,2,65,5,0.03429,0.15789,59838,9448,275570,809042,13.52,13.54
GUF,0,0,0,0,1,682.25,1961,1961,4,2,70,5,0.05058,0.22451,50390,11313,223668,533472,10.59,10.59
GUF,0,0,0,0,1,682.25,1961,1961,4,2,75,5,0.08107,0.33705,39077,13171,162458,309804,7.93,7.91
GUF,0,0,0,0,1,682.25,1961,1961,4,2,80,5,0.1362,0.50803,25906,13161,96628,147347,5.69,5.65
GUF,0,0,0,0,1,682.25,1961,1961,4,2,85,99,0.25129,1,12745,12745,50719,50719,3.98,3.98
