Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,0,1,0.0401,0.0388,100000,3880,96766,6328353,63.28,63.29
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,1,1,0.00429,0.00428,96120,411,95914,6231587,64.83,64.83
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,2,1,0.00067,0.00067,95709,64,95677,6135673,64.11,64.11
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,3,1,0.00025,0.00025,95645,24,95633,6039996,63.15,63.15
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,4,1,0.00021,0.00021,95621,20,95611,5944363,62.17,62.17
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,5,1,0.00022,0.00022,95601,21,95590,5848752,61.18,61.18
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,6,1,0.00023,0.00023,95580,22,95569,5753161,60.19,60.19
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,7,1,0.00026,0.00026,95558,25,95546,5657592,59.21,59.21
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,8,1,0.00028,0.00028,95533,27,95520,5562047,58.22,58.22
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,9,1,0.00032,0.00032,95506,31,95490,5466527,57.24,57.24
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,10,1,0.00037,0.00037,95475,35,95458,5371037,56.26,56.26
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,11,1,0.00044,0.00044,95440,42,95419,5275579,55.28,55.28
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,12,1,5e-04,5e-04,95398,48,95374,5180160,54.3,54.3
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,13,1,0.00061,0.00061,95350,58,95321,5084786,53.33,53.33
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,14,1,0.00072,0.00072,95292,69,95258,4989465,52.36,52.36
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,15,1,0.00087,0.00087,95223,83,95182,4894208,51.4,51.4
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,16,1,0.00102,0.00102,95140,97,95092,4799026,50.44,50.44
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,17,1,0.00121,0.00121,95043,115,94986,4703935,49.49,49.49
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,18,1,0.0014,0.0014,94928,133,94862,4608949,48.55,48.55
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,19,1,0.00163,0.00162,94795,154,94718,4514088,47.62,47.62
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,20,1,0.00185,0.00185,94641,175,94554,4419370,46.7,46.7
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,21,1,0.00209,0.00209,94466,197,94368,4324816,45.78,45.78
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,22,1,0.00234,0.00233,94269,220,94159,4230449,44.88,44.88
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,23,1,0.00261,0.00261,94049,245,93926,4136290,43.98,43.98
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,24,1,0.00286,0.00286,93804,268,93670,4042363,43.09,43.09
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,25,1,0.00313,0.00312,93536,292,93390,3948693,42.22,42.22
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,26,1,0.00339,0.00339,93244,316,93086,3855303,41.35,41.35
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,27,1,0.00367,0.00366,92928,340,92758,3762217,40.49,40.49
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,28,1,0.00394,0.00393,92588,364,92406,3669459,39.63,39.63
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,29,1,0.00421,0.0042,92224,387,92030,3577053,38.79,38.79
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,30,1,0.00447,0.00446,91837,410,91632,3485023,37.95,37.95
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,31,1,0.00475,0.00474,91427,433,91210,3393391,37.12,37.12
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,32,1,0.00502,0.00501,90994,456,90766,3302180,36.29,36.29
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,33,1,0.00529,0.00528,90538,478,90299,3211414,35.47,35.47
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,34,1,0.00558,0.00556,90060,501,89810,3121115,34.66,34.66
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,35,1,0.00587,0.00585,89559,524,89297,3031306,33.85,33.85
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,36,1,0.00615,0.00613,89035,546,88762,2942009,33.04,33.04
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,37,1,0.00646,0.00644,88489,570,88204,2853247,32.24,32.24
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,38,1,0.00677,0.00674,87919,593,87622,2765043,31.45,31.45
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,39,1,0.00711,0.00709,87326,619,87016,2677420,30.66,30.66
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,40,1,0.00744,0.00742,86707,643,86386,2590404,29.88,29.88
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,41,1,0.00783,0.0078,86064,671,85728,2504018,29.09,29.1
GUY,0,0,0,0,1,1454.1,2004,2004,1,1,42,1,0.00821,0.00817,85393,698,85044,2418290,28.32,28.32
