Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
HKG,0,0,0,0,1,454.48,2018,2018,1,1,0,1,0.00142,0.00142,100000,142,99866,8209752,82.1,82.17
HKG,0,0,0,0,1,454.48,2018,2018,1,1,1,1,0.00019,0.00019,99858,19,99848,8109887,81.21,81.28
HKG,0,0,0,0,1,454.48,2018,2018,1,1,2,1,0.00015,0.00015,99839,15,99832,8010038,80.23,80.3
HKG,0,0,0,0,1,454.48,2018,2018,1,1,3,1,0.00011,0.00011,99824,11,99818,7910207,79.24,79.31
HKG,0,0,0,0,1,454.48,2018,2018,1,1,4,1,9e-05,9e-05,99813,9,99808,7810388,78.25,78.32
HKG,0,0,0,0,1,454.48,2018,2018,1,1,5,1,7e-05,7e-05,99804,7,99800,7710580,77.26,77.33
HKG,0,0,0,0,1,454.48,2018,2018,1,1,6,1,6e-05,6e-05,99797,6,99794,7610779,76.26,76.33
HKG,0,0,0,0,1,454.48,2018,2018,1,1,7,1,5e-05,5e-05,99791,5,99788,7510985,75.27,75.34
HKG,0,0,0,0,1,454.48,2018,2018,1,1,8,1,5e-05,5e-05,99786,5,99784,7411197,74.27,74.34
HKG,0,0,0,0,1,454.48,2018,2018,1,1,9,1,5e-05,5e-05,99781,5,99778,7311413,73.27,73.34
HKG,0,0,0,0,1,454.48,2018,2018,1,1,10,1,7e-05,7e-05,99776,7,99772,7211635,72.28,72.35
HKG,0,0,0,0,1,454.48,2018,2018,1,1,11,1,8e-05,8e-05,99769,8,99765,7111862,71.28,71.35
HKG,0,0,0,0,1,454.48,2018,2018,1,1,12,1,0.00011,0.00011,99761,11,99756,7012097,70.29,70.36
HKG,0,0,0,0,1,454.48,2018,2018,1,1,13,1,0.00014,0.00014,99750,14,99743,6912342,69.3,69.37
HKG,0,0,0,0,1,454.48,2018,2018,1,1,14,1,0.00016,0.00016,99736,16,99728,6812599,68.31,68.38
HKG,0,0,0,0,1,454.48,2018,2018,1,1,15,1,0.00021,0.00021,99720,21,99710,6712871,67.32,67.39
HKG,0,0,0,0,1,454.48,2018,2018,1,1,16,1,0.00024,0.00024,99699,24,99687,6613161,66.33,66.4
HKG,0,0,0,0,1,454.48,2018,2018,1,1,17,1,0.00028,0.00028,99675,28,99661,6513474,65.35,65.42
HKG,0,0,0,0,1,454.48,2018,2018,1,1,18,1,0.00032,0.00032,99647,32,99631,6413813,64.37,64.43
HKG,0,0,0,0,1,454.48,2018,2018,1,1,19,1,0.00037,0.00037,99615,37,99596,6314182,63.39,63.46
HKG,0,0,0,0,1,454.48,2018,2018,1,1,20,1,4e-04,4e-04,99578,40,99558,6214586,62.41,62.48
HKG,0,0,0,0,1,454.48,2018,2018,1,1,21,1,0.00043,0.00043,99538,43,99516,6115028,61.43,61.5
HKG,0,0,0,0,1,454.48,2018,2018,1,1,22,1,0.00046,0.00046,99495,46,99472,6015511,60.46,60.53
HKG,0,0,0,0,1,454.48,2018,2018,1,1,23,1,0.00048,0.00048,99449,48,99425,5916039,59.49,59.56
HKG,0,0,0,0,1,454.48,2018,2018,1,1,24,1,5e-04,5e-04,99401,50,99376,5816614,58.52,58.59
HKG,0,0,0,0,1,454.48,2018,2018,1,1,25,1,0.00051,0.00051,99351,51,99326,5717238,57.55,57.62
HKG,0,0,0,0,1,454.48,2018,2018,1,1,26,1,0.00052,0.00052,99300,52,99274,5617913,56.58,56.64
HKG,0,0,0,0,1,454.48,2018,2018,1,1,27,1,0.00053,0.00053,99248,53,99222,5518639,55.6,55.67
HKG,0,0,0,0,1,454.48,2018,2018,1,1,28,1,0.00056,0.00056,99195,56,99167,5419417,54.63,54.7
HKG,0,0,0,0,1,454.48,2018,2018,1,1,29,1,0.00058,0.00057,99139,57,99110,5320250,53.66,53.73
HKG,0,0,0,0,1,454.48,2018,2018,1,1,30,1,6e-04,6e-04,99082,59,99052,5221140,52.7,52.76
HKG,0,0,0,0,1,454.48,2018,2018,1,1,31,1,0.00063,0.00063,99023,62,98992,5122087,51.73,51.8
HKG,0,0,0,0,1,454.48,2018,2018,1,1,32,1,0.00064,0.00064,98961,63,98930,5023095,50.76,50.83
HKG,0,0,0,0,1,454.48,2018,2018,1,1,33,1,0.00067,0.00067,98898,66,98865,4924166,49.79,49.86
HKG,0,0,0,0,1,454.48,2018,2018,1,1,34,1,0.00068,0.00068,98832,67,98798,4825301,48.82,48.89
HKG,0,0,0,0,1,454.48,2018,2018,1,1,35,1,0.00073,0.00073,98765,72,98729,4726502,47.86,47.93
HKG,0,0,0,0,1,454.48,2018,2018,1,1,36,1,0.00079,0.00079,98693,78,98654,4627773,46.89,46.96
HKG,0,0,0,0,1,454.48,2018,2018,1,1,37,1,0.00087,0.00087,98615,86,98572,4529119,45.93,46
HKG,0,0,0,0,1,454.48,2018,2018,1,1,38,1,0.001,0.00099,98529,98,98480,4430547,44.97,45.04
HKG,0,0,0,0,1,454.48,2018,2018,1,1,39,1,0.00112,0.00112,98431,110,98376,4332067,44.01,44.08
HKG,0,0,0,0,1,454.48,2018,2018,1,1,40,1,0.00127,0.00127,98321,125,98258,4233691,43.06,43.13
HKG,0,0,0,0,1,454.48,2018,2018,1,1,41,1,0.0014,0.0014,98196,137,98128,4135433,42.11,42.18
HKG,0,0,0,0,1,454.48,2018,2018,1,1,42,1,0.00152,0.00152,98059,149,97984,4037305,41.17,41.24
HKG,0,0,0,0,1,454.48,2018,2018,1,1,43,1,0.00162,0.00161,97910,158,97831,3939321,40.23,40.3
HKG,0,0,0,0,1,454.48,2018,2018,1,1,44,1,0.00171,0.00171,97752,167,97668,3841490,39.3,39.37
HKG,0,0,0,0,1,454.48,2018,2018,1,1,45,1,0.00179,0.00179,97585,175,97498,3743821,38.36,38.44
HKG,0,0,0,0,1,454.48,2018,2018,1,1,46,1,0.00189,0.00189,97410,184,97318,3646324,37.43,37.5
HKG,0,0,0,0,1,454.48,2018,2018,1,1,47,1,0.00204,0.00204,97226,198,97127,3549006,36.5,36.57
HKG,0,0,0,0,1,454.48,2018,2018,1,1,48,1,0.0022,0.0022,97028,213,96922,3451879,35.58,35.65
HKG,0,0,0,0,1,454.48,2018,2018,1,1,49,1,0.00242,0.00242,96815,234,96698,3354957,34.65,34.72
HKG,0,0,0,0,1,454.48,2018,2018,1,1,50,1,0.00264,0.00264,96581,255,96454,3258259,33.74,33.81
HKG,0,0,0,0,1,454.48,2018,2018,1,1,51,1,0.00289,0.00289,96326,278,96187,3161806,32.82,32.9
HKG,0,0,0,0,1,454.48,2018,2018,1,1,52,1,0.00315,0.00314,96048,302,95897,3065619,31.92,31.99
