Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
HND,0,0,0,0,1,4000.84,2010,2010,4,1,0,1,0.03372,0.03278,100000,3278,97208,6994727,69.95,69.98
HND,0,0,0,0,1,4000.84,2010,2010,4,1,1,4,0.00352,0.01395,96722,1349,383589,6897519,71.31,71.33
HND,0,0,0,0,1,4000.84,2010,2010,4,1,5,5,0.00105,0.00523,95373,499,475618,6513930,68.3,68.31
HND,0,0,0,0,1,4000.84,2010,2010,4,1,10,5,0.00084,0.00421,94874,399,473372,6038312,63.65,63.66
HND,0,0,0,0,1,4000.84,2010,2010,4,1,15,5,0.00127,0.00633,94475,598,470880,5564940,58.9,58.92
HND,0,0,0,0,1,4000.84,2010,2010,4,1,20,5,0.00193,0.0096,93877,901,467132,5094060,54.26,54.28
HND,0,0,0,0,1,4000.84,2010,2010,4,1,25,5,0.00258,0.01281,92976,1191,461902,4626927,49.76,49.78
HND,0,0,0,0,1,4000.84,2010,2010,4,1,30,5,0.00315,0.01565,91785,1436,455335,4165025,45.38,45.39
HND,0,0,0,0,1,4000.84,2010,2010,4,1,35,5,0.00372,0.01844,90349,1666,447580,3709690,41.06,41.07
HND,0,0,0,0,1,4000.84,2010,2010,4,1,40,5,0.00444,0.02195,88683,1947,438548,3262110,36.78,36.8
HND,0,0,0,0,1,4000.84,2010,2010,4,1,45,5,0.00552,0.02722,86736,2361,427778,2823562,32.55,32.57
HND,0,0,0,0,1,4000.84,2010,2010,4,1,50,5,0.00727,0.03572,84375,3014,414340,2395785,28.39,28.41
HND,0,0,0,0,1,4000.84,2010,2010,4,1,55,5,0.01017,0.04957,81361,4033,396722,1981445,24.35,24.37
HND,0,0,0,0,1,4000.84,2010,2010,4,1,60,5,0.01489,0.07179,77328,5551,372762,1584722,20.49,20.51
HND,0,0,0,0,1,4000.84,2010,2010,4,1,65,5,0.0225,0.10652,71777,7646,339770,1211960,16.89,16.9
HND,0,0,0,0,1,4000.84,2010,2010,4,1,70,5,0.03462,0.15933,64131,10218,295110,872190,13.6,13.62
HND,0,0,0,0,1,4000.84,2010,2010,4,1,75,5,0.05364,0.23647,53913,12749,237692,577080,10.7,10.73
HND,0,0,0,0,1,4000.84,2010,2010,4,1,80,5,0.08278,0.34292,41164,14116,170530,339387,8.24,8.28
HND,0,0,0,0,1,4000.84,2010,2010,4,1,85,5,0.1257,0.47822,27048,12935,102902,168857,6.24,6.29
HND,0,0,0,0,1,4000.84,2010,2010,4,1,90,5,0.18436,0.63098,14113,8905,48302,65955,4.67,4.77
HND,0,0,0,0,1,4000.84,2010,2010,4,1,95,5,0.25613,0.78072,5208,4066,15875,17652,3.39,3.64
