Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,0,1,0.05175,0.04969,100000,4969,96020,5984505,59.85,59.88
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,1,4,0.00837,0.03279,95031,3116,372344,5888485,61.96,61.98
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,5,5,0.00312,0.01547,91915,1422,456020,5516140,60.01,60.01
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,10,5,0.00236,0.01174,90493,1062,449810,5060120,55.92,55.92
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,15,5,0.00319,0.0158,89431,1413,443622,4610310,51.55,51.55
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,20,5,0.00456,0.02254,88018,1984,435130,4166688,47.34,47.34
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,25,5,0.00481,0.02378,86034,2046,425055,3731558,43.37,43.37
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,30,5,0.0052,0.02565,83988,2154,414555,3306503,39.37,39.37
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,35,5,0.0059,0.02906,81834,2378,403225,2891948,35.34,35.34
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,40,5,0.00822,0.04029,79456,3201,389278,2488723,31.32,31.32
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,45,5,0.00895,0.04379,76255,3339,372928,2099445,27.53,27.53
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,50,5,0.01217,0.05905,72916,4306,353815,1726518,23.68,23.68
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,55,5,0.01622,0.07793,68610,5347,329682,1372703,20.01,20.01
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,60,5,0.02382,0.1124,63263,7111,298538,1043020,16.49,16.49
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,65,5,0.03575,0.16407,56152,9213,257728,744483,13.26,13.26
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,70,5,0.05545,0.24349,46939,11429,206122,486755,10.37,10.37
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,75,5,0.08459,0.34911,35510,12397,146558,280633,7.9,7.91
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,80,5,0.14416,0.52983,23113,12246,84950,134075,5.8,5.81
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,85,5,0.20528,0.67829,10867,7371,35908,49125,4.52,4.53
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,90,5,0.25163,0.77231,3496,2700,10730,13218,3.78,3.82
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,95,5,0.29067,0.84171,796,670,2305,2488,3.13,3.28
HTI,0,0,0,0,1,4000.77,2010,2010,4,1,100,99,0.68906,1,126,126,183,183,1.45,2.4
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,0,1,0.04373,0.04221,100000,4221,96525,6336866,63.37,63.4
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,1,4,0.00794,0.03114,95779,2983,375525,6240342,65.15,65.17
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,5,5,0.00278,0.01378,92796,1279,460782,5864816,63.2,63.2
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,10,5,0.00213,0.01058,91517,968,455165,5404034,59.05,59.05
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,15,5,0.00267,0.01326,90549,1201,449742,4948869,54.65,54.66
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,20,5,0.00325,0.01613,89348,1441,443138,4499126,50.36,50.36
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,25,5,0.0038,0.01884,87907,1656,435395,4055989,46.14,46.14
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,30,5,0.00435,0.02151,86251,1855,426618,3620594,41.98,41.98
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,35,5,0.00501,0.02474,84396,2088,416760,3193976,37.85,37.85
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,40,5,0.00597,0.02939,82308,2419,405492,2777216,33.74,33.74
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,45,5,0.00682,0.03352,79889,2678,392750,2371724,29.69,29.69
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,50,5,0.00904,0.0442,77211,3413,377522,1978974,25.63,25.63
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,55,5,0.01226,0.05946,73798,4388,358020,1601451,21.7,21.7
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,60,5,0.01852,0.08852,69410,6144,331690,1243431,17.91,17.92
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,65,5,0.0291,0.13565,63266,8582,294875,911741,14.41,14.41
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,70,5,0.04641,0.20792,54684,11370,244995,616866,11.28,11.28
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,75,5,0.0724,0.30651,43314,13276,183380,371871,8.59,8.59
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,80,5,0.12763,0.48379,30038,14532,113860,188491,6.28,6.28
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,85,5,0.18738,0.63801,15506,9893,52798,74631,4.81,4.83
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,90,5,0.2436,0.75699,5613,4249,17442,21834,3.89,3.93
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,95,5,0.282,0.82698,1364,1128,4000,4391,3.22,3.37
HTI,0,0,0,0,1,4000.77,2010,2010,4,2,100,99,0.60308,1,236,236,391,391,1.66,2.5
