Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
HUN,,0,0,0,1,3690.15,2018,2018,1,1,0,1,0.00343,0.00342,100000,342,99679,7256267,72.56,72.56
HUN,,0,0,0,1,3690.15,2018,2018,1,1,1,1,0.00029,0.00029,99658,29,99644,7156588,71.81,71.81
HUN,,0,0,0,1,3690.15,2018,2018,1,1,2,1,0.00031,0.00031,99629,31,99614,7056945,70.83,70.83
HUN,,0,0,0,1,3690.15,2018,2018,1,1,3,1,0.00011,0.00011,99598,11,99592,6957331,69.85,69.85
HUN,,0,0,0,1,3690.15,2018,2018,1,1,4,1,0.00018,0.00018,99587,18,99578,6857739,68.86,68.86
HUN,,0,0,0,1,3690.15,2018,2018,1,1,5,1,6e-05,6e-05,99569,6,99566,6758161,67.87,67.87
HUN,,0,0,0,1,3690.15,2018,2018,1,1,6,1,3e-05,3e-05,99563,3,99562,6658595,66.88,66.88
HUN,,0,0,0,1,3690.15,2018,2018,1,1,7,1,4e-05,4e-05,99560,4,99558,6559033,65.88,65.88
HUN,,0,0,0,1,3690.15,2018,2018,1,1,8,1,7e-05,7e-05,99556,7,99552,6459475,64.88,64.88
HUN,,0,0,0,1,3690.15,2018,2018,1,1,9,1,9e-05,9e-05,99549,9,99544,6359923,63.89,63.89
HUN,,0,0,0,1,3690.15,2018,2018,1,1,10,1,9e-05,9e-05,99540,9,99536,6260378,62.89,62.89
HUN,,0,0,0,1,3690.15,2018,2018,1,1,11,1,8e-05,8e-05,99531,8,99527,6160843,61.9,61.9
HUN,,0,0,0,1,3690.15,2018,2018,1,1,12,1,8e-05,8e-05,99523,8,99519,6061316,60.9,60.9
HUN,,0,0,0,1,3690.15,2018,2018,1,1,13,1,9e-05,9e-05,99515,9,99510,5961797,59.91,59.91
HUN,,0,0,0,1,3690.15,2018,2018,1,1,14,1,0.00018,0.00018,99506,18,99497,5862286,58.91,58.91
HUN,,0,0,0,1,3690.15,2018,2018,1,1,15,1,0.00019,0.00019,99488,19,99478,5762789,57.92,57.92
HUN,,0,0,0,1,3690.15,2018,2018,1,1,16,1,0.00025,0.00025,99469,25,99456,5663311,56.94,56.94
HUN,,0,0,0,1,3690.15,2018,2018,1,1,17,1,0.00032,0.00032,99444,32,99428,5563854,55.95,55.95
HUN,,0,0,0,1,3690.15,2018,2018,1,1,18,1,4e-04,4e-04,99412,40,99392,5464426,54.97,54.97
HUN,,0,0,0,1,3690.15,2018,2018,1,1,19,1,0.00047,0.00047,99372,47,99348,5365034,53.99,53.99
HUN,,0,0,0,1,3690.15,2018,2018,1,1,20,1,0.00053,0.00053,99325,53,99298,5265686,53.01,53.01
HUN,,0,0,0,1,3690.15,2018,2018,1,1,21,1,0.00055,0.00055,99272,55,99244,5166387,52.04,52.04
HUN,,0,0,0,1,3690.15,2018,2018,1,1,22,1,0.00055,0.00055,99217,55,99190,5067143,51.07,51.07
HUN,,0,0,0,1,3690.15,2018,2018,1,1,23,1,0.00056,0.00056,99162,56,99134,4967953,50.1,50.1
HUN,,0,0,0,1,3690.15,2018,2018,1,1,24,1,0.00058,0.00058,99106,57,99078,4868819,49.13,49.13
HUN,,0,0,0,1,3690.15,2018,2018,1,1,25,1,6e-04,6e-04,99049,59,99020,4769742,48.16,48.16
HUN,,0,0,0,1,3690.15,2018,2018,1,1,26,1,0.00065,0.00065,98990,64,98958,4670722,47.18,47.18
HUN,,0,0,0,1,3690.15,2018,2018,1,1,27,1,0.00071,0.00071,98926,70,98891,4571764,46.21,46.21
HUN,,0,0,0,1,3690.15,2018,2018,1,1,28,1,0.00078,0.00078,98856,77,98818,4472873,45.25,45.25
HUN,,0,0,0,1,3690.15,2018,2018,1,1,29,1,0.00086,0.00086,98779,85,98736,4374056,44.28,44.28
HUN,,0,0,0,1,3690.15,2018,2018,1,1,30,1,0.00092,0.00092,98694,91,98648,4275319,43.32,43.32
HUN,,0,0,0,1,3690.15,2018,2018,1,1,31,1,0.00097,0.00097,98603,96,98555,4176671,42.36,42.36
HUN,,0,0,0,1,3690.15,2018,2018,1,1,32,1,0.00101,0.00101,98507,99,98458,4078116,41.4,41.4
HUN,,0,0,0,1,3690.15,2018,2018,1,1,33,1,0.00106,0.00106,98408,104,98356,3979658,40.44,40.44
HUN,,0,0,0,1,3690.15,2018,2018,1,1,34,1,0.0011,0.0011,98304,108,98250,3881302,39.48,39.48
HUN,,0,0,0,1,3690.15,2018,2018,1,1,35,1,0.00118,0.00118,98196,116,98138,3783052,38.53,38.53
HUN,,0,0,0,1,3690.15,2018,2018,1,1,36,1,0.00129,0.00128,98080,126,98017,3684914,37.57,37.57
HUN,,0,0,0,1,3690.15,2018,2018,1,1,37,1,0.00138,0.00138,97954,135,97886,3586897,36.62,36.62
HUN,,0,0,0,1,3690.15,2018,2018,1,1,38,1,0.0015,0.0015,97819,147,97746,3489011,35.67,35.67
HUN,,0,0,0,1,3690.15,2018,2018,1,1,39,1,0.00166,0.00166,97672,162,97591,3391265,34.72,34.72
HUN,,0,0,0,1,3690.15,2018,2018,1,1,40,1,0.00186,0.00186,97510,181,97420,3293674,33.78,33.78
HUN,,0,0,0,1,3690.15,2018,2018,1,1,41,1,0.00208,0.00208,97329,202,97228,3196255,32.84,32.84
HUN,,0,0,0,1,3690.15,2018,2018,1,1,42,1,0.00231,0.00231,97127,224,97015,3099027,31.91,31.91
HUN,,0,0,0,1,3690.15,2018,2018,1,1,43,1,0.00258,0.00258,96903,250,96778,3002012,30.98,30.98
HUN,,0,0,0,1,3690.15,2018,2018,1,1,44,1,0.00293,0.00293,96653,283,96512,2905234,30.06,30.06
HUN,,0,0,0,1,3690.15,2018,2018,1,1,45,1,0.00339,0.00338,96370,326,96207,2808722,29.15,29.15
HUN,,0,0,0,1,3690.15,2018,2018,1,1,46,1,0.00391,0.0039,96044,375,95856,2712515,28.24,28.24
HUN,,0,0,0,1,3690.15,2018,2018,1,1,47,1,0.0045,0.00449,95669,430,95454,2616659,27.35,27.35
HUN,,0,0,0,1,3690.15,2018,2018,1,1,48,1,0.00518,0.00517,95239,492,94993,2521205,26.47,26.47
HUN,,0,0,0,1,3690.15,2018,2018,1,1,49,1,0.00598,0.00596,94747,565,94464,2426212,25.61,25.61
HUN,,0,0,0,1,3690.15,2018,2018,1,1,50,1,0.00689,0.00687,94182,647,93858,2331747,24.76,24.76
HUN,,0,0,0,1,3690.15,2018,2018,1,1,51,1,0.00798,0.00794,93535,743,93164,2237889,23.93,23.93
HUN,,0,0,0,1,3690.15,2018,2018,1,1,52,1,0.00918,0.00914,92792,848,92368,2144725,23.11,23.11
HUN,,0,0,0,1,3690.15,2018,2018,1,1,53,1,0.01051,0.01045,91944,961,91464,2052357,22.32,22.32
HUN,,0,0,0,1,3690.15,2018,2018,1,1,54,1,0.01189,0.01182,90983,1075,90446,1960894,21.55,21.55
HUN,,0,0,0,1,3690.15,2018,2018,1,1,55,1,0.01332,0.01324,89908,1190,89313,1870448,20.8,20.8
HUN,,0,0,0,1,3690.15,2018,2018,1,1,56,1,0.01477,0.01466,88718,1301,88068,1781135,20.08,20.08
HUN,,0,0,0,1,3690.15,2018,2018,1,1,57,1,0.01628,0.01615,87417,1412,86711,1693068,19.37,19.37
HUN,,0,0,0,1,3690.15,2018,2018,1,1,58,1,0.01787,0.01771,86005,1523,85244,1606357,18.68,18.68
HUN,,0,0,0,1,3690.15,2018,2018,1,1,59,1,0.01951,0.01932,84482,1632,83666,1521113,18.01,18.01
HUN,,0,0,0,1,3690.15,2018,2018,1,1,60,1,0.02125,0.02103,82850,1742,81979,1437447,17.35,17.35
HUN,,0,0,0,1,3690.15,2018,2018,1,1,61,1,0.0231,0.02283,81108,1852,80182,1355468,16.71,16.71
HUN,,0,0,0,1,3690.15,2018,2018,1,1,62,1,0.02505,0.02474,79256,1961,78276,1275286,16.09,16.09
HUN,,0,0,0,1,3690.15,2018,2018,1,1,63,1,0.02708,0.02672,77295,2065,76262,1197011,15.49,15.49
HUN,,0,0,0,1,3690.15,2018,2018,1,1,64,1,0.0291,0.02869,75230,2158,74151,1120748,14.9,14.9
HUN,,0,0,0,1,3690.15,2018,2018,1,1,65,1,0.0311,0.03063,73072,2238,71953,1046597,14.32,14.32
HUN,,0,0,0,1,3690.15,2018,2018,1,1,66,1,0.03295,0.03241,70834,2296,69686,974644,13.76,13.76
HUN,,0,0,0,1,3690.15,2018,2018,1,1,67,1,0.03469,0.0341,68538,2337,67370,904958,13.2,13.2
