Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IDN,0,0,0,0,1,880.01,2010,2010,4,1,0,1,0.02891,0.0282,100000,2820,97560,6717438,67.17,67.19
IDN,0,0,0,0,1,880.01,2010,2010,4,1,1,4,0.00156,0.00623,97180,605,387249,6619878,68.12,68.12
IDN,0,0,0,0,1,880.01,2010,2010,4,1,5,5,7e-04,0.00349,96575,337,482032,6232630,64.54,64.54
IDN,0,0,0,0,1,880.01,2010,2010,4,1,10,5,0.00061,0.00302,96238,291,480462,5750597,59.75,59.75
IDN,0,0,0,0,1,880.01,2010,2010,4,1,15,5,0.00136,0.00677,95947,650,478110,5270135,54.93,54.93
IDN,0,0,0,0,1,880.01,2010,2010,4,1,20,5,0.00189,0.0094,95297,896,474245,4792025,50.29,50.29
IDN,0,0,0,0,1,880.01,2010,2010,4,1,25,5,0.00192,0.00957,94401,903,469748,4317780,45.74,45.74
IDN,0,0,0,0,1,880.01,2010,2010,4,1,30,5,0.0022,0.01092,93498,1021,464938,3848032,41.16,41.16
IDN,0,0,0,0,1,880.01,2010,2010,4,1,35,5,0.00288,0.01427,92477,1320,459085,3383095,36.58,36.58
IDN,0,0,0,0,1,880.01,2010,2010,4,1,40,5,0.00408,0.02018,91157,1840,451185,2924010,32.08,32.08
IDN,0,0,0,0,1,880.01,2010,2010,4,1,45,5,0.00628,0.03093,89317,2763,439678,2472825,27.69,27.69
IDN,0,0,0,0,1,880.01,2010,2010,4,1,50,5,0.00993,0.04843,86554,4192,422290,2033147,23.49,23.49
IDN,0,0,0,0,1,880.01,2010,2010,4,1,55,5,0.01575,0.07578,82362,6241,396208,1610857,19.56,19.56
IDN,0,0,0,0,1,880.01,2010,2010,4,1,60,5,0.02486,0.11704,76121,8909,358332,1214650,15.96,15.96
IDN,0,0,0,0,1,880.01,2010,2010,4,1,65,5,0.03885,0.17707,67212,11901,306308,856317,12.74,12.74
IDN,0,0,0,0,1,880.01,2010,2010,4,1,70,5,0.06058,0.26306,55311,14550,240180,550010,9.94,9.94
IDN,0,0,0,0,1,880.01,2010,2010,4,1,75,5,0.09448,0.38213,40761,15576,164865,309830,7.6,7.6
IDN,0,0,0,0,1,880.01,2010,2010,4,1,80,5,0.14366,0.52849,25185,13310,92650,144965,5.76,5.76
IDN,0,0,0,0,1,880.01,2010,2010,4,1,85,5,0.20761,0.68337,11875,8115,39088,52315,4.41,4.41
IDN,0,0,0,0,1,880.01,2010,2010,4,1,90,5,0.27565,0.81596,3760,3068,11130,13227,3.52,3.52
IDN,0,0,0,0,1,880.01,2010,2010,4,1,95,5,0.32461,0.89595,692,620,1910,2097,3.03,3.03
IDN,0,0,0,0,1,880.01,2010,2010,4,1,100,5,0.37838,0.97222,72,70,185,187,2.6,2.65
IDN,0,0,0,0,1,880.01,2010,2010,4,1,105,99,0.89374,1,2,2,2,2,1.12,2.5
IDN,0,0,0,0,1,880.01,2010,2010,4,2,0,1,0.02337,0.0229,100000,2290,97982,7258235,72.58,72.59
IDN,0,0,0,0,1,880.01,2010,2010,4,2,1,4,0.00137,0.00544,97710,532,389503,7160253,73.28,73.28
IDN,0,0,0,0,1,880.01,2010,2010,4,2,5,5,0.00051,0.00254,97178,247,485272,6770750,69.67,69.67
IDN,0,0,0,0,1,880.01,2010,2010,4,2,10,5,0.00041,0.00204,96931,198,484160,6285478,64.84,64.85
IDN,0,0,0,0,1,880.01,2010,2010,4,2,15,5,0.00069,0.00342,96733,331,482838,5801318,59.97,59.97
IDN,0,0,0,0,1,880.01,2010,2010,4,2,20,5,0.00086,0.00427,96402,412,480980,5318480,55.17,55.17
IDN,0,0,0,0,1,880.01,2010,2010,4,2,25,5,0.00103,0.00514,95990,493,478718,4837500,50.4,50.4
IDN,0,0,0,0,1,880.01,2010,2010,4,2,30,5,0.00133,0.00661,95497,631,475908,4358783,45.64,45.64
IDN,0,0,0,0,1,880.01,2010,2010,4,2,35,5,0.00186,0.00926,94866,878,472135,3882875,40.93,40.93
IDN,0,0,0,0,1,880.01,2010,2010,4,2,40,5,0.00268,0.01331,93988,1251,466812,3410740,36.29,36.29
IDN,0,0,0,0,1,880.01,2010,2010,4,2,45,5,0.004,0.01981,92737,1837,459092,2943928,31.74,31.75
IDN,0,0,0,0,1,880.01,2010,2010,4,2,50,5,0.00595,0.02933,90900,2666,447835,2484835,27.34,27.34
IDN,0,0,0,0,1,880.01,2010,2010,4,2,55,5,0.00892,0.04361,88234,3848,431550,2037000,23.09,23.09
IDN,0,0,0,0,1,880.01,2010,2010,4,2,60,5,0.01414,0.06828,84386,5762,407525,1605450,19.03,19.03
IDN,0,0,0,0,1,880.01,2010,2010,4,2,65,5,0.02341,0.11056,78624,8693,371388,1197925,15.24,15.24
IDN,0,0,0,0,1,880.01,2010,2010,4,2,70,5,0.04036,0.18331,69931,12819,317608,826538,11.82,11.82
IDN,0,0,0,0,1,880.01,2010,2010,4,2,75,5,0.0697,0.29677,57112,16949,243188,508930,8.91,8.91
IDN,0,0,0,0,1,880.01,2010,2010,4,2,80,5,0.11518,0.44715,40163,17959,155918,265743,6.62,6.62
IDN,0,0,0,0,1,880.01,2010,2010,4,2,85,5,0.1775,0.61471,22204,13649,76898,109825,4.95,4.95
IDN,0,0,0,0,1,880.01,2010,2010,4,2,90,5,0.24676,0.76306,8555,6528,26455,32928,3.85,3.85
IDN,0,0,0,0,1,880.01,2010,2010,4,2,95,5,0.30566,0.8663,2027,1756,5745,6473,3.19,3.2
IDN,0,0,0,0,1,880.01,2010,2010,4,2,100,5,0.36338,0.95203,271,258,710,728,2.69,2.74
IDN,0,0,0,0,1,880.01,2010,2010,4,2,105,99,0.72843,1,13,13,18,18,1.37,2.5
