Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IND,0,0,0,0,1,1026.1,1961,1970,1,1,0,1,0.14215,0.13013,100000,13013,91542,4636318,46.36,46.37
IND,0,0,0,0,1,1026.1,1961,1970,1,1,1,1,0.03846,0.03773,86987,3282,85346,4544776,52.25,52.26
IND,0,0,0,0,1,1026.1,1961,1970,1,1,2,1,0.01173,0.01166,83705,976,83217,4459430,53.28,53.3
IND,0,0,0,0,1,1026.1,1961,1970,1,1,3,1,0.01052,0.01047,82729,866,82296,4376213,52.9,52.92
IND,0,0,0,0,1,1026.1,1961,1970,1,1,4,1,0.00946,0.00942,81863,771,81478,4293917,52.45,52.47
IND,0,0,0,0,1,1026.1,1961,1970,1,1,5,1,0.00852,0.00848,81092,688,80748,4212440,51.95,51.97
IND,0,0,0,0,1,1026.1,1961,1970,1,1,6,1,0.00772,0.00769,80404,618,80095,4131692,51.39,51.41
IND,0,0,0,0,1,1026.1,1961,1970,1,1,7,1,0.00703,0.00701,79786,559,79506,4051597,50.78,50.8
IND,0,0,0,0,1,1026.1,1961,1970,1,1,8,1,0.00645,0.00642,79227,509,78972,3972090,50.14,50.16
IND,0,0,0,0,1,1026.1,1961,1970,1,1,9,1,0.00598,0.00596,78718,469,78484,3893118,49.46,49.48
IND,0,0,0,0,1,1026.1,1961,1970,1,1,10,1,0.0056,0.00558,78249,437,78030,3814634,48.75,48.77
IND,0,0,0,0,1,1026.1,1961,1970,1,1,11,1,0.00531,0.00529,77812,412,77606,3736604,48.02,48.04
IND,0,0,0,0,1,1026.1,1961,1970,1,1,12,1,0.0051,0.00509,77400,394,77203,3658998,47.27,47.29
IND,0,0,0,0,1,1026.1,1961,1970,1,1,13,1,0.00496,0.00495,77006,381,76816,3581795,46.51,46.53
IND,0,0,0,0,1,1026.1,1961,1970,1,1,14,1,0.00489,0.00488,76625,374,76438,3504979,45.74,45.76
IND,0,0,0,0,1,1026.1,1961,1970,1,1,15,1,0.00493,0.00492,76251,375,76064,3428541,44.96,44.98
IND,0,0,0,0,1,1026.1,1961,1970,1,1,16,1,0.00502,0.00501,75876,380,75686,3352478,44.18,44.2
IND,0,0,0,0,1,1026.1,1961,1970,1,1,17,1,0.00515,0.00514,75496,388,75302,3276792,43.4,43.42
IND,0,0,0,0,1,1026.1,1961,1970,1,1,18,1,0.00533,0.00531,75108,399,74908,3201490,42.63,42.65
IND,0,0,0,0,1,1026.1,1961,1970,1,1,19,1,0.00548,0.00546,74709,408,74505,3126581,41.85,41.87
IND,0,0,0,0,1,1026.1,1961,1970,1,1,20,1,0.00553,0.00552,74301,410,74096,3052076,41.08,41.1
IND,0,0,0,0,1,1026.1,1961,1970,1,1,21,1,0.00556,0.00555,73891,410,73686,2977980,40.3,40.32
IND,0,0,0,0,1,1026.1,1961,1970,1,1,22,1,0.00564,0.00562,73481,413,73274,2904294,39.52,39.55
IND,0,0,0,0,1,1026.1,1961,1970,1,1,23,1,0.00571,0.00569,73068,416,72860,2831020,38.75,38.77
IND,0,0,0,0,1,1026.1,1961,1970,1,1,24,1,0.00583,0.00581,72652,422,72441,2758160,37.96,37.99
IND,0,0,0,0,1,1026.1,1961,1970,1,1,25,1,0.00597,0.00595,72230,430,72015,2685719,37.18,37.21
IND,0,0,0,0,1,1026.1,1961,1970,1,1,26,1,0.00613,0.00611,71800,439,71580,2613704,36.4,36.42
IND,0,0,0,0,1,1026.1,1961,1970,1,1,27,1,0.00633,0.00631,71361,450,71136,2542123,35.62,35.65
IND,0,0,0,0,1,1026.1,1961,1970,1,1,28,1,0.00654,0.00652,70911,462,70680,2470987,34.85,34.87
IND,0,0,0,0,1,1026.1,1961,1970,1,1,29,1,0.00678,0.00676,70449,476,70211,2400307,34.07,34.09
IND,0,0,0,0,1,1026.1,1961,1970,1,1,30,1,0.00704,0.00702,69973,491,69728,2330096,33.3,33.32
IND,0,0,0,0,1,1026.1,1961,1970,1,1,31,1,0.00734,0.00731,69482,508,69228,2260369,32.53,32.55
IND,0,0,0,0,1,1026.1,1961,1970,1,1,32,1,0.00766,0.00763,68974,526,68711,2191141,31.77,31.79
IND,0,0,0,0,1,1026.1,1961,1970,1,1,33,1,0.00801,0.00798,68448,546,68175,2122430,31.01,31.03
IND,0,0,0,0,1,1026.1,1961,1970,1,1,34,1,0.0084,0.00836,67902,568,67618,2054255,30.25,30.28
IND,0,0,0,0,1,1026.1,1961,1970,1,1,35,1,0.00882,0.00878,67334,591,67038,1986637,29.5,29.53
IND,0,0,0,0,1,1026.1,1961,1970,1,1,36,1,0.00929,0.00924,66743,617,66434,1919598,28.76,28.79
IND,0,0,0,0,1,1026.1,1961,1970,1,1,37,1,0.00965,0.0096,66126,635,65808,1853164,28.02,28.05
IND,0,0,0,0,1,1026.1,1961,1970,1,1,38,1,0.01034,0.01029,65491,674,65154,1787355,27.29,27.32
IND,0,0,0,0,1,1026.1,1961,1970,1,1,39,1,0.01098,0.01092,64817,708,64463,1722201,26.57,26.59
IND,0,0,0,0,1,1026.1,1961,1970,1,1,40,1,0.01152,0.01145,64109,734,63742,1657738,25.86,25.88
IND,0,0,0,0,1,1026.1,1961,1970,1,1,41,1,0.01202,0.01194,63375,757,62996,1593996,25.15,25.18
IND,0,0,0,0,1,1026.1,1961,1970,1,1,42,1,0.01257,0.01249,62618,782,62227,1531000,24.45,24.48
IND,0,0,0,0,1,1026.1,1961,1970,1,1,43,1,0.01315,0.01307,61836,808,61432,1468773,23.75,23.78
IND,0,0,0,0,1,1026.1,1961,1970,1,1,44,1,0.01394,0.01385,61028,845,60606,1407341,23.06,23.09
IND,0,0,0,0,1,1026.1,1961,1970,1,1,45,1,0.01503,0.01492,60183,898,59734,1346735,22.38,22.4
