Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,0,1,0.0038,0.00379,100000,379,99644,7836896,78.37,78.37
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,1,1,0.00035,0.00035,99621,35,99604,7737252,77.67,77.67
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,2,1,0.00011,0.00011,99586,11,99580,7637648,76.69,76.69
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,3,1,7e-05,7e-05,99575,7,99572,7538068,75.7,75.7
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,4,1,8e-05,8e-05,99568,8,99564,7438496,74.71,74.71
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,5,1,1e-04,1e-04,99560,10,99555,7338932,73.71,73.71
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,6,1,0.00011,0.00011,99550,11,99544,7239377,72.72,72.72
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,7,1,0.00011,0.00011,99539,11,99534,7139833,71.73,71.73
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,8,1,1e-04,1e-04,99528,10,99523,7040299,70.74,70.74
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,9,1,9e-05,9e-05,99518,9,99514,6940776,69.74,69.74
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,10,1,7e-05,7e-05,99509,7,99506,6841263,68.75,68.75
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,11,1,8e-05,8e-05,99502,8,99498,6741757,67.75,67.75
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,12,1,8e-05,8e-05,99494,8,99490,6642259,66.76,66.76
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,13,1,1e-04,1e-04,99486,10,99481,6542769,65.77,65.77
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,14,1,0.00016,0.00016,99476,16,99468,6443288,64.77,64.77
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,15,1,0.00023,0.00023,99460,23,99448,6343820,63.78,63.78
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,16,1,0.00033,0.00033,99437,33,99420,6244372,62.8,62.8
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,17,1,0.00044,0.00044,99404,44,99382,6144951,61.82,61.82
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,18,1,0.00055,0.00055,99360,55,99332,6045569,60.85,60.84
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,19,1,0.00068,0.00068,99305,68,99271,5946237,59.88,59.88
IRL,0,0,0,0,1,1861.01,2010,2012,1,1,20,1,8e-04,8e-04,99237,79,99198,5846966,58.92,58.92
