Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IRN,,0,0,0,1,900.01,2004,2004,4,1,0,1,0.02915,0.02843,100000,2843,97542,6882769,68.83,68.72
IRN,,0,0,0,1,900.01,2004,2004,4,1,1,4,0.00161,0.0064,97157,622,387115,6785227,69.84,69.72
IRN,,0,0,0,1,900.01,2004,2004,4,1,5,5,0.00057,0.00286,96535,276,481985,6398112,66.28,66.16
IRN,,0,0,0,1,900.01,2004,2004,4,1,10,5,0.00061,0.00302,96259,291,480568,5916127,61.46,61.35
IRN,,0,0,0,1,900.01,2004,2004,4,1,15,5,0.00155,0.00772,95968,741,477988,5435560,56.64,56.52
IRN,,0,0,0,1,900.01,2004,2004,4,1,20,5,0.00231,0.01149,95227,1094,473400,4957572,52.06,51.94
IRN,,0,0,0,1,900.01,2004,2004,4,1,25,5,0.00242,0.01205,94133,1134,467830,4484172,47.64,47.52
IRN,,0,0,0,1,900.01,2004,2004,4,1,30,5,0.00268,0.01329,92999,1236,461905,4016342,43.19,43.07
IRN,,0,0,0,1,900.01,2004,2004,4,1,35,5,0.00286,0.01421,91763,1304,455555,3554437,38.73,38.61
IRN,,0,0,0,1,900.01,2004,2004,4,1,40,5,0.00366,0.01815,90459,1642,448190,3098882,34.26,34.14
IRN,,0,0,0,1,900.01,2004,2004,4,1,45,5,0.00502,0.02479,88817,2202,438580,2650692,29.84,29.72
IRN,,0,0,0,1,900.01,2004,2004,4,1,50,5,0.00752,0.03692,86615,3198,425080,2212112,25.54,25.41
IRN,,0,0,0,1,900.01,2004,2004,4,1,55,5,0.01054,0.05134,83417,4283,406378,1787032,21.42,21.29
IRN,,0,0,0,1,900.01,2004,2004,4,1,60,5,0.01767,0.0846,79134,6695,378932,1380655,17.45,17.31
IRN,,0,0,0,1,900.01,2004,2004,4,1,65,5,0.02913,0.13576,72439,9834,337610,1001722,13.83,13.68
IRN,,0,0,0,1,900.01,2004,2004,4,1,70,5,0.04721,0.21112,62605,13217,279982,664112,10.61,10.43
IRN,,0,0,0,1,900.01,2004,2004,4,1,75,5,0.07915,0.33036,49388,16316,206150,384130,7.78,7.55
IRN,,0,0,0,1,900.01,2004,2004,4,1,80,5,0.15113,0.54844,33072,18138,120015,177980,5.38,5.05
IRN,,0,0,0,1,900.01,2004,2004,4,1,85,99,0.25764,1,14934,14934,57965,57965,3.88,3.14
IRN,,0,0,0,1,900.01,2004,2004,4,2,0,1,0.02383,0.02334,100000,2334,97946,7141310,71.41,71.19
IRN,,0,0,0,1,900.01,2004,2004,4,2,1,4,0.00164,0.00654,97666,639,389058,7043364,72.12,71.88
IRN,,0,0,0,1,900.01,2004,2004,4,2,5,5,6e-04,0.00299,97027,290,484410,6654307,68.58,68.35
IRN,,0,0,0,1,900.01,2004,2004,4,2,10,5,0.00049,0.00246,96737,238,483090,6169897,63.78,63.54
IRN,,0,0,0,1,900.01,2004,2004,4,2,15,5,0.00089,0.00442,96499,427,481428,5686807,58.93,58.69
IRN,,0,0,0,1,900.01,2004,2004,4,2,20,5,0.001,0.00497,96072,477,479168,5205379,54.18,53.94
IRN,,0,0,0,1,900.01,2004,2004,4,2,25,5,0.00107,0.00532,95595,509,476702,4726212,49.44,49.2
IRN,,0,0,0,1,900.01,2004,2004,4,2,30,5,0.00129,0.00644,95086,612,473900,4249509,44.69,44.45
IRN,,0,0,0,1,900.01,2004,2004,4,2,35,5,0.00149,0.00743,94474,702,470615,3775609,39.96,39.72
IRN,,0,0,0,1,900.01,2004,2004,4,2,40,5,0.00206,0.01026,93772,962,466455,3304994,35.25,35
IRN,,0,0,0,1,900.01,2004,2004,4,2,45,5,0.00318,0.01576,92810,1463,460392,2838539,30.58,30.34
IRN,,0,0,0,1,900.01,2004,2004,4,2,50,5,0.00508,0.0251,91347,2293,451002,2378147,26.03,25.78
IRN,,0,0,0,1,900.01,2004,2004,4,2,55,5,0.00795,0.03899,89054,3472,436590,1927144,21.64,21.38
IRN,,0,0,0,1,900.01,2004,2004,4,2,60,5,0.01513,0.07289,85582,6238,412315,1490554,17.42,17.15
IRN,,0,0,0,1,900.01,2004,2004,4,2,65,5,0.02723,0.12747,79344,10114,371435,1078239,13.59,13.3
IRN,,0,0,0,1,900.01,2004,2004,4,2,70,5,0.04975,0.22123,69230,15316,307860,706804,10.21,9.88
IRN,,0,0,0,1,900.01,2004,2004,4,2,75,5,0.08854,0.36247,53914,19542,220715,398944,7.4,6.98
IRN,,0,0,0,1,900.01,2004,2004,4,2,80,5,0.17473,0.60805,34372,20900,119610,178229,5.19,4.52
IRN,,0,0,0,1,900.01,2004,2004,4,2,85,99,0.22982,1,13472,13472,58619,58619,4.35,2.65
