Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,0,1,0.10041,0.0941,100000,9410,93717,5713568,57.14,57.25
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,1,4,0.00424,0.01679,90590,1521,358359,5619851,62.04,62.17
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,5,5,0.002,0.00995,89069,886,443130,5261492,59.07,59.21
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,10,5,0.00184,0.00917,88183,809,438892,4818362,54.64,54.78
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,15,5,0.00239,0.0119,87374,1040,434270,4379469,50.12,50.26
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,20,5,0.0032,0.01587,86334,1370,428245,3945199,45.7,45.84
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,25,5,0.00401,0.01986,84964,1687,420602,3516954,41.39,41.53
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,30,5,0.00498,0.02459,83277,2048,411265,3096352,37.18,37.32
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,35,5,0.00618,0.03042,81229,2471,399968,2685087,33.06,33.2
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,40,5,0.00798,0.03913,78758,3082,386085,2285119,29.01,29.16
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,45,5,0.01075,0.05233,75676,3960,368480,1899034,25.09,25.24
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,50,5,0.01501,0.07235,71716,5189,345608,1530554,21.34,21.49
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,55,5,0.02159,0.10242,66527,6814,315600,1184947,17.81,17.96
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,60,5,0.03178,0.1472,59713,8790,276590,869347,14.56,14.71
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,65,5,0.04743,0.21201,50923,10796,227625,592757,11.64,11.8
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,70,5,0.07077,0.30067,40127,12065,170472,365132,9.1,9.29
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,75,5,0.10426,0.41351,28062,11604,111300,194659,6.94,7.2
IRQ,0,0,0,0,1,3700.3,1998,1998,4,1,80,99,0.19743,1,16458,16458,83359,83359,5.06,5.55
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,0,1,0.09542,0.0896,100000,8960,93896,6044506,60.45,60.38
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,1,4,0.00435,0.01722,91040,1568,360049,5950610,65.36,65.29
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,5,5,0.00179,0.0089,89472,796,445370,5590561,62.48,62.41
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,10,5,0.00146,0.00726,88676,644,441770,5145191,58.02,57.95
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,15,5,0.00211,0.01047,88032,922,437855,4703421,53.43,53.35
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,20,5,0.00203,0.01011,87110,881,433348,4265566,48.97,48.89
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,25,5,0.00293,0.01452,86229,1252,428015,3832218,44.44,44.36
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,30,5,0.00372,0.01845,84977,1568,420965,3404203,40.06,39.98
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,35,5,0.0047,0.02322,83409,1937,412202,2983238,35.77,35.68
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,40,5,0.00644,0.03168,81472,2581,400908,2571036,31.56,31.47
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,45,5,0.00684,0.03363,78891,2653,387822,2170128,27.51,27.41
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,50,5,0.01269,0.0615,76238,4689,369468,1782306,23.38,23.27
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,55,5,0.01529,0.07366,71549,5270,344570,1412838,19.75,19.63
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,60,5,0.02374,0.11207,66279,7428,312825,1068268,16.12,15.98
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,65,5,0.03719,0.17014,58851,10013,269222,755443,12.84,12.67
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,70,5,0.05312,0.23445,48838,11450,215565,486221,9.96,9.73
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,75,5,0.10007,0.40021,37388,14963,149532,270656,7.24,6.92
IRQ,0,0,0,0,1,3700.3,1998,1998,4,2,80,99,0.18514,1,22425,22425,121123,121123,5.4,4.86
