Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,0,1,0.002,0.002,100000,200,99811,8094244,80.94,80.99
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,1,1,0.001,0.001,99800,100,99750,7994433,80.1,80.15
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,2,1,0,0,99700,0,99700,7894683,79.18,79.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,3,1,0,0,99700,0,99700,7794983,78.18,78.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,4,1,0,0,99700,0,99700,7695283,77.18,77.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,5,1,0,0,99700,0,99700,7595583,76.18,76.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,6,1,0,0,99700,0,99700,7495883,75.18,75.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,7,1,0,0,99700,0,99700,7396183,74.18,74.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,8,1,0,0,99700,0,99700,7296483,73.18,73.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,9,1,0,0,99700,0,99700,7196783,72.18,72.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,10,1,0,0,99700,0,99700,7097083,71.18,71.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,11,1,0,0,99700,0,99700,6997383,70.18,70.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,12,1,0,0,99700,0,99700,6897683,69.18,69.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,13,1,0,0,99700,0,99700,6797983,68.18,68.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,14,1,0,0,99700,0,99700,6698283,67.18,67.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,15,1,0,0,99700,0,99700,6598583,66.18,66.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,16,1,0.001,0.001,99700,100,99650,6498883,65.18,65.22
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,17,1,0,0,99600,0,99600,6399233,64.25,64.29
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,18,1,0.001,0.001,99600,100,99550,6299633,63.25,63.29
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,19,1,0.00101,0.00101,99500,100,99450,6200083,62.31,62.35
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,20,1,0,0,99400,0,99400,6100633,61.37,61.41
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,21,1,0.00101,0.00101,99400,100,99350,6001233,60.37,60.41
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,22,1,0,0,99300,0,99300,5901883,59.43,59.45
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,23,1,0,0,99300,0,99300,5802583,58.43,58.47
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,24,1,0.00101,0.00101,99300,100,99250,5703283,57.43,57.47
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,25,1,0.00101,0.00101,99200,100,99150,5604033,56.49,56.53
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,26,1,0.00202,0.00202,99100,200,99000,5504883,55.55,55.59
ISL,0,0,0,0,1,3260.22,2018,2018,1,1,27,1,0,0,98900,0,98900,5405883,54.66,54.7
