Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ITA,0,0,0,0,1,390.01,2018,2018,1,1,0,1,0.00314,0.00313,100000,313,99706,8087902,80.88,80.88
ITA,0,0,0,0,1,390.01,2018,2018,1,1,1,1,0.00022,0.00022,99687,22,99676,7988197,80.13,80.13
ITA,0,0,0,0,1,390.01,2018,2018,1,1,2,1,0.00016,0.00016,99665,16,99657,7888521,79.15,79.15
ITA,0,0,0,0,1,390.01,2018,2018,1,1,3,1,0.00011,0.00011,99649,11,99644,7788864,78.16,78.16
ITA,0,0,0,0,1,390.01,2018,2018,1,1,4,1,1e-04,1e-04,99638,10,99633,7689220,77.17,77.17
ITA,0,0,0,0,1,390.01,2018,2018,1,1,5,1,8e-05,8e-05,99628,8,99624,7589587,76.18,76.18
ITA,0,0,0,0,1,390.01,2018,2018,1,1,6,1,9e-05,9e-05,99620,9,99616,7489963,75.19,75.19
ITA,0,0,0,0,1,390.01,2018,2018,1,1,7,1,9e-05,9e-05,99611,9,99606,7390348,74.19,74.19
ITA,0,0,0,0,1,390.01,2018,2018,1,1,8,1,8e-05,8e-05,99602,8,99598,7290741,73.2,73.2
ITA,0,0,0,0,1,390.01,2018,2018,1,1,9,1,8e-05,8e-05,99594,8,99590,7191143,72.2,72.2
ITA,0,0,0,0,1,390.01,2018,2018,1,1,10,1,9e-05,9e-05,99586,9,99582,7091553,71.21,71.21
ITA,0,0,0,0,1,390.01,2018,2018,1,1,11,1,9e-05,9e-05,99577,9,99572,6991972,70.22,70.22
ITA,0,0,0,0,1,390.01,2018,2018,1,1,12,1,0.00011,0.00011,99568,11,99562,6892399,69.22,69.22
ITA,0,0,0,0,1,390.01,2018,2018,1,1,13,1,0.00011,0.00011,99557,11,99552,6792837,68.23,68.23
ITA,0,0,0,0,1,390.01,2018,2018,1,1,14,1,0.00014,0.00014,99546,14,99539,6693285,67.24,67.24
ITA,0,0,0,0,1,390.01,2018,2018,1,1,15,1,0.00017,0.00017,99532,17,99524,6593746,66.25,66.25
ITA,0,0,0,0,1,390.01,2018,2018,1,1,16,1,0.00024,0.00024,99515,24,99503,6494223,65.26,65.26
ITA,0,0,0,0,1,390.01,2018,2018,1,1,17,1,0.00029,0.00029,99491,29,99476,6394720,64.27,64.27
ITA,0,0,0,0,1,390.01,2018,2018,1,1,18,1,0.00032,0.00032,99462,32,99446,6295243,63.29,63.29
ITA,0,0,0,0,1,390.01,2018,2018,1,1,19,1,0.00036,0.00036,99430,36,99412,6195797,62.31,62.31
ITA,0,0,0,0,1,390.01,2018,2018,1,1,20,1,0.00038,0.00038,99394,38,99375,6096385,61.34,61.34
ITA,0,0,0,0,1,390.01,2018,2018,1,1,21,1,4e-04,4e-04,99356,40,99336,5997010,60.36,60.36
ITA,0,0,0,0,1,390.01,2018,2018,1,1,22,1,0.00041,0.00041,99316,41,99296,5897674,59.38,59.38
ITA,0,0,0,0,1,390.01,2018,2018,1,1,23,1,0.00041,0.00041,99275,41,99254,5798379,58.41,58.41
