Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,0,1,0.02031,0.01995,100000,1995,98224,6995550,69.96,70.4
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,1,4,5e-04,0.002,98005,196,391548,6897326,70.38,70.83
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,5,5,4e-04,0.002,97809,196,488555,6505777,66.52,66.97
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,10,5,0.00044,0.00221,97613,216,487525,6017222,61.64,62.1
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,15,5,0.0018,0.00896,97397,873,484802,5529697,56.77,57.23
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,20,5,0.0038,0.01883,96524,1818,478075,5044895,52.27,52.72
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,25,5,0.00418,0.02071,94706,1961,468628,4566820,48.22,48.69
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,30,5,0.00456,0.02255,92745,2091,458498,4098192,44.19,44.66
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,35,5,0.00475,0.02348,90654,2129,447948,3639695,40.15,40.64
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,40,5,0.00497,0.02455,88525,2173,437192,3191747,36.05,36.55
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,45,5,0.00552,0.02724,86352,2352,425880,2754555,31.9,32.41
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,50,5,0.00687,0.03375,84000,2835,412912,2328675,27.72,28.25
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,55,5,0.01032,0.05029,81165,4082,395620,1915762,23.6,24.15
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,60,5,0.01215,0.05896,77083,4545,374052,1520142,19.72,20.29
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,65,5,0.01909,0.09111,72538,6609,346168,1146090,15.8,16.41
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,70,5,0.03078,0.14291,65929,9422,306090,799922,12.13,12.8
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,75,5,0.04909,0.21863,56507,12354,251650,493832,8.74,9.52
JAM,0,0,0,0,1,3630.01,2011,2011,4,1,80,99,0.18231,1,44153,44153,242182,242182,5.49,6.48
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,0,1,0.01506,0.01486,100000,1486,98655,7715701,77.16,78.02
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,1,4,0.00048,0.0019,98514,187,393588,7617046,77.32,78.2
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,5,5,0.00031,0.00157,98327,154,491250,7223458,73.46,74.34
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,10,5,4e-04,0.00198,98173,194,490380,6732208,68.57,69.46
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,15,5,0.00027,0.00135,97979,132,489565,6241828,63.71,64.59
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,20,5,0.00044,0.00222,97847,217,488692,5752263,58.79,59.67
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,25,5,0.00076,0.0038,97630,371,487222,5263570,53.91,54.8
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,30,5,0.00112,0.00558,97259,543,484938,4776348,49.11,50
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,35,5,0.00153,0.0076,96716,735,481742,4291410,44.37,45.27
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,40,5,0.00216,0.01073,95981,1030,477330,3809668,39.69,40.59
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,45,5,0.00314,0.01556,94951,1477,471062,3332338,35.1,36.01
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,50,5,0.00401,0.01985,93474,1855,462732,2861275,30.61,31.54
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,55,5,0.00586,0.02886,91619,2644,451485,2398543,26.18,27.12
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,60,5,0.00768,0.03766,88975,3351,436498,1947058,21.88,22.86
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,65,5,0.0128,0.06202,85624,5310,414845,1510560,17.64,18.65
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,70,5,0.02014,0.09586,80314,7699,382322,1095715,13.64,14.72
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,75,5,0.03334,0.15389,72615,11175,335138,713393,9.82,11.02
JAM,0,0,0,0,1,3630.01,2011,2011,4,2,80,99,0.16243,1,61440,61440,378255,378255,6.16,7.57
