Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,0,1,0.02858,0.02789,100000,2789,97584,6807628,68.08,68.49
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,1,4,0.00142,0.00568,97211,552,387502,6710044,69.03,69.45
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,5,5,0.00064,0.0032,96659,309,482522,6322542,65.41,65.84
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,10,5,0.00064,0.00321,96350,309,480978,5840020,60.61,61.04
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,15,5,0.00101,0.00505,96041,485,478992,5359042,55.8,56.23
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,20,5,0.00146,0.00728,95556,696,476040,4880050,51.07,51.5
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,25,5,0.00171,0.00851,94860,807,472282,4404010,46.43,46.86
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,30,5,0.00203,0.01012,94053,952,467885,3931727,41.8,42.24
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,35,5,0.00277,0.01375,93101,1280,462305,3463842,37.21,37.65
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,40,5,0.00399,0.01977,91821,1815,454568,3001537,32.69,33.14
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,45,5,0.00603,0.02972,90006,2675,443342,2546970,28.3,28.75
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,50,5,0.00944,0.04612,87331,4028,426585,2103627,24.09,24.55
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,55,5,0.01473,0.07104,83303,5918,401720,1677042,20.13,20.61
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,60,5,0.02321,0.10969,77385,8488,365705,1275322,16.48,16.98
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,65,5,0.03596,0.16497,68897,11366,316070,909617,13.2,13.75
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,70,5,0.05467,0.24048,57531,13835,253068,593547,10.32,10.95
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,75,5,0.08113,0.33726,43696,14737,181638,340480,7.79,8.61
JOR,0,0,0,0,1,3700.4,1998,1998,4,1,80,99,0.18231,1,28959,28959,158842,158842,5.49,6.72
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,0,1,0.02583,0.02526,100000,2526,97792,7041674,70.42,71.02
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,1,4,0.00187,0.00746,97474,727,388066,6943882,71.24,71.86
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,5,5,0.00065,0.00324,96747,313,482952,6555816,67.76,68.39
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,10,5,0.00059,0.00292,96434,282,481465,6072863,62.97,63.6
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,15,5,0.00085,0.00424,96152,408,479740,5591398,58.15,58.78
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,20,5,0.00116,0.00578,95744,553,477338,5111658,53.39,54.02
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,25,5,0.00146,0.00728,95191,693,474222,4634321,48.68,49.32
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,30,5,0.00185,0.00923,94498,872,470310,4160098,44.02,44.66
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,35,5,0.00245,0.01217,93626,1139,465282,3689788,39.41,40.06
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,40,5,0.00335,0.0166,92487,1535,458598,3224506,34.86,35.52
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,45,5,0.00478,0.02363,90952,2149,449388,2765908,30.41,31.07
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,50,5,0.00712,0.03498,88803,3106,436250,2316521,26.09,26.76
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,55,5,0.01091,0.05309,85697,4550,417110,1880271,21.94,22.63
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,60,5,0.0171,0.082,81147,6654,389100,1463161,18.03,18.75
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,65,5,0.02758,0.12902,74493,9611,348438,1074061,14.42,15.19
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,70,5,0.04407,0.1985,64882,12879,292212,725623,11.18,12.05
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,75,5,0.06841,0.29208,52003,15189,222042,433411,8.33,9.39
JOR,0,0,0,0,1,3700.4,1998,1998,4,2,80,99,0.17417,1,36814,36814,211368,211368,5.74,7.21
